claim_id,page_url,source_claim,parameter_id,environment,claim_type,current_production_statement,evidence_statement,source_registry_ids,decision,decision_reason,production_action,review_date
40fb9a355eaa851e,academy/testing/common-testing-mistakes.html,Examples Solving Chronic Low Chlorine Readings A pool owner has been adding extra chlorine every week because readings consistently show FC near 0.5 ppm — yet the pool stays clear.,free_chlorine,,,Examples Solving Chronic Low Chlorine Readings A pool owner has been adding extra chlorine every week because readings consistently show FC near 0.5 ppm — yet the pool stays clear.,mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
f64fef9bfcbcbf3e,academy/testing/understanding-test-results.html,"Is pH very high (above 8.0), making chlorine nearly inactive?",ph,,,"Is pH very high (above 8.0), making chlorine nearly inactive?",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
9b3a54181522ecb9,academy/testing/understanding-test-results.html,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",free_chlorine,,,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
ba934eac9250f383,academy/testing/understanding-test-results.html,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",ph,,,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
31d15b31aab1c809,academy/testing/understanding-test-results.html,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",calcium_hardness,,,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
418c037e1d017895,academy/testing/using-test-strips.html,Re-testing with a liquid kit the next morning shows FC at 8 ppm — dangerous for swimming.,free_chlorine,,,Re-testing with a liquid kit the next morning shows FC at 8 ppm — dangerous for swimming.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
0a0a7b8ef6cefe4b,academy/troubleshooting/cloudy-water.html,"Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm.",free_chlorine,,,"Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm.",mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
2040b58bbe1c925b,academy/troubleshooting/cloudy-water.html,"Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm.",ph,,,"Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm.",mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
84a95e3fbf929872,academy/troubleshooting/corrosion.html,Testing shows pH 7.1 and Ca hardness 100 ppm — an LSI of approximately -1.0.,calcium_hardness,,,Testing shows pH 7.1 and Ca hardness 100 ppm — an LSI of approximately -1.0.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
4a69db2dd89752a3,academy/troubleshooting/scaling.html,"The fix: lower pH to 7.4 immediately (largest LSI impact), lower TA to 90 ppm, and plan a 30% partial drain to reduce hardness to ~340 ppm.",calcium_hardness,,,"The fix: lower pH to 7.4 immediately (largest LSI impact), lower TA to 90 ppm, and plan a 30% partial drain to reduce hardness to ~340 ppm.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
64590da4c954e6cc,academy/vacation-rentals/emergency-water-recovery.html,Step 5: Test every 4–6 hours and add more chlorine if FC drops below 10 ppm (sign that active algae or high chlorine demand is still consuming it).,free_chlorine,,,Step 5: Test every 4–6 hours and add more chlorine if FC drops below 10 ppm (sign that active algae or high chlorine demand is still consuming it).,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
f5d774c25138e0f4,academy/vacation-rentals/emergency-water-recovery.html,"FC is zero, pH 8.1.",ph,,,"FC is zero, pH 8.1.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
8e3605b6538a01dc,academy/water-balance/understanding-calcium-hardness.html,"Typical dose for raising hardness by 10 ppm in a 10,000-gallon pool is approximately 1.25 lbs.",calcium_hardness,,,"Typical dose for raising hardness by 10 ppm in a 10,000-gallon pool is approximately 1.25 lbs.",mechanical_category=NON_CHEMISTRY_ARTIFACT,,NOT_A_CLAIM,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).",NO_PRODUCTION_ACTION,2026-08-18
16274f4e389c358b,academy/water-balance/understanding-cyanuric-acid.html,"Without CYA in an outdoor pool, chlorine exposed to direct sunlight at midday will deplete by 90% within two to three hours.",cyanuric_acid,,,"Without CYA in an outdoor pool, chlorine exposed to direct sunlight at midday will deplete by 90% within two to three hours.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
093ccad19793fcb4,academy/water-balance/understanding-cyanuric-acid.html,"At CYA 100 ppm and the same pH, only 6–7% is active.",cyanuric_acid,,,"At CYA 100 ppm and the same pH, only 6–7% is active.",mechanical_category=NON_CHEMISTRY_ARTIFACT,,NOT_A_CLAIM,"Describes what fraction/percentage of the parameter is in an active chemical form (e.g. ""22% remains as HOCl""), a chemistry-equilibrium fact, not a concentration target -- not comparable to a canonical range.",NO_PRODUCTION_ACTION,2026-08-18
e9421d8769be79c4,academy/water-balance/understanding-lsi.html,"Of the adjustable variables, pH has the largest impact on LSI because the pH factor in the formula is the raw pH value, not a lookup number — a 0.1 pH change shifts LSI by 0.1 directly.",ph,,,"Of the adjustable variables, pH has the largest impact on LSI because the pH factor in the formula is the raw pH value, not a lookup number — a 0.1 pH change shifts LSI by 0.1 directly.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
93dcf35c0bbb9853,academy/water-balance/understanding-ph.html,"At pH 8.0, only 22% remains as HOCl.",ph,,,"At pH 8.0, only 22% remains as HOCl.",mechanical_category=NON_CHEMISTRY_ARTIFACT,,NOT_A_CLAIM,"Describes what fraction/percentage of the parameter is in an active chemical form (e.g. ""22% remains as HOCl""), a chemistry-equilibrium fact, not a concentration target -- not comparable to a canonical range.",NO_PRODUCTION_ACTION,2026-08-18
2498d519df23327e,academy/water-balance/understanding-ph.html,This means a pool with 2 ppm FC at pH 7.2 has roughly the same effective sanitation as a pool with 6 ppm FC at pH 8.0.,free_chlorine,,,This means a pool with 2 ppm FC at pH 7.2 has roughly the same effective sanitation as a pool with 6 ppm FC at pH 8.0.,mechanical_category=CONTEXTUAL_DIFFERENCE,,SUPPORTED_WITH_CONTEXT,"Comparison/equivalence statement between two different readings or scenarios, not an assertion that either value is itself a target.",NO_PRODUCTION_ACTION,2026-08-18
9b80e2cb8d605ec1,academy/water-balance/understanding-ph.html,This means a pool with 2 ppm FC at pH 7.2 has roughly the same effective sanitation as a pool with 6 ppm FC at pH 8.0.,ph,,,This means a pool with 2 ppm FC at pH 7.2 has roughly the same effective sanitation as a pool with 6 ppm FC at pH 8.0.,mechanical_category=CONTEXTUAL_DIFFERENCE,,SUPPORTED_WITH_CONTEXT,"Comparison/equivalence statement between two different readings or scenarios, not an assertion that either value is itself a target.",NO_PRODUCTION_ACTION,2026-08-18
454da4a22bf5f8e4,academy/water-balance/water-balance-order.html,"Examples Full Rebalancing Sequence An opening test shows: TA 50 ppm, pH 7.0, CH 100 ppm, FC 0.",total_alkalinity,,,"Examples Full Rebalancing Sequence An opening test shows: TA 50 ppm, pH 7.0, CH 100 ppm, FC 0.",mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
59ed7f611dc0ba7f,academy/water-balance/water-balance-order.html,"Examples Full Rebalancing Sequence An opening test shows: TA 50 ppm, pH 7.0, CH 100 ppm, FC 0.",calcium_hardness,,,"Examples Full Rebalancing Sequence An opening test shows: TA 50 ppm, pH 7.0, CH 100 ppm, FC 0.",mechanical_category=EXAMPLE_CALCULATION,,NOT_A_CLAIM,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).",NO_PRODUCTION_ACTION,2026-08-18
2fc8022383997c62,audit/google/crawl-depth.html,"(Dilution, pH & Chlorine) 2 /guides/edge-cases/swimming-after-shocking-pool How Long After Shocking a Pool Can You Swim?",ph,,,"(Dilution, pH & Chlorine) 2 /guides/edge-cases/swimming-after-shocking-pool How Long After Shocking a Pool Can You Swim?",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
2d9b4af858a56337,comparisons/index.html,How to interpret test results and when CC above 0.5 ppm requires action.,combined_chlorine,,,How to interpret test results and when CC above 0.5 ppm requires action.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
76f42a60ed0a11ee,entities/index.html,Measurement (10) pH — The measure of hydrogen ion concentration indicating acidity or alkalinity of pool water.,ph,,,Measurement (10) pH — The measure of hydrogen ion concentration indicating acidity or alkalinity of pool water.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
69218482f6f75dd0,entities/pool-salt.html,Definition Quick Facts Relationships Calculators Related Entities Definition High-purity sodium chloride (99.8%+) for use in saltwater pool systems.,salt,,,Definition Quick Facts Relationships Calculators Related Entities Definition High-purity sodium chloride (99.8%+) for use in saltwater pool systems.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
85cb9e09a9140606,formulas/alkalinity-formula.html,"To raise alkalinity: sodium bicarbonate (baking soda). 1.5 lbs per 10,000 gallons raises TA by approximately 10 ppm.",total_alkalinity,,,"To raise alkalinity: sodium bicarbonate (baking soda). 1.5 lbs per 10,000 gallons raises TA by approximately 10 ppm.",mechanical_category=NON_CHEMISTRY_ARTIFACT,,NOT_A_CLAIM,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).",NO_PRODUCTION_ACTION,2026-08-18
44f8f7b82bc4c705,formulas/alkalinity-formula.html,Limitations & Notes Sodium bicarbonate also causes a slight pH increase — usually 0.1 to 0.2 pH units for typical doses.,ph,,,Limitations & Notes Sodium bicarbonate also causes a slight pH increase — usually 0.1 to 0.2 pH units for typical doses.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
cebb56e104077c75,formulas/ph-adjustment-formula.html,"To raise pH: use sodium carbonate (soda ash) — approximately 6 oz per 10,000 gallons per 0.2 pH unit increase.",ph,,,"To raise pH: use sodium carbonate (soda ash) — approximately 6 oz per 10,000 gallons per 0.2 pH unit increase.",mechanical_category=NON_CHEMISTRY_ARTIFACT,,NOT_A_CLAIM,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).",NO_PRODUCTION_ACTION,2026-08-18
9edbb678ce36f0b9,formulas/ph-adjustment-formula.html,Accuracy decreases for adjustments > ±0.5 pH units.,ph,,,Accuracy decreases for adjustments > ±0.5 pH units.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
7e0f558879172a0a,formulas/salt-formula.html,Pool-grade salt is 99.8%+ pure sodium chloride — do not use rock salt or water softener salt with additives.,salt,,,Pool-grade salt is 99.8%+ pure sodium chloride — do not use rock salt or water softener salt with additives.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
e4720708b5b23e6a,formulas/salt-formula.html,"It only needs to be replenished after significant water loss (drain, splash-out, backwash) or heavy rainfall (dilution). 1 lb of salt per 10,000 gallons raises salt level by approximately 12 ppm.",salt,,,"It only needs to be replenished after significant water loss (drain, splash-out, backwash) or heavy rainfall (dilution). 1 lb of salt per 10,000 gallons raises salt level by approximately 12 ppm.",mechanical_category=NON_CHEMISTRY_ARTIFACT,,NOT_A_CLAIM,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).",NO_PRODUCTION_ACTION,2026-08-18
d77fd506ec0b8ca4,formulas/shock-formula.html,Algae recovery typically requires 20–30 ppm FC.,free_chlorine,,,Algae recovery typically requires 20–30 ppm FC.,mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
acf78727cc9cf3b7,glossary/black-algae.html,"Definition Details Values Definition Black algae is a stubborn, deeply rooted algae species that forms black or dark blue-green spots on pool plaster surfaces. &#127919; Typical Values: Treatment: 20–30 ppm FC maintained for 3–5 days; requires vigorous brushing In Plain Language Despite its name, bl…",free_chlorine,,,"Definition Details Values Definition Black algae is a stubborn, deeply rooted algae species that forms black or dark blue-green spots on pool plaster surfaces. &#127919; Typical Values: Treatment: 20–30 ppm FC maintained for 3–5 days; requires vigorous brushing In Plain Language Despite its name, bl…",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
967a7fd1a6b0bdb7,glossary/black-algae.html,"Treatment requires physically scrubbing the spots aggressively with a stiff brush to break the protective layer, then maintaining very high FC levels (20–30 ppm) for several days.",free_chlorine,,,"Treatment requires physically scrubbing the spots aggressively with a stiff brush to break the protective layer, then maintaining very high FC levels (20–30 ppm) for several days.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
fd36093250221e4d,glossary/carbon-dioxide.html,"Pools with high aeration (waterfalls, fountains, spa jets) off-gas CO2 rapidly, which raises pH as the acidic CO2 leaves the water.",ph,,,"Pools with high aeration (waterfalls, fountains, spa jets) off-gas CO2 rapidly, which raises pH as the acidic CO2 leaves the water.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
f86db4e02b320ce5,glossary/carbon-dioxide.html,"Conversely, adding CO2 gas (through a CO2 injection system) is an alternative to muriatic acid for pH control in commercial pools — it is safer and provides precise pH management.",ph,,,"Conversely, adding CO2 gas (through a CO2 injection system) is an alternative to muriatic acid for pH control in commercial pools — it is safer and provides precise pH management.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
415c4fde4133185a,glossary/carbon-dioxide.html,"Conversely, adding CO2 gas (through a CO2 injection system) is an alternative to muriatic acid for pH control in commercial pools — it is safer and provides precise pH management.",ph,,,"Conversely, adding CO2 gas (through a CO2 injection system) is an alternative to muriatic acid for pH control in commercial pools — it is safer and provides precise pH management.",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
1156c31fad77947c,glossary/chloramine.html,"They are the primary cause of pool odour and eye irritation. &#127919; Typical Values: Action threshold: 0.5 ppm combined chlorine In Plain Language The main chloramines in pool water are monochloramine (NH2Cl), dichloramine (NHCl2), and nitrogen trichloride (NCl3).",combined_chlorine,,,"They are the primary cause of pool odour and eye irritation. &#127919; Typical Values: Action threshold: 0.5 ppm combined chlorine In Plain Language The main chloramines in pool water are monochloramine (NH2Cl), dichloramine (NHCl2), and nitrogen trichloride (NCl3).",mechanical_category=DEFERRED,,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",NO_PRODUCTION_ACTION,2026-08-18
