claim_id,source_file,parameter_id,production_value,production_unit,category,reason,source_claim
84a95e3fbf929872,academy/troubleshooting/corrosion.html,calcium_hardness,100,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Testing shows pH 7.1 and Ca hardness 100 ppm — an LSI of approximately -1.0.
4a69db2dd89752a3,academy/troubleshooting/scaling.html,calcium_hardness,30,%,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","The fix: lower pH to 7.4 immediately (largest LSI impact), lower TA to 90 ppm, and plan a 30% partial drain to reduce hardness to ~340 ppm."
64590da4c954e6cc,academy/vacation-rentals/emergency-water-recovery.html,free_chlorine,10,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Step 5: Test every 4–6 hours and add more chlorine if FC drops below 10 ppm (sign that active algae or high chlorine demand is still consuming it).
f5d774c25138e0f4,academy/vacation-rentals/emergency-water-recovery.html,ph,8.1,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","FC is zero, pH 8.1."
8e3605b6538a01dc,academy/water-balance/understanding-calcium-hardness.html,calcium_hardness,10,ppm,NON_CHEMISTRY_ARTIFACT,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).","Typical dose for raising hardness by 10 ppm in a 10,000-gallon pool is approximately 1.25 lbs."
16274f4e389c358b,academy/water-balance/understanding-cyanuric-acid.html,cyanuric_acid,90,%,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Without CYA in an outdoor pool, chlorine exposed to direct sunlight at midday will deplete by 90% within two to three hours."
093ccad19793fcb4,academy/water-balance/understanding-cyanuric-acid.html,cyanuric_acid,100,ppm,NON_CHEMISTRY_ARTIFACT,"Describes what fraction/percentage of the parameter is in an active chemical form (e.g. ""22% remains as HOCl""), a chemistry-equilibrium fact, not a concentration target -- not comparable to a canonical range.","At CYA 100 ppm and the same pH, only 6–7% is active."
e9421d8769be79c4,academy/water-balance/understanding-lsi.html,ph,0.1,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Of the adjustable variables, pH has the largest impact on LSI because the pH factor in the formula is the raw pH value, not a lookup number — a 0.1 pH change shifts LSI by 0.1 directly."
93dcf35c0bbb9853,academy/water-balance/understanding-ph.html,ph,8,ph_units,NON_CHEMISTRY_ARTIFACT,"Describes what fraction/percentage of the parameter is in an active chemical form (e.g. ""22% remains as HOCl""), a chemistry-equilibrium fact, not a concentration target -- not comparable to a canonical range.","At pH 8.0, only 22% remains as HOCl."
2498d519df23327e,academy/water-balance/understanding-ph.html,free_chlorine,6,ppm,CONTEXTUAL_DIFFERENCE,"Comparison/equivalence statement between two different readings or scenarios, not an assertion that either value is itself a target.",This means a pool with 2 ppm FC at pH 7.2 has roughly the same effective sanitation as a pool with 6 ppm FC at pH 8.0.
9b80e2cb8d605ec1,academy/water-balance/understanding-ph.html,ph,8,ph_units,CONTEXTUAL_DIFFERENCE,"Comparison/equivalence statement between two different readings or scenarios, not an assertion that either value is itself a target.",This means a pool with 2 ppm FC at pH 7.2 has roughly the same effective sanitation as a pool with 6 ppm FC at pH 8.0.
454da4a22bf5f8e4,academy/water-balance/water-balance-order.html,total_alkalinity,50,ppm,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).","Examples Full Rebalancing Sequence An opening test shows: TA 50 ppm, pH 7.0, CH 100 ppm, FC 0."
59ed7f611dc0ba7f,academy/water-balance/water-balance-order.html,calcium_hardness,100,ppm,EXAMPLE_CALCULATION,"Troubleshooting worked-example section (""Examples...""/""Test(s) shows:..."") -- describes a specific scenario's readings, not a general recommendation. The original claim_type detector only recognizes ""for example""/""suppose""-style phrasing, missing this section-heading pattern -- a real, newly-found detection gap, not corrected in the extractor this phase (out of scope; documented for a future extraction pass).","Examples Full Rebalancing Sequence An opening test shows: TA 50 ppm, pH 7.0, CH 100 ppm, FC 0."
2fc8022383997c62,audit/google/crawl-depth.html,ph,2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","(Dilution, pH & Chlorine) 2 /guides/edge-cases/swimming-after-shocking-pool How Long After Shocking a Pool Can You Swim?"
2d9b4af858a56337,comparisons/index.html,combined_chlorine,0.5,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",How to interpret test results and when CC above 0.5 ppm requires action.
76f42a60ed0a11ee,entities/index.html,ph,10,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Measurement (10) pH — The measure of hydrogen ion concentration indicating acidity or alkalinity of pool water.
69218482f6f75dd0,entities/pool-salt.html,salt,99.8,%,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Definition Quick Facts Relationships Calculators Related Entities Definition High-purity sodium chloride (99.8%+) for use in saltwater pool systems.
85cb9e09a9140606,formulas/alkalinity-formula.html,total_alkalinity,10,ppm,NON_CHEMISTRY_ARTIFACT,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).","To raise alkalinity: sodium bicarbonate (baking soda). 1.5 lbs per 10,000 gallons raises TA by approximately 10 ppm."
44f8f7b82bc4c705,formulas/alkalinity-formula.html,ph,0.1-0.2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Limitations & Notes Sodium bicarbonate also causes a slight pH increase — usually 0.1 to 0.2 pH units for typical doses.
cebb56e104077c75,formulas/ph-adjustment-formula.html,ph,0.2,ph_units,NON_CHEMISTRY_ARTIFACT,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).","To raise pH: use sodium carbonate (soda ash) — approximately 6 oz per 10,000 gallons per 0.2 pH unit increase."
9edbb678ce36f0b9,formulas/ph-adjustment-formula.html,ph,0.5,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Accuracy decreases for adjustments > ±0.5 pH units.
7e0f558879172a0a,formulas/salt-formula.html,salt,99.8,%,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Pool-grade salt is 99.8%+ pure sodium chloride — do not use rock salt or water softener salt with additives.
e4720708b5b23e6a,formulas/salt-formula.html,salt,12,ppm,NON_CHEMISTRY_ARTIFACT,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).","It only needs to be replenished after significant water loss (drain, splash-out, backwash) or heavy rainfall (dilution). 1 lb of salt per 10,000 gallons raises salt level by approximately 12 ppm."
d77fd506ec0b8ca4,formulas/shock-formula.html,free_chlorine,20-30,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Algae recovery typically requires 20–30 ppm FC.
acf78727cc9cf3b7,glossary/black-algae.html,free_chlorine,20-30,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Definition Details Values Definition Black algae is a stubborn, deeply rooted algae species that forms black or dark blue-green spots on pool plaster surfaces. &#127919; Typical Values: Treatment: 20–30 ppm FC maintained for 3–5 days; requires vigorous brushing In Plain Language Despite its name, bl…"
967a7fd1a6b0bdb7,glossary/black-algae.html,free_chlorine,20-30,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Treatment requires physically scrubbing the spots aggressively with a stiff brush to break the protective layer, then maintaining very high FC levels (20–30 ppm) for several days."
fd36093250221e4d,glossary/carbon-dioxide.html,ph,2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Pools with high aeration (waterfalls, fountains, spa jets) off-gas CO2 rapidly, which raises pH as the acidic CO2 leaves the water."
f86db4e02b320ce5,glossary/carbon-dioxide.html,ph,2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Conversely, adding CO2 gas (through a CO2 injection system) is an alternative to muriatic acid for pH control in commercial pools — it is safer and provides precise pH management."
415c4fde4133185a,glossary/carbon-dioxide.html,ph,2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Conversely, adding CO2 gas (through a CO2 injection system) is an alternative to muriatic acid for pH control in commercial pools — it is safer and provides precise pH management."
1156c31fad77947c,glossary/chloramine.html,combined_chlorine,0.5,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","They are the primary cause of pool odour and eye irritation. &#127919; Typical Values: Action threshold: 0.5 ppm combined chlorine In Plain Language The main chloramines in pool water are monochloramine (NH2Cl), dichloramine (NHCl2), and nitrogen trichloride (NCl3)."
c5603fbc359a4b45,glossary/cyanuric-acid.html,salt,60-80,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Definition Details Values Definition Cyanuric acid is a stabilizing compound that forms a reversible bond with free chlorine in pool water, protecting it from UV degradation. &#127919; Typical Values: Standard pools: 30–50 ppm; Salt pools: 60–80 ppm; Never above 100 ppm for normal pools In Plain Lan…"
b1f821a6668088c6,glossary/cyanuric-acid.html,salt,100,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Definition Details Values Definition Cyanuric acid is a stabilizing compound that forms a reversible bond with free chlorine in pool water, protecting it from UV degradation. &#127919; Typical Values: Standard pools: 30–50 ppm; Salt pools: 60–80 ppm; Never above 100 ppm for normal pools In Plain Lan…"
d064285c8d34de18,glossary/free-chlorine.html,free_chlorine,1,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Definition Details Values Definition Free chlorine is the concentration of active, unsaturated chlorine available in pool water to sanitise and disinfect. &#127919; Typical Values: Pools: 1–3 ppm; Hot tubs: 3–5 ppm; Minimum safe: 1.0 ppm In Plain Language Free chlorine consists of two forms: hypochl…"
64d72250b0a6acd9,glossary/green-algae.html,free_chlorine,30,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Definition Details Values Definition Green algae is the most common pool algae species, causing water to turn green or teal and surfaces to become slippery. &#127919; Typical Values: Kill dose: 30 ppm FC (active bloom); Maintain 1–3 ppm FC to prevent In Plain Language Green algae (Chlorophyta) is fr…"
7e855272dcd2c18e,glossary/hypochlorous-acid.html,ph,8,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","The proportion of HOCl is controlled entirely by pH — at pH 7.2, about 67% is HOCl; at pH 8.0, only 22% is HOCl."
166cc39500b89698,glossary/mustard-algae.html,free_chlorine,30,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Definition Details Values Definition Mustard algae is a yellow-brown pool algae species that brushes off easily but quickly returns, caused by a chlorine-resistant strain. &#127919; Typical Values: Treatment: 30 ppm FC; wash all swimwear and equipment during treatment In Plain Language Mustard algae…"
913db1838d10d258,glossary/mustard-algae.html,free_chlorine,30,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",It is resistant to normal chlorine levels but is effectively treated with a thorough superchlorination of 30 ppm FC and simultaneous treatment of all equipment that contacted the water.
0489924a31af66a5,glossary/ph-bounce.html,ph,0.5-1,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Small additions of acid or base, rain, or even bather activity can cause pH to swing by 0.5–1.0 units."
8c80c9a5b619b270,glossary/ph-increaser.html,ph,2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Sodium carbonate (Na2CO3) raises pH quickly with a modest alkalinity increase.
7a9c6ef12e2838c3,glossary/ph-increaser.html,ph,3,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Sodium carbonate (Na2CO3) raises pH quickly with a modest alkalinity increase.
4a4c77cbb6a5f301,glossary/ph.html,ph,8,ph_units,NON_CHEMISTRY_ARTIFACT,"Describes what fraction/percentage of the parameter is in an active chemical form (e.g. ""22% remains as HOCl""), a chemistry-equilibrium fact, not a concentration target -- not comparable to a canonical range.","At pH 8.0, only 22% is active. pH also affects swimmer comfort (human tears are pH 7.4), surface corrosion (low pH), and scaling (high pH). pH naturally drifts upward in pools as CO2 off-gasses from the water surface."
d6f39703f2b1766e,glossary/ph.html,ph,2,ph_units,NON_CHEMISTRY_ARTIFACT,"Describes what fraction/percentage of the parameter is in an active chemical form (e.g. ""22% remains as HOCl""), a chemistry-equilibrium fact, not a concentration target -- not comparable to a canonical range.","At pH 8.0, only 22% is active. pH also affects swimmer comfort (human tears are pH 7.4), surface corrosion (low pH), and scaling (high pH). pH naturally drifts upward in pools as CO2 off-gasses from the water surface."
be1d7d65526739bf,glossary/salt-chlorination.html,salt,60-80,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Definition Details Values Definition Salt chlorination (salt water generation) is a system that produces free chlorine continuously by electrolyzing dissolved sodium chloride in pool water. &#127919; Typical Values: Salt level: 2,700–3,400 ppm; CYA for salt pools: 60–80 ppm In Plain Language Salt ch…"
54289f9f4b181886,glossary/sodium-bicarbonate.html,ph,3,ph_units,NON_CHEMISTRY_ARTIFACT,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).","Definition Details Values Definition Sodium bicarbonate (baking soda) is the standard chemical for raising total alkalinity in pool water. &#127919; Typical Values: Raises TA by 6.7 ppm per pound per 10,000 gallons; minimal pH effect In Plain Language Sodium bicarbonate (NaHCO3) dissolves slowly in …"
f46f4f5384f4ac6d,glossary/sodium-carbonate.html,ph,0.2,ph_units,NON_CHEMISTRY_ARTIFACT,"Dosage coefficient / formula constant, not a target range -- same category as the already-disclosed calculator dosing-constant findings (Phase 7F Trust Language Audit).","Definition Details Values Definition Sodium carbonate (soda ash) is used to raise pool water pH with minimal effect on total alkalinity. &#127919; Typical Values: Raises pH by approximately 0.2 units per pound per 10,000 gallons In Plain Language Soda ash (Na2CO3) dissolves quickly in pool water and…"
4ab425a859f4ca52,glossary/superchlorination.html,free_chlorine,5,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","After superchlorination, the pool must be closed to swimmers until FC drops below 5 ppm, typically within 24 hours with the pump running."
0b96dfec0d938636,guides/chlorine/why-pool-wont-hold-chlorine.html,salt,60-80,ppm,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Salt water pools can run slightly higher (60–80 ppm).
45eb3062edb4c338,guides/ph-guide.html,ph,6.8,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Calculator Open pool pH calculator All pH-related pages Hot Tub Ph Calculator Pool Cyanuric Acid Calculator Pool Ph Calculator Why Ph Affects Chlorine Adjust pH 6.8 → 7.2 Adjust pH 7.8 → 7.4 Adjust pH 7 → 7.4 Adjust pH 8 → 7.5 ← Pool chemistry basics Typical range: 1–3 ppm chlorine Recommended pH: 7…
8efd254b10c83499,guides/ph-guide.html,ph,8,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Calculator Open pool pH calculator All pH-related pages Hot Tub Ph Calculator Pool Cyanuric Acid Calculator Pool Ph Calculator Why Ph Affects Chlorine Adjust pH 6.8 → 7.2 Adjust pH 7.8 → 7.4 Adjust pH 7 → 7.4 Adjust pH 8 → 7.5 ← Pool chemistry basics Typical range: 1–3 ppm chlorine Recommended pH: 7…
e90d45878615a9bd,guides/ph/can-you-swim-in-high-ph-water.html,ph,8,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","A pool at pH 8.0 with 2 ppm FC effectively has only 0.4 ppm of active sanitizer — far below safe levels. pH safety thresholds pH range Comfort Chlorine effectiveness Action 7.2–7.6 Ideal, comfortable 50–80% active HC1O None 7.6–7.8 Good 35–50% active Monitor; adjust if drifting higher 7.8–8.0 Mild i…"
f4f767f9849dbcca,guides/ph/can-you-swim-in-high-ph-water.html,ph,1,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","A pool at pH 8.0 with 2 ppm FC effectively has only 0.4 ppm of active sanitizer — far below safe levels. pH safety thresholds pH range Comfort Chlorine effectiveness Action 7.2–7.6 Ideal, comfortable 50–80% active HC1O None 7.6–7.8 Good 35–50% active Monitor; adjust if drifting higher 7.8–8.0 Mild i…"
d55a04240c5d54ae,guides/ph/can-you-swim-in-high-ph-water.html,ph,8.2,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",A pool at pH 8.2 with 2 ppm FC is poorly sanitized and vulnerable to algae blooms.
31df7357dee28238,guides/ph/can-you-swim-in-high-ph-water.html,ph,8,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.",Can you swim in pH 8.0 water?
918e5bac52495112,guides/ph/can-you-swim-in-high-ph-water.html,ph,8,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","A brief swim is unlikely to cause serious harm, but prolonged swimming in pH 8.0 water will likely cause eye irritation."
b44117f8e0314fac,guides/ph/can-you-swim-in-high-ph-water.html,ph,10,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","It can strip natural oils from skin, cause dry skin and irritated eyes, and at extreme values (pH 10+) cause chemical burns — but pool water at pH 8.0–8.5 typically causes only mild discomfort."
dbdd7151ad1fec12,guides/ph/can-you-swim-in-high-ph-water.html,ph,8-8.5,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","It can strip natural oils from skin, cause dry skin and irritated eyes, and at extreme values (pH 10+) cause chemical burns — but pool water at pH 8.0–8.5 typically causes only mild discomfort."
1fa29782414c1c95,guides/ph/does-rain-lower-pool-ph.html,ph,5.5-6.5,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Quick Answer Yes, rainwater is slightly acidic (typically pH 5.5–6.5) and does lower pool pH slightly."
f11992f7c860cee8,guides/ph/does-rain-lower-pool-ph.html,ph,5.5-6.5,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Rainwater pH is typically 5.5–6.5, lower than the ideal pool range of 7.2–7.6 A light rain has minimal effect; a heavy storm can significantly lower pH and dilute all chemicals After any significant rain, retest FC, pH, TA, and CYA Heavy rain can introduce organic debris that creates chlorine demand…"
a6505d63a26c32e3,guides/ph/does-rain-lower-pool-ph.html,ph,0.5,ph_units,DEFERRED,"No confident automated classification and not individually reviewed this phase -- genuinely lower priority per Step 11/12 (not safety-critical, not Tier-1, not a confirmed source conflict). Deferred, not resolved.","Rain event Expected pH change Action needed Light drizzle (under 0.5 in) Negligible (−0.1 or less) Test but likely no adjustment needed Moderate rain (0.5–1 in) −0.1 to −0.3 Retest; small acid or bicarb adjustment Heavy rain (1–3 in) −0.3 to −0.6 Retest all parameters; adjust FC, pH, TA Major storm …"
