claim_id,source_file,source_claim,parameter_id,environment,claim_type,production_value,production_unit,source_id,source_value_if_available,conflict_type,conflict_reason,resolution_status
ee54f93603c9490d,academy/index.html,"Browse by Category Fundamentals Core water chemistry concepts every pool owner needs to understand. 6 articles Sanitizers Chlorine, bromine, salt, and alternative sanitization methods. 6 articles Testing How to test pool water accurately and interpret results. 6 articles Water Balance Balancing pH, …",ph,pool,RANGE,6,ph_units,,,EXTRACTION_ARTIFACT,"Navigation, UI chrome, or page-metadata text; the numeric value is not a chemistry claim at all.",NOT_A_CHEMISTRY_CLAIM
662547d34e1902c0,academy/sanitizers/bromine-vs-chlorine.html,"Bromine also remains more effective at higher pH (up to 8.0) compared to chlorine, giving more flexibility in pH management for spas.",ph,unspecified,RANGE,8,ph_units,,,CONTEXT_MISMATCH,"Value is part of a comparison/analogy (e.g. ""far lower than ocean water""), not an assertion about the target parameter itself.",FALSE_CONFLICT
3babcfc82ef3edd3,academy/sanitizers/combined-chlorine-explained.html,Key Facts Combined chlorine above 0.5 ppm is the action threshold — shock treatment is needed.,combined_chlorine,unspecified,RANGE,0.5,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
189b214b02acd2f4,academy/sanitizers/liquid-chlorine-vs-tablets.html,Trichlor tablets are 90% available chlorine but also add cyanuric acid with every dose.,cyanuric_acid,unspecified,RANGE,90,%,,,UNSUPPORTED_PRODUCTION_CLAIM,"Value describes a product/chemical-supply specification (e.g. product concentration, %-by-weight), not a pool/spa water target -- never comparable to a water-chemistry range.",NOT_A_CHEMISTRY_CLAIM
3473187f4ce9851e,academy/sanitizers/liquid-chlorine-vs-tablets.html,It raises pH slightly (typically by 0.1–0.2 per dose for average pools) and does not add cyanuric acid.,ph,pool,RULE_OF_THUMB,0.1-0.2,ph_units,,,RANGE_MISMATCH,"Value 0.1-0.2 ph_units does not overlap the canonical range(s) range-ph-pool-chlorine-routine (7-7.8), range-ph-pool-narrow-operational (7.2-7.6) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
9054355991dd53a1,academy/sanitizers/liquid-chlorine-vs-tablets.html,Each tablet contains approximately 90% available chlorine but also contains cyanuric acid as a stabiliser.,cyanuric_acid,unspecified,RULE_OF_THUMB,90,%,,,UNSUPPORTED_PRODUCTION_CLAIM,"Value describes a product/chemical-supply specification (e.g. product concentration, %-by-weight), not a pool/spa water target -- never comparable to a water-chemistry range.",NOT_A_CHEMISTRY_CLAIM
a7dcfc1fa1289c35,academy/sanitizers/understanding-free-chlorine.html,"At pH 7.2, about 67% of free chlorine is in its most effective form (HOCl).",free_chlorine,unspecified,RANGE,67,%,,,UNSUPPORTED_PRODUCTION_CLAIM,"Describes what fraction/percentage of the parameter is in a particular chemical form/state, not a concentration target.",NOT_A_CHEMISTRY_CLAIM
193d99470545a750,academy/sanitizers/understanding-free-chlorine.html,"At pH 8.0, this drops to 22%.",ph,unspecified,RANGE,8,ph_units,,,CONTEXT_MISMATCH,"Diagnostic/illustrative phrasing describing an out-of-range reading as a problem or a threshold effect, not asserting this value as the target.",FALSE_CONFLICT
40fb9a355eaa851e,academy/testing/common-testing-mistakes.html,Examples Solving Chronic Low Chlorine Readings A pool owner has been adding extra chlorine every week because readings consistently show FC near 0.5 ppm — yet the pool stays clear.,free_chlorine,pool,RANGE,0.5,ppm,,,RANGE_MISMATCH,"Value 0.5-0.5 ppm does not overlap the canonical range(s) range-fc-pool-chlorine-no-cya (1-3), range-fc-pool-chlorine-with-cya (2-4) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
ee8b0b0cf19a507d,academy/testing/how-often-to-test-water.html,"After a large bather load (pool party), test the following morning and add shock if combined chlorine is above 0.5 ppm.",combined_chlorine,pool,RANGE,0.5,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
bf220486290fa6a0,academy/testing/understanding-test-results.html,The magnitude of deviation matters — free chlorine at 0.9 ppm is borderline; free chlorine at 0 ppm requires immediate treatment.,free_chlorine,unspecified,RANGE,0.9,ppm,,,CONTEXT_MISMATCH,"Diagnostic/illustrative phrasing describing an out-of-range reading as a problem or a threshold effect, not asserting this value as the target.",FALSE_CONFLICT
91759d1caeab7bed,academy/testing/understanding-test-results.html,The magnitude of deviation matters — free chlorine at 0.9 ppm is borderline; free chlorine at 0 ppm requires immediate treatment.,free_chlorine,unspecified,RANGE,0,ppm,,,CONTEXT_MISMATCH,"Diagnostic/illustrative phrasing describing an out-of-range reading as a problem or a threshold effect, not asserting this value as the target.",FALSE_CONFLICT
ebad11f9374c4d35,academy/testing/understanding-test-results.html,"Prioritising Adjustments When multiple parameters are out of range, follow the adjustment order: 1) Total alkalinity (it stabilises everything else). 2) pH (wait 4 hours after adjusting TA before testing and adjusting pH). 3) Free chlorine (ineffective until pH is in range). 4) Calcium hardness. 5) …",ph,unspecified,SAFETY_GUIDANCE,2,ph_units,,,EXTRACTION_ARTIFACT,"""2"" is a step/day/test-numbering token (""Step 2"" / ""2)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
f64fef9bfcbcbf3e,academy/testing/understanding-test-results.html,"Is pH very high (above 8.0), making chlorine nearly inactive?",ph,unspecified,RANGE,8,ph_units,,,RANGE_MISMATCH,"Value 8-8 ph_units does not overlap the canonical range(s) range-ph-pool-chlorine-routine (7-7.8), range-ph-hottub-chlorine-routine (7-7.8), range-ph-hottub-bromine-routine (7-7.8), range-ph-pool-narrow-operational (7.2-7.6) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
8656fcc31210cae6,academy/testing/understanding-test-results.html,"Is CYA above 100 ppm, causing a &quot;chlorine lock&quot;?",cyanuric_acid,unspecified,RANGE,100,ppm,,,CONTEXT_MISMATCH,"""Above/exceeds"" threshold phrasing describing a too-high condition, consistent with (not contradicting) the canonical range's own maximum (15).",FALSE_CONFLICT
9b3a54181522ecb9,academy/testing/understanding-test-results.html,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",free_chlorine,unspecified,RANGE,0.5,ppm,,,RANGE_MISMATCH,"Value 0.5-0.5 ppm does not overlap the canonical range(s) range-fc-pool-chlorine-no-cya (1-3), range-fc-pool-chlorine-with-cya (2-4), range-fc-hottub-chlorine-routine (3-5) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
ba934eac9250f383,academy/testing/understanding-test-results.html,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",ph,unspecified,RANGE,7.9,ph_units,,,RANGE_MISMATCH,"Value 7.9-7.9 ph_units does not overlap the canonical range(s) range-ph-pool-chlorine-routine (7-7.8), range-ph-hottub-chlorine-routine (7-7.8), range-ph-hottub-bromine-routine (7-7.8), range-ph-pool-narrow-operational (7.2-7.6) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
31d15b31aab1c809,academy/testing/understanding-test-results.html,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",calcium_hardness,unspecified,RANGE,120,ppm,,,RANGE_MISMATCH,"Value 120-120 ppm does not overlap the canonical range(s) range-ch-public-pool-standard (150-1000), range-ch-residential-practical (200-400) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
7ae3efe952c264c6,academy/testing/using-liquid-test-kits.html,Combined chlorine = 3.5 - 2.0 = 1.5 ppm.,combined_chlorine,unspecified,RANGE,1.5,ppm,,,EXTRACTION_ARTIFACT,"Intermediate arithmetic step, dosage coefficient, or formula constant in a worked example -- not an asserted target claim.",NOT_A_CHEMISTRY_CLAIM
418c037e1d017895,academy/testing/using-test-strips.html,Re-testing with a liquid kit the next morning shows FC at 8 ppm — dangerous for swimming.,free_chlorine,unspecified,RANGE,8,ppm,,,RANGE_MISMATCH,"Value 8-8 ppm does not overlap the canonical range(s) range-fc-pool-chlorine-no-cya (1-3), range-fc-pool-chlorine-with-cya (2-4), range-fc-hottub-chlorine-routine (3-5) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
6d98e3fb6df50ce4,academy/troubleshooting/cloudy-water.html,"Chemical Treatment for Cloudiness If cloudiness is from chemistry: first bring pH into the 7.2–7.6 range, then shock the pool to 10 ppm FC or higher.",free_chlorine,pool,RANGE,10,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
0a0a7b8ef6cefe4b,academy/troubleshooting/cloudy-water.html,"Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm.",free_chlorine,pool,RANGE,0.8,ppm,,,RANGE_MISMATCH,"Value 0.8-0.8 ppm does not overlap the canonical range(s) range-fc-pool-chlorine-no-cya (1-3), range-fc-pool-chlorine-with-cya (2-4) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
2040b58bbe1c925b,academy/troubleshooting/cloudy-water.html,"Examples Clearing Cloudy Water in 48 Hours Pool tests: FC 0.8 ppm, pH 7.9, TA 110 ppm.",ph,pool,RANGE,7.9,ph_units,,,RANGE_MISMATCH,"Value 7.9-7.9 ph_units does not overlap the canonical range(s) range-ph-pool-chlorine-routine (7-7.8), range-ph-pool-narrow-operational (7.2-7.6) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
d3242bcbf8315323,academy/troubleshooting/cloudy-water.html,Day 1 morning: add muriatic acid to lower pH to 7.4.,ph,unspecified,RANGE,1,ph_units,,,EXTRACTION_ARTIFACT,"""1"" is a step/day/test-numbering token (""Step 1"" / ""1)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
3b50560f2e5c24ca,academy/troubleshooting/cloudy-water.html,Afternoon: shock pool to 10 ppm FC using liquid chlorine.,free_chlorine,pool,RANGE,10,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
84a95e3fbf929872,academy/troubleshooting/corrosion.html,Testing shows pH 7.1 and Ca hardness 100 ppm — an LSI of approximately -1.0.,calcium_hardness,unspecified,RULE_OF_THUMB,100,ppm,,,RANGE_MISMATCH,"Value 100-100 ppm does not overlap the canonical range(s) range-ch-public-pool-standard (150-1000), range-ch-residential-practical (200-400) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
75afa38cb015e374,academy/troubleshooting/corrosion.html,Step 3: Raise pH to 7.4 and hardness to 250 ppm over 48 hours.,ph,unspecified,RANGE,3,ph_units,,,EXTRACTION_ARTIFACT,"""3"" is a step/day/test-numbering token (""Step 3"" / ""3)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
af987ca0b10a8315,academy/troubleshooting/green-water.html,The shock dose for an active green pool is 30 ppm FC — ten times the normal level.,free_chlorine,pool,RANGE,30,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
d44095dc1bc58f66,academy/troubleshooting/green-water.html,"The Green Pool Treatment Protocol Step 1: Test pH, alkalinity, and CYA.",ph,pool,RANGE,1,ph_units,,,EXTRACTION_ARTIFACT,"""1"" is a step/day/test-numbering token (""Step 1"" / ""1)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
91bfc9d1414df2c5,academy/troubleshooting/scaling.html,"Preventing and Removing Scale Prevention: keep LSI between -0.3 and +0.3 by maintaining pH below 7.6, calcium hardness at or below 400 ppm, and alkalinity at 80–120 ppm.",ph,unspecified,RANGE,0.3,ph_units,,,CONTEXT_MISMATCH,"""Below/under"" threshold phrasing describing a too-low condition, consistent with (not contradicting) the canonical range's own minimum (7).",FALSE_CONFLICT
4a69db2dd89752a3,academy/troubleshooting/scaling.html,"The fix: lower pH to 7.4 immediately (largest LSI impact), lower TA to 90 ppm, and plan a 30% partial drain to reduce hardness to ~340 ppm.",calcium_hardness,unspecified,RANGE,30,%,,,RANGE_MISMATCH,"Value 30-30 % does not overlap the canonical range(s) range-ch-public-pool-standard (150-1000), range-ch-residential-practical (200-400) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
9cd461b8459e282c,academy/troubleshooting/strong-chlorine-smell.html,Ideal Range: N/A (prevented by keeping CC < 0.5 ppm) Calculators Pool Shock Calculator Related Combined Chlorine Breakpoint Chlorination Shock Treatment Eye Irritation Full entity details → In This Category Cloudy Pool Water: Causes and Solutions Green Pool Water: How to Fix It Foaming Hot Tubs: Cau…,combined_chlorine,pool,RANGE,0.5,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
9f7b718a514248c2,academy/troubleshooting/strong-chlorine-smell.html,Combined chlorine above 0.5 ppm is the action threshold — breakpoint shock is needed.,combined_chlorine,unspecified,RANGE,0.5,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
e86930b53ee7bc88,academy/vacation-rentals/emergency-water-recovery.html,The shock dose for a green pool is 30 ppm FC — the pool volume calculator determines the exact chemical amount.,free_chlorine,pool,RANGE,30,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
2b2da03f5cc25369,academy/vacation-rentals/emergency-water-recovery.html,The Recovery Protocol Step 1: Lower pH to 7.2 (maximises chlorine activity).,ph,unspecified,RANGE,1,ph_units,,,EXTRACTION_ARTIFACT,"""1"" is a step/day/test-numbering token (""Step 1"" / ""1)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
ecebf50530cdde22,academy/vacation-rentals/emergency-water-recovery.html,Step 3: Add shock chlorine to reach 30 ppm FC (for green water) or 10 ppm (for moderately compromised water).,free_chlorine,unspecified,RANGE,30,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
a893639795d6a251,academy/vacation-rentals/emergency-water-recovery.html,Step 3: Add shock chlorine to reach 30 ppm FC (for green water) or 10 ppm (for moderately compromised water).,free_chlorine,unspecified,RANGE,10,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
64590da4c954e6cc,academy/vacation-rentals/emergency-water-recovery.html,Step 5: Test every 4–6 hours and add more chlorine if FC drops below 10 ppm (sign that active algae or high chlorine demand is still consuming it).,free_chlorine,unspecified,RANGE,10,ppm,,,RANGE_MISMATCH,"Value 10-10 ppm does not overlap the canonical range(s) range-fc-pool-chlorine-no-cya (1-3), range-fc-pool-chlorine-with-cya (2-4), range-fc-hottub-chlorine-routine (3-5) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
f5d774c25138e0f4,academy/vacation-rentals/emergency-water-recovery.html,"FC is zero, pH 8.1.",ph,unspecified,RANGE,8.1,ph_units,,,RANGE_MISMATCH,"Value 8.1-8.1 ph_units does not overlap the canonical range(s) range-ph-pool-chlorine-routine (7-7.8), range-ph-hottub-chlorine-routine (7-7.8), range-ph-hottub-bromine-routine (7-7.8), range-ph-pool-narrow-operational (7.2-7.6) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
fd40f03a54e99a01,academy/vacation-rentals/emergency-water-recovery.html,Timeline: Friday 4pm — lower pH with acid.,ph,unspecified,RANGE,4,ph_units,,,EXTRACTION_ARTIFACT,"""4"" is a step/day/test-numbering token (""Step 4"" / ""4)"" / list marker) near an unrelated pH mention elsewhere in the sentence, not a pH reading.",NOT_A_CHEMISTRY_CLAIM
05afc51475e26fee,academy/vacation-rentals/maintenance-schedule.html,Chemical dosing schedule updated for summer: pH adjusted twice weekly (instead of weekly) due to higher CO2 off-gassing from heat and splash.,ph,unspecified,RANGE,2,ph_units,,,EXTRACTION_ARTIFACT,"Number describes testing/dosing FREQUENCY (""N times per week/day""), not a chemistry-parameter value.",NOT_A_CHEMISTRY_CLAIM
df35f7b36e5bde90,academy/vacation-rentals/turnover-checklist.html,"If combined chlorine is above 0.5 ppm, shock overnight before the guest arrives.",combined_chlorine,unspecified,RANGE,0.5,ppm,,,CLAIM_FAMILY_GAP,"Value describes a shock/breakpoint-treatment scenario, correctly outside the routine-maintenance range it was checked against -- no numeric shock-treatment range exists in the claim family yet (see SHOCK-CLAIM-FAMILY-DECISION.md).",REQUIRES_EXPERT_REVIEW
9ca04528a2e522db,academy/vacation-rentals/turnover-checklist.html,"Pre-turnover test: FC 0.8 ppm (low), pH 7.9 (high), TA 100 ppm (ok), CH 220 ppm (ok), CC 0.4 ppm (borderline).",free_chlorine,unspecified,RANGE,0.8,ppm,,,CONTEXT_MISMATCH,"Diagnostic/illustrative phrasing describing an out-of-range reading as a problem or a threshold effect, not asserting this value as the target.",FALSE_CONFLICT
01e4b7f54f2dc212,academy/vacation-rentals/turnover-checklist.html,"Pre-turnover test: FC 0.8 ppm (low), pH 7.9 (high), TA 100 ppm (ok), CH 220 ppm (ok), CC 0.4 ppm (borderline).",ph,unspecified,RANGE,7.9,ph_units,,,CONTEXT_MISMATCH,"Diagnostic/illustrative phrasing describing an out-of-range reading as a problem or a threshold effect, not asserting this value as the target.",FALSE_CONFLICT
96321eb685cd7e22,academy/vacation-rentals/weekly-inspection.html,"Water Chemistry Check The chemistry portion of the weekly inspection covers: free chlorine (1–3 ppm), combined chlorine (below 0.5 ppm), pH (7.2–7.6), total alkalinity (80–120 ppm), and a visual clarity check — can you see the main drain from the pool deck?",combined_chlorine,unspecified,RANGE,0.5,ppm,,,UNSUPPORTED_PRODUCTION_CLAIM,"Describes what fraction/percentage of the parameter is in a particular chemical form/state, not a concentration target.",NOT_A_CHEMISTRY_CLAIM
8e3605b6538a01dc,academy/water-balance/understanding-calcium-hardness.html,"Typical dose for raising hardness by 10 ppm in a 10,000-gallon pool is approximately 1.25 lbs.",calcium_hardness,pool,RULE_OF_THUMB,10,ppm,,,RANGE_MISMATCH,"Value 10-10 ppm does not overlap the canonical range(s) range-ch-public-pool-standard (150-1000), range-ch-residential-practical (200-400) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
16274f4e389c358b,academy/water-balance/understanding-cyanuric-acid.html,"Without CYA in an outdoor pool, chlorine exposed to direct sunlight at midday will deplete by 90% within two to three hours.",cyanuric_acid,pool,RANGE,90,%,,,RANGE_MISMATCH,"Value 90-90 % does not overlap the canonical range(s) range-cya-public-pool-incident-response-max (0-15), range-cya-residential-routine-outdoor (30-50), range-cya-saltwater-outdoor (60-80) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
b263d2fcc2c09274,academy/water-balance/understanding-cyanuric-acid.html,"At CYA 30 ppm and pH 7.4, approximately 20% of FC is active.",free_chlorine,unspecified,RULE_OF_THUMB,20,%,,,UNSUPPORTED_PRODUCTION_CLAIM,"Describes what fraction/percentage of the parameter is in a particular chemical form/state, not a concentration target.",NOT_A_CHEMISTRY_CLAIM
093ccad19793fcb4,academy/water-balance/understanding-cyanuric-acid.html,"At CYA 100 ppm and the same pH, only 6–7% is active.",cyanuric_acid,unspecified,RANGE,100,ppm,,,RANGE_MISMATCH,"Value 100-100 ppm does not overlap the canonical range(s) range-cya-public-pool-incident-response-max (0-15), range-cya-residential-routine-outdoor (30-50), range-cya-saltwater-outdoor (60-80), range-cya-hottub (0-0) and does not match a recognized pattern (product spec / shock scenario / threshold phrasing / formula / nav noise) -- needs individual review.",UNREVIEWED
