claim_id,claim_text,parameter,production_context,source_id,source_support,support_type,decision,notes
4678e76aeb2baa24,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",pool_volume,"academy/equipment/sand-vs-cartridge-filters.html (env=unspecified, 900-2000 gallons)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""pool_volume"" at all."
fdb04ff80c03a4dc,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,water_temperature,"academy/fundamentals/how-temperature-changes-water-chemistry.html (env=unspecified, 10-10 °f)",,MANUALLY_REVIEWED,NOT_SUPPORTED,NO_TEMPERATURE_TARGET_SOURCE,"No source in the registry sets a water-temperature TARGET (CDC discusses temperature's effect on chemistry, not a temperature range to maintain) -- genuinely out of current source coverage, not an error."
e213ea2cafa1c58a,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,water_temperature,"academy/fundamentals/how-temperature-changes-water-chemistry.html (env=unspecified, 80-80 °f)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""water_temperature"" at all."
d1c75f03643d729f,The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.,water_temperature,"academy/fundamentals/how-temperature-changes-water-chemistry.html (env=unspecified, 70-70 °f)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""water_temperature"" at all."
f05e458013b5714b,The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.,water_temperature,"academy/fundamentals/how-temperature-changes-water-chemistry.html (env=unspecified, 90-90 °f)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""water_temperature"" at all."
7b592a388e5514ac,"This is why pool pH tends to be higher in summer and why pools with waterfalls, fountains, or high-speed jets see faster pH rise — all of those features accelerate CO2 off-gassing.",ph,"academy/fundamentals/how-temperature-changes-water-chemistry.html (env=pool, 2-2 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 2-2 ph_units does not overlap any canonical range for ph/pool (checked: range-ph-pool-chlorine-routine, range-ph-pool-narrow-operational)."
a9d73e5e4181f079,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",lsi,"academy/fundamentals/how-temperature-changes-water-chemistry.html (env=unspecified, -0.1--0.1 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
531386438abf11f5,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",lsi,"academy/fundamentals/how-temperature-changes-water-chemistry.html (env=unspecified, 0.4-0.4 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
8b4e6678584b703e,Key Facts An LSI of 0.0 is perfect balance; the industry target range is -0.3 to +0.3.,lsi,"academy/fundamentals/how-water-balance-works.html (env=unspecified, 0-0 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
07f9387662bcc49a,Key Facts An LSI of 0.0 is perfect balance; the industry target range is -0.3 to +0.3.,lsi,"academy/fundamentals/how-water-balance-works.html (env=unspecified, -0.3--0.3 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
b7e96bb547689de1,Key Facts An LSI of 0.0 is perfect balance; the industry target range is -0.3 to +0.3.,lsi,"academy/fundamentals/how-water-balance-works.html (env=unspecified, 0.3-0.3 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
8987d5de12e617ef,"Aggressive water (LSI below -0.3) attacks plaster, grout, metal fittings, and pump impellers.",lsi,"academy/fundamentals/how-water-balance-works.html (env=unspecified, -0.3--0.3 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
96228bb24adabc1d,"Scaling water (LSI above +0.3) deposits calcium on heater elements, pipes, and pool surfaces.",lsi,"academy/fundamentals/how-water-balance-works.html (env=unspecified, 0.3-0.3 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
9eb6caeb99bdd617,Most pool chemistry references target an LSI between -0.3 and +0.3.,lsi,"academy/fundamentals/how-water-balance-works.html (env=pool, -0.3--0.3 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
134a2ea11ca7086f,Most pool chemistry references target an LSI between -0.3 and +0.3.,lsi,"academy/fundamentals/how-water-balance-works.html (env=pool, 0.3-0.3 )",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""lsi"" at all."
efd3b81ce4a0b373,Key Facts A typical hot tub holds 300–500 gallons — roughly 1/30th the volume of a small pool.,pool_volume,"academy/fundamentals/pool-vs-hot-tub-chemistry.html (env=both, 300-500 gallons)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""pool_volume"" at all."
dd5ab791b85a1f28,A hot tub holds 300–500 gallons.,pool_volume,"academy/fundamentals/pool-vs-hot-tub-chemistry.html (env=hot_tub, 300-500 gallons)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""pool_volume"" at all."
25f154830055ac84,Temperature and Chemical Reactions Hot tub water typically operates at 98–104°F.,water_temperature,"academy/fundamentals/pool-vs-hot-tub-chemistry.html (env=hot_tub, 98-104 °f)",,MANUALLY_REVIEWED,NOT_SUPPORTED,NO_TEMPERATURE_TARGET_SOURCE,Same -- no primary source for a hot-tub temperature range in the current registry.
0b210ad7ee9eca2f,The Langelier Saturation Index also shifts significantly with temperature — water that is balanced at 80°F can be aggressively scaling at 100°F with the same hardness and alkalinity values.,water_temperature,"academy/fundamentals/pool-vs-hot-tub-chemistry.html (env=unspecified, 80-80 °f)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""water_temperature"" at all."
1f18d1ddbbe0ec31,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Test 1: Free Chlorine Test 2: pH Tests 3 & 4: Alkalinity and Hardness Examples Common Mistakes Calculators Chemical Calculator Pool Alkalinity Calculator Pool Cyanuric Acid Calculator Fundament…,ph,"academy/fundamentals/the-four-core-water-tests.html (env=hot_tub, 2-2 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 2-2 ph_units does not overlap any canonical range for ph/hot_tub (checked: range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine)."
1cafa2074c0bd35e,Test 2: pH pH is the most important factor in chlorine effectiveness.,ph,"academy/fundamentals/the-four-core-water-tests.html (env=unspecified, 2-2 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 2-2 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
bd4618c6551293df,Cyanuric acid above 80 ppm significantly reduces chlorine effectiveness even when the reading looks correct.,cyanuric_acid,"academy/fundamentals/understanding-pool-water-chemistry.html (env=unspecified, 80-80 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"Value overlaps range-cya-saltwater-outdoor, but that canonical range itself has no confirmed source (status REQUIRES_REVIEW) -- see chemistry-ranges.js."
cb3d83cf48f75d12,"Above 7.8, chlorine effectiveness drops sharply — at pH 8.0, active chlorine is only about 22% of what the test shows.",ph,"academy/fundamentals/understanding-pool-water-chemistry.html (env=unspecified, 8-8 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 8-8 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
19cb52bd25332a0c,Target CYA for standard outdoor pools is 30–50 ppm.,cyanuric_acid,"academy/fundamentals/understanding-pool-water-chemistry.html (env=pool, 30-50 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"Value overlaps range-cya-residential-routine-outdoor, but that canonical range itself has no confirmed source (status REQUIRES_REVIEW) -- see chemistry-ranges.js."
d1feb9238ca02179,Examples Catching a Problem Early A pool owner tests on Monday and finds FC at 0.8 ppm — below the 1.0 ppm minimum.,free_chlorine,"academy/fundamentals/why-water-testing-matters.html (env=pool, 0.8-0.8 ppm)",cdc-healthy-swimming-home-treatment,MANUALLY_REVIEWED,NOT_SUPPORTED,RECLASSIFY_NOT_A_TRUE_CLAIM,"Worked example illustrating a BELOW-minimum reading (""0.8 ppm — below the 1.0 ppm minimum""), consistent with CDC's 1.0 ppm pool minimum, not a conflicting target. The 0.8 is deliberately the ""bad"" example value."
d9ce6b417bf2b265,Heat to operating temperature (100–104°F).,water_temperature,"academy/hot-tubs/refilling-your-hot-tub.html (env=unspecified, 100-104 °f)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""water_temperature"" at all."
956458c13da6386e,Wait 4 hours. 2) pH increaser or acid to bring pH to 7.4.,ph,"academy/hot-tubs/refilling-your-hot-tub.html (env=unspecified, 2-2 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 2-2 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
f93dba25791ec1af,Wait 2 hours. 3) Calcium chloride if hardness is below 150 ppm. 4) Add chlorine to reach 3–5 ppm.,calcium_hardness,"academy/hot-tubs/refilling-your-hot-tub.html (env=unspecified, 3-5 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 3-5 ppm does not overlap any canonical range for calcium_hardness/unspecified (checked: range-ch-public-pool-standard, range-ch-residential-practical)."
9b5883473f17b6cd,"Key Facts Test combined chlorine after heavy use — if above 0.5 ppm, a shock treatment is required.",combined_chlorine,"academy/hot-tubs/shock-after-heavy-use.html (env=unspecified, 0.5-0.5 ppm)",cdc-mahc-2023,MANUALLY_REVIEWED,CONFLICTING,CONTENT_CITES_0.5_MAHC_SAYS_0.4,"Live-verified 2026-08-18 (cdc.gov/model-aquatic-health-code): MAHC action threshold is 0.4 ppm combined chlorine, not 0.5 ppm as this page states. See chemistry-ranges.js range-cc-pool-hottub-max (upgraded to SUPPORTED this phase). Common industry rule-of-thumb (0.5) vs. regulatory figure (0.4) -- documented, not silently rewritten in production content."
3ba7058561b27e23,"In a small hot tub volume (300–500 gallons), even two or three bathers in an extended session can consume most of the free chlorine and leave behind significant combined chlorine.",pool_volume,"academy/hot-tubs/shock-after-heavy-use.html (env=hot_tub, 300-500 gallons)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""pool_volume"" at all."
e306b2ab27ea0bba,"Check each parameter against the hot tub target ranges (FC 3–5 ppm, pH 7.2–7.8, TA 80–120 ppm, CH 150–250 ppm) and adjust any that are outside range.",total_alkalinity,"academy/hot-tubs/weekly-spa-maintenance.html (env=hot_tub, 80-120 ppm)",,MANUALLY_REVIEWED,NOT_SUPPORTED,NO_HOTTUB_TA_SOURCE,"TA 80-120 ppm for hot tubs matches the pool figure but no hot-tub-specific primary source was found in Phase 7D research (range-ta-hottub has empty source_ids) -- genuinely unresolved, not wrong."
3fd939b45c3c8604,"Check each parameter against the hot tub target ranges (FC 3–5 ppm, pH 7.2–7.8, TA 80–120 ppm, CH 150–250 ppm) and adjust any that are outside range.",calcium_hardness,"academy/hot-tubs/weekly-spa-maintenance.html (env=hot_tub, 150-250 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,REQUIRES_EXPERT_REVIEW,Claim family exists (claim-ch-target) but no canonical range covers this specific environment/context -- needs individual human review.
ef0f28af35b9f0cd,Water temperature can stay at the normal 100–104°F; the heater simply runs more frequently to maintain it.,water_temperature,"academy/hot-tubs/winter-spa-care.html (env=unspecified, 100-104 °f)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""water_temperature"" at all."
ee54f93603c9490d,"Browse by Category Fundamentals Core water chemistry concepts every pool owner needs to understand. 6 articles Sanitizers Chlorine, bromine, salt, and alternative sanitization methods. 6 articles Testing How to test pool water accurately and interpret results. 6 articles Water Balance Balancing pH, …",ph,"academy/index.html (env=pool, 6-6 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 6-6 ph_units does not overlap any canonical range for ph/pool (checked: range-ph-pool-chlorine-routine, range-ph-pool-narrow-operational)."
662547d34e1902c0,"Bromine also remains more effective at higher pH (up to 8.0) compared to chlorine, giving more flexibility in pH management for spas.",ph,"academy/sanitizers/bromine-vs-chlorine.html (env=unspecified, 8-8 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 8-8 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
3babcfc82ef3edd3,Key Facts Combined chlorine above 0.5 ppm is the action threshold — shock treatment is needed.,combined_chlorine,"academy/sanitizers/combined-chlorine-explained.html (env=unspecified, 0.5-0.5 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,Value 0.5-0.5 ppm does not overlap any canonical range for combined_chlorine/unspecified (checked: range-cc-pool-hottub-max).
189b214b02acd2f4,Trichlor tablets are 90% available chlorine but also add cyanuric acid with every dose.,cyanuric_acid,"academy/sanitizers/liquid-chlorine-vs-tablets.html (env=unspecified, 90-90 %)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 90-90 % does not overlap any canonical range for cyanuric_acid/unspecified (checked: range-cya-public-pool-incident-response-max, range-cya-residential-routine-outdoor, range-cya-saltwater-outdoor, range-cya-hottub)."
50c37e5f80164bcf,CYA buildup from tablets can reach 80–100 ppm in a single season without a partial drain.,cyanuric_acid,"academy/sanitizers/liquid-chlorine-vs-tablets.html (env=unspecified, 80-100 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"Value overlaps range-cya-saltwater-outdoor, but that canonical range itself has no confirmed source (status REQUIRES_REVIEW) -- see chemistry-ranges.js."
3473187f4ce9851e,It raises pH slightly (typically by 0.1–0.2 per dose for average pools) and does not add cyanuric acid.,ph,"academy/sanitizers/liquid-chlorine-vs-tablets.html (env=pool, 0.1-0.2 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 0.1-0.2 ph_units does not overlap any canonical range for ph/pool (checked: range-ph-pool-chlorine-routine, range-ph-pool-narrow-operational)."
9054355991dd53a1,Each tablet contains approximately 90% available chlorine but also contains cyanuric acid as a stabiliser.,cyanuric_acid,"academy/sanitizers/liquid-chlorine-vs-tablets.html (env=unspecified, 90-90 %)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 90-90 % does not overlap any canonical range for cyanuric_acid/unspecified (checked: range-cya-public-pool-incident-response-max, range-cya-residential-routine-outdoor, range-cya-saltwater-outdoor, range-cya-hottub)."
7ff97a6a7a53208b,"Every pound of trichlor added to a pool raises CYA by approximately 0.6 ppm for every 10,000 gallons.",pool_volume,"academy/sanitizers/liquid-chlorine-vs-tablets.html (env=pool, 10000-10000 gallons)",,MECHANICAL_CLASSIFICATION_ONLY,NOT_SUPPORTED,SOURCE_NOT_FOUND,"No source in the registry covers ""pool_volume"" at all."
a7dcfc1fa1289c35,"At pH 7.2, about 67% of free chlorine is in its most effective form (HOCl).",free_chlorine,"academy/sanitizers/understanding-free-chlorine.html (env=unspecified, 67-67 %)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 67-67 % does not overlap any canonical range for free_chlorine/unspecified (checked: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine)."
193d99470545a750,"At pH 8.0, this drops to 22%.",ph,"academy/sanitizers/understanding-free-chlorine.html (env=unspecified, 8-8 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 8-8 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
40fb9a355eaa851e,Examples Solving Chronic Low Chlorine Readings A pool owner has been adding extra chlorine every week because readings consistently show FC near 0.5 ppm — yet the pool stays clear.,free_chlorine,"academy/testing/common-testing-mistakes.html (env=pool, 0.5-0.5 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 0.5-0.5 ppm does not overlap any canonical range for free_chlorine/pool (checked: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya)."
ee8b0b0cf19a507d,"After a large bather load (pool party), test the following morning and add shock if combined chlorine is above 0.5 ppm.",combined_chlorine,"academy/testing/how-often-to-test-water.html (env=pool, 0.5-0.5 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,Value 0.5-0.5 ppm does not overlap any canonical range for combined_chlorine/pool (checked: range-cc-pool-hottub-max).
bf220486290fa6a0,The magnitude of deviation matters — free chlorine at 0.9 ppm is borderline; free chlorine at 0 ppm requires immediate treatment.,free_chlorine,"academy/testing/understanding-test-results.html (env=unspecified, 0.9-0.9 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 0.9-0.9 ppm does not overlap any canonical range for free_chlorine/unspecified (checked: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine)."
91759d1caeab7bed,The magnitude of deviation matters — free chlorine at 0.9 ppm is borderline; free chlorine at 0 ppm requires immediate treatment.,free_chlorine,"academy/testing/understanding-test-results.html (env=unspecified, 0-0 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 0-0 ppm does not overlap any canonical range for free_chlorine/unspecified (checked: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine)."
ebad11f9374c4d35,"Prioritising Adjustments When multiple parameters are out of range, follow the adjustment order: 1) Total alkalinity (it stabilises everything else). 2) pH (wait 4 hours after adjusting TA before testing and adjusting pH). 3) Free chlorine (ineffective until pH is in range). 4) Calcium hardness. 5) …",ph,"academy/testing/understanding-test-results.html (env=unspecified, 2-2 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 2-2 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
f64fef9bfcbcbf3e,"Is pH very high (above 8.0), making chlorine nearly inactive?",ph,"academy/testing/understanding-test-results.html (env=unspecified, 8-8 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 8-8 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
8656fcc31210cae6,"Is CYA above 100 ppm, causing a &quot;chlorine lock&quot;?",cyanuric_acid,"academy/testing/understanding-test-results.html (env=unspecified, 100-100 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 100-100 ppm does not overlap any canonical range for cyanuric_acid/unspecified (checked: range-cya-public-pool-incident-response-max, range-cya-residential-routine-outdoor, range-cya-saltwater-outdoor, range-cya-hottub)."
9b3a54181522ecb9,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",free_chlorine,"academy/testing/understanding-test-results.html (env=unspecified, 0.5-0.5 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 0.5-0.5 ppm does not overlap any canonical range for free_chlorine/unspecified (checked: range-fc-pool-chlorine-no-cya, range-fc-pool-chlorine-with-cya, range-fc-hottub-chlorine-routine)."
ba934eac9250f383,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",ph,"academy/testing/understanding-test-results.html (env=unspecified, 7.9-7.9 ph_units)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 7.9-7.9 ph_units does not overlap any canonical range for ph/unspecified (checked: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational)."
31d15b31aab1c809,"Examples Prioritising a Multi-Parameter Problem Test shows: FC 0.5 ppm, pH 7.9, TA 60 ppm, hardness 120 ppm.",calcium_hardness,"academy/testing/understanding-test-results.html (env=unspecified, 120-120 ppm)",,MECHANICAL_CLASSIFICATION_ONLY,CONFLICTING,SOURCE_CONFLICT,"Value 120-120 ppm does not overlap any canonical range for calcium_hardness/unspecified (checked: range-ch-public-pool-standard, range-ch-residential-practical)."
