record_id,source_file,source_line,source_sentence,extracted_parameter,extracted_value,extracted_unit,extracted_context,expected_parameter,expected_value,expected_unit,expected_context,classification,reason
sample-488,academy/troubleshooting/scaling.html,,Ideal Range: N/A (prevented by LSI < +0.5) Calculators Chemical Calculator Related Langelier Saturation Index Calcium Hardness pH Total Alkalinity Temperature Concrete Pool Full entity details → In This Category Cloudy Pool Water: Causes and Solutions Green Pool Water: How to Fix It Foaming Hot Tubs…,ph,,,unspecified_env/unspecified_sanitizer,lsi,0.5-0.5,,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-629,academy/water-balance/understanding-cyanuric-acid.html,,"At CYA 100 ppm and the same pH, only 6–7% is active.",ph,,,unspecified_env/unspecified_sanitizer,cyanuric_acid,100-100;6-7,ppm;%,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds cyanuric_acid as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-642,academy/water-balance/understanding-lsi.html,,"If the LSI is below -0.3, the most common corrections are raising pH, raising calcium hardness, or raising alkalinity.",ph,,,unspecified_env/unspecified_sanitizer,lsi,-0.3--0.3,,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-643,academy/water-balance/understanding-lsi.html,,"If the LSI is above +0.3, lower pH (largest effect), lower calcium hardness (requires partial drain), or lower alkalinity slightly.",ph,,,unspecified_env/unspecified_sanitizer,lsi,0.3-0.3,,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-673,academy/water-balance/understanding-total-alkalinity.html,,"When TA is between 80 and 120 ppm, pH is stable and easy to manage.",ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,80-120,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-674,academy/water-balance/understanding-total-alkalinity.html,,"When TA drops below 60 ppm, even small amounts of acid (from rain, swimmer waste, or chemical additions) cause dramatic pH swings.",ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,60-60,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-781,calculators/pool-ph-calculator.html,,Stabilize alkalinity in the 80–120 ppm range before large pH moves when possible.,ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,80-120,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-852,comparisons/chlorine-vs-bromine-hot-tub.html,,"Either way, keep sanitizer in the correct range (e.g. 3–5 ppm chlorine or manufacturer’s bromine range), and maintain pH and alkalinity.",ph,,,unspecified_env/bromine,bromine,3-5,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds bromine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-867,comparisons/free-chlorine-vs-total-chlorine.html,,"Free chlorine (FC) is the only form that actively kills bacteria and algae Total chlorine (TC) = Free Chlorine + Combined Chlorine Combined chlorine (CC = TC − FC) causes pool odor and eye irritation When CC exceeds 0.5 ppm, shock to 10× CC reading to eliminate chloramines Feature Comparison Feature…",free_chlorine,,,pool/chlorine,combined_chlorine,0.5-0.5;10-10,ppm,pool;pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds combined_chlorine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-869,comparisons/free-chlorine-vs-total-chlorine.html,,Above 5 ppm: wait to swim When TC significantly exceeds FC: breakpoint shock required Free Chlorine (FC): Pros Directly measures what matters — active sanitizing power in the water Accurately reflects how much protection is present at any given moment DPD test kits for FC are widely available and ac…,free_chlorine,,,unspecified_env/chlorine,total_chlorine,5-5,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_chlorine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-889,comparisons/liquid-chlorine-vs-tablets.html,,"Quick Answer Liquid chlorine (sodium hypochlorite, ~10–12%) raises FC quickly and doesn't add stabilizer or lower pH aggressively.",ph,,,unspecified_env/chlorine,free_chlorine,10-12,%,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds free_chlorine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-934,entities/alkalinity.html,,"Quick Facts Ideal Range 80–120 ppm Units ppm Also Known As TA, total alkalinity, bicarbonate alkalinity, carbonate alkalinity, pH buffer Relationships Outgoing Relationships affected by → Muriatic Acid affected by → Baking Soda measured by → Water Testing calculated by → formula-05 part of → Langeli…",ph,,,unspecified_env/unspecified_sanitizer,total_alkalinity,80-120;-5--5,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-939,entities/alkalinity.html,,Entity Type Measurement Ideal Range 80–120 ppm Aliases TA total alkalinity bicarbonate alkalinity carbonate alkalinity pH buffer Calculators Pool Alkalinity Calculator Chemical Calculator Related Entities pH Langelier Saturation Index Calcium Hardness Muriatic Acid Water Balancing,ph,,,pool/unspecified_sanitizer,total_alkalinity,80-120,ppm,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds total_alkalinity as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-974,entities/bromine.html,,"Quick Facts Ideal Range 3–6 ppm Units ppm Also Known As Br, BCDMH, bromine, spa bromine, hot tub bromine Relationships Incoming Relationships compared with ← Free Chlorine uses ← Sanitizing Related Calculators Hot Tub Chlorine Calculator Hot Tub Shock Calculator Academy Articles Bromine vs.",free_chlorine,,,hot_tub/bromine,bromine,3-6,ppm,,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds bromine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-978,entities/bromine.html,,Entity Type Chemical Ideal Range 3–6 ppm Aliases Br BCDMH bromine spa bromine hot tub bromine Calculators Hot Tub Chlorine Calculator Hot Tub Shock Calculator Related Entities Free Chlorine Hot Tub Oxidation,free_chlorine,,,hot_tub/bromine,bromine,3-6,ppm,hot_tub,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds bromine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-992,entities/calcium-hardness.html,,Entity Type Chemical Ideal Range 200–400 ppm Aliases CH calcium hardness calcium water hardness hardness Calculators Chemical Calculator Related Entities Langelier Saturation Index pH Total Alkalinity Scaling Corrosion Concrete Pool Water Replacement,ph,,,pool/unspecified_sanitizer,calcium_hardness,200-400,ppm,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds calcium_hardness as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1022,entities/combined-chlorine.html,,Entity Type Chemical Ideal Range 0–0 ppm Aliases CC combined chlorine chloramine chloramines bound chlorine Calculators Pool Shock Calculator Hot Tub Shock Calculator Chemical Calculator Related Entities Free Chlorine Total Chlorine Shock Treatment Breakpoint Chlorination,free_chlorine,,,unspecified_env/chlorine,combined_chlorine,0-0,ppm,both,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds combined_chlorine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-1042,entities/corrosion.html,,Quick Facts Ideal Range N/A (prevented by LSI > −0.3) Relationships Outgoing Relationships causes → Low pH Incoming Relationships causes ← Calcium Hardness causes ← Langelier Saturation Index solves ← Water Balancing related to ← Low pH solves ← Baking Soda solves ← Calcium Chloride Related Calculat…,ph,,,unspecified_env/unspecified_sanitizer,lsi,0.3-0.3,,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1048,entities/corrosion.html,,Entity Type Problem Ideal Range N/A (prevented by LSI > −0.3) Aliases — Calculators Chemical Calculator Related Entities Langelier Saturation Index pH Total Alkalinity Calcium Hardness Copper Iron Concrete Pool,ph,,,pool/unspecified_sanitizer,lsi,0.3-0.3,,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1059,entities/cyanuric-acid.html,,Entity Type Chemical Ideal Range 30–50 ppm Aliases CYA cyanuric acid stabilizer conditioner isocyanuric acid Calculators Pool CYA Calculator Chemical Calculator Related Entities Free Chlorine Langelier Saturation Index Water Replacement,free_chlorine,,,pool/chlorine,cyanuric_acid,30-50,ppm,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds cyanuric_acid as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-1087,entities/free-chlorine.html,,"Quick Facts Ideal Range 1–3 ppm Units ppm Also Known As FC, free chlorine, available chlorine, FAC, residual chlorine, pool chlorine Relationships Outgoing Relationships affected by → pH affected by → Cyanuric Acid affected by → Temperature measured by → Water Testing calculated by → formula-02 expl…",ph,,,pool/chlorine,free_chlorine,1-3;-2--2,ppm,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds free_chlorine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1094,entities/free-chlorine.html,,Entity Type Chemical Ideal Range 1–3 ppm Aliases FC free chlorine available chlorine FAC residual chlorine Calculators Pool Chlorine Calculator Hot Tub Chlorine Calculator Chemical Calculator Pool Shock Calculator Related Entities Combined Chlorine Total Chlorine pH Cyanuric Acid Shock Treatment Bre…,ph,,,unspecified_env/chlorine,free_chlorine,1-3,ppm,both,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds free_chlorine as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1192,entities/lsi.html,,Entity Type Measurement Ideal Range -0.3 to +0.5 Aliases LSI Langelier Saturation Index saturation index Langelier index water balance index Calculators Chemical Calculator Related Entities pH Total Alkalinity Calcium Hardness Temperature Scaling Corrosion Water Balancing,ph,,,unspecified_env/unspecified_sanitizer,lsi;lsi,-0.3--0.3;0.5-0.5,,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1281,entities/salt-chlorinator.html,,"Entity Type Equipment Ideal Range N/A (requires 2,700–3,400 ppm salt) Aliases SWCG saltwater generator chlorine generator salt cell Calculators Salt Pool Calculator Related Entities Saltwater Pool Salt Free Chlorine Calcium Hardness Langelier Saturation Index",free_chlorine,,,pool/saltwater_chlorine_generator,salt,2700-3400,ppm,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds salt as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-1288,entities/salt.html,,"Entity Type Chemical Ideal Range 2,700–3,400 ppm (system-dependent) Aliases NaCl pool salt sodium chloride salt level saltwater Calculators Salt Pool Calculator Related Entities Saltwater Pool Salt Chlorinator Free Chlorine Total Dissolved Solids",free_chlorine,,,pool/saltwater_chlorine_generator,salt,2700-3400,ppm,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""free_chlorine"" via whole-sentence keyword search; the new proximity-based extractor instead finds salt as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""free_chlorine"" does not appear to be what the number(s) measure."
sample-1304,entities/scaling.html,,Quick Facts Ideal Range N/A (prevented by LSI < +0.5) Relationships Outgoing Relationships causes → High pH Incoming Relationships causes ← Calcium Hardness causes ← Langelier Saturation Index solves ← Water Balancing related to ← High pH solves ← Muriatic Acid Related Calculators Chemical Calculato…,ph,,,unspecified_env/unspecified_sanitizer,lsi,0.5-0.5,,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1310,entities/scaling.html,,Entity Type Problem Ideal Range N/A (prevented by LSI < +0.5) Aliases — Calculators Chemical Calculator Related Entities Langelier Saturation Index Calcium Hardness pH Total Alkalinity Temperature Concrete Pool,ph,,,pool/unspecified_sanitizer,lsi,0.5-0.5,,pool,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1371,entities/temperature.html,,"Quick Facts Ideal Range 78–84 °F Units °F Also Known As temperature, water temp, pool temperature, water temperature Relationships Incoming Relationships affected by ← Free Chlorine affected by ← pH measured by ← Langelier Saturation Index Related Calculators Chemical Calculator Academy Articles How…",ph,,,pool/chlorine,water_temperature,78-84,°f,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds water_temperature as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1376,entities/temperature.html,,Entity Type Measurement Ideal Range 78–84 °F Aliases temperature water temp pool temperature water temperature Calculators Chemical Calculator Related Entities Langelier Saturation Index Free Chlorine pH Hot Tub Water Balancing,ph,,,unspecified_env/chlorine,water_temperature,78-84,°f,both,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds water_temperature as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-1506,formulas/lsi-formula.html,,Using the simplified additive form: - LSI = pH + TF + CF + AF − 12.1 - LSI = 7.4 + 0.6 + 1.9 + 2.0 − 12.1 = −0.2 An LSI of −0.2 is within the acceptable range (−0.3 to +0.5).,ph,,,unspecified_env/unspecified_sanitizer,lsi;lsi;lsi;lsi;lsi;lsi;lsi;lsi;lsi;lsi,12.1-12.1;7.4-7.4;0.6-0.6;1.9-1.9;2-2;12.1-12.1;0.2-0.2;0.2-0.2;0.3-0.3;0.5-0.5,,,PARAMETER_MISCLASSIFICATION,"Old attributed ""ph"" via whole-sentence keyword search; the new proximity-based extractor instead finds lsi as the parameter(s) actually adjacent to the numeric value(s) in this sentence -- ""ph"" does not appear to be what the number(s) measure."
sample-001,about/index.html,,About WaterBalanceTools Platform v1.0.0 Foundation · QA 98/100 An independent water chemistry reference for pool and hot tub owners.,(none),,,unmatched,(none),1-1;0-0;98-98;100-100,ph_units,pool;pool;pool;pool,CORRECT_EXTRACTION,Both old and new agree: no chemistry parameter present.
sample-162,academy/hot-tubs/daily-spa-maintenance.html,,"Does pH spike after rain?), and it provides documentation for liability purposes in rental or commercial settings.",ph,,,unspecified_env/unspecified_sanitizer,(none),-,,,COMPOSITE_SENTENCE,"Old attributed ""ph""; new found no CORRECT/CARRIED numeric claim for any parameter (likely all candidate numbers were noise or unattributable) -- old attribution is unconfirmed, not necessarily wrong, but unsupported."
sample-316,academy/sanitizers/shock-treatments-explained.html,,In This Category Understanding Free Chlorine Combined Chlorine Explained Breakpoint Chlorination Liquid Chlorine vs.,free_chlorine,,,unspecified_env/chlorine,(none),-,,,COMPOSITE_SENTENCE,"Old attributed ""free_chlorine""; new found no CORRECT/CARRIED numeric claim for any parameter (likely all candidate numbers were noise or unattributable) -- old attribution is unconfirmed, not necessarily wrong, but unsupported."
sample-470,academy/troubleshooting/green-water.html,,Key Facts Examples Calculator Related Green pool water is an algae bloom.,algae,,,pool/unspecified_sanitizer,(none),-,,,COMPOSITE_SENTENCE,"Old attributed ""algae""; new found no CORRECT/CARRIED numeric claim for any parameter (likely all candidate numbers were noise or unattributable) -- old attribution is unconfirmed, not necessarily wrong, but unsupported."
sample-624,academy/water-balance/understanding-cyanuric-acid.html,,"Without CYA in an outdoor pool, chlorine exposed to direct sunlight at midday will deplete by 90% within two to three hours.",cyanuric_acid,,,pool/chlorine,cyanuric_acid,90-90,%,pool,CORRECT_EXTRACTION,"Old parameter ""cyanuric_acid"" is confirmed by the new proximity-based extractor as at least one legitimate claim in this sentence."
sample-783,calculators/pool-shock-calculator.html,,Pool Shock Calculator Calculate how much shock your pool needs based on volume and shock strength. &#8595; Pool gallons Shock strength (target ppm) Light (5 ppm) Standard (10 ppm) Heavy (15 ppm) Double shock (20 ppm) Calculate Result &#8595; Free Printable Resources Pool Maintenance Checklist &#1000…,(none),,,unmatched,(none),5-5;10-10;15-15;20-20;100-100;0-0,ppm;ppm;ppm;ppm,pool;pool;pool;pool;pool;pool,CORRECT_EXTRACTION,Both old and new agree: no chemistry parameter present.
sample-942,entities/automatic-chlorinator.html,,"Quick Facts Also Known As chlorinator, erosion feeder, tablet feeder, automatic chlorinator Relationships Outgoing Relationships uses → Trichlor Tablets related to → Cyanuric Acid Related Calculators Pool Chlorine Calculator Academy Articles Automatic Chlorinators Liquid Chlorine vs.",cyanuric_acid,,,pool/chlorine,(none),-,,,COMPOSITE_SENTENCE,"Old attributed ""cyanuric_acid""; new found no CORRECT/CARRIED numeric claim for any parameter (likely all candidate numbers were noise or unattributable) -- old attribution is unconfirmed, not necessarily wrong, but unsupported."
sample-1104,entities/heater.html,,"Equipment Entity Pool Heater A device that raises water temperature using gas, electric heat pump, or solar energy.",water_temperature,,,pool/unspecified_sanitizer,(none),-,,,COMPOSITE_SENTENCE,"Old attributed ""water_temperature""; new found no CORRECT/CARRIED numeric claim for any parameter (likely all candidate numbers were noise or unattributable) -- old attribution is unconfirmed, not necessarily wrong, but unsupported."
sample-1258,entities/phta.html,,Entity Type Organization Aliases PHTA Pool & Hot Tub Alliance APSP pool industry association Related Entities CDC NSF International Taylor Technologies,(none),,,unmatched,(none),-,,,CORRECT_EXTRACTION,Both old and new agree: no chemistry parameter present.
sample-1417,entities/unit-months.html,,Unit Entity Months Unit of time — used for seasonal maintenance intervals and hot tub water change schedules.,(none),,,unmatched,(none),-,,,CORRECT_EXTRACTION,Both old and new agree: no chemistry parameter present.
sample-1575,glossary/algaecide.html,,Copper-based algaecides are effective but can cause blue-green staining in soft or aggressive water.,(none),,,unmatched,(none),-,,,CORRECT_EXTRACTION,Both old and new agree: no chemistry parameter present.
sample-1735,glossary/dichlor.html,,"However, every pound of dichlor adds a significant amount of CYA.",cyanuric_acid,,,unspecified_env/chlorine,(none),-,,,COMPOSITE_SENTENCE,"Old attributed ""cyanuric_acid""; new found no CORRECT/CARRIED numeric claim for any parameter (likely all candidate numbers were noise or unattributable) -- old attribution is unconfirmed, not necessarily wrong, but unsupported."
sample-1891,glossary/ph.html,,Typical Values &#127919; Pools: 7.2–7.6; Hot tubs: 7.2–7.8; Never above 8.0 Related Resources Pool Ph Calculator Hot Tub Ph Calculator Understanding Ph Ph Adjustment Formula Last reviewed: 2026-06-01,ph,,,unspecified_env/unspecified_sanitizer,ph,7.2-7.6;7.2-7.8;8-8,ph_units;ph_units;ph_units,pool;hot_tub;both,CORRECT_EXTRACTION,"Old parameter ""ph"" is confirmed by the new proximity-based extractor as at least one legitimate claim in this sentence."
sample-2054,glossary/trichlor.html,,Calculators Pool Chlorine Calculator Related Free Chlorine Cyanuric Acid Automatic Chlorinator pH Full entity details → Glossary 2 min read Updated 2026-06-01 Trichlor Trichlor (trichloroisocyanuric acid) is a slow-dissolving stabilised chlorine tablet that delivers free chlorine and cyanuric acid s…,ph,,,pool/chlorine,(none),-,,,COMPOSITE_SENTENCE,"Old attributed ""ph""; new found no CORRECT/CARRIED numeric claim for any parameter (likely all candidate numbers were noise or unattributable) -- old attribution is unconfirmed, not necessarily wrong, but unsupported."
sample-2209,guides/chlorine/how-often-should-i-shock-my-pool.html,,Always shock at dusk and keep the pump running overnight.,(none),,,unmatched,(none),-,,,CORRECT_EXTRACTION,Both old and new agree: no chemistry parameter present.
sample-2364,guides/hot-tub/hot-tub-ph-too-low.html,,Hot tub pH should stay in the 7.2–7.8 range; below 7.2 is corrosive Over-use of dichlor granules (pH 6.0–7.0) is the most common cause of low pH Sodium carbonate (soda ash / pH-up) raises pH quickly in small spa volumes Always raise alkalinity first if TA is also low — it stabilizes pH correction Lo…,ph,,,hot_tub/chlorine,ph;ph;ph,7.2-7.8;7.2-7.2;6-7,ph_units;ph_units;ph_units,hot_tub;hot_tub;hot_tub,CORRECT_EXTRACTION,"Old parameter ""ph"" is confirmed by the new proximity-based extractor as at least one legitimate claim in this sentence."
