claim_id,source_url,source_file,source_claim,parameter_id,minimum,maximum,unit,value_type,environment,claim_type,extraction_status,scientific_review_status,source_registry_ids,review_required,notes
60a526260fa3286b,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"In autumn with low use, the same setting will likely over-dose.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
c89a3bddc3b1b53f,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,Compatibility Considerations Trichlor tablets are strongly acidic (pH approximately 2.8) and contain cyanuric acid.,ph,2.8,2.8,ph_units,ph_value,unspecified,RULE_OF_THUMB,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
5561870ea6855d98,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"Every time a tablet dissolves, it lowers pH and adds CYA.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
c3f9bc82301d28a9,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"In a pool managed exclusively with a tablet feeder, CYA can reach problem levels (80–100 ppm) within one season and pH will consistently trend low without acid addition.",cyanuric_acid,80,100,ppm,concentration,pool,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
df977a3ee0aaa543,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,Test pH and CYA monthly when using an automatic feeder.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
23eb54fef67c5e59,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,85,85,ppm,concentration,pool,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
64828a5bed02f6f5,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,80,80,ppm,concentration,pool,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
1206da4fc2012ac4,academy/equipment/automatic-chlorinators.html,academy/equipment/automatic-chlorinators.html,"The summer bather load has been high (kids off school), and the feeder has been running at 100% feed rate, dissolving tablets quickly.",,100,100,%,concentration,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
84af28a14701e2bd,academy/equipment/index.html,academy/equipment/index.html,"Articles Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
f3b8588a0196f04b,academy/equipment/index.html,academy/equipment/index.html,"Correct sizing ensures adequate turnover rate without wasting energy on oversized flow. 5 min read Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
0607446e9d88c240,academy/equipment/index.html,academy/equipment/index.html,They require specific water chemistry and regular cell cleaning to function correctly. 6 min read Automatic Chlorinators Automatic chlorinators deliver steady chlorine doses without daily attention.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
c56a185ad83e059d,academy/equipment/pool-filters.html,academy/equipment/pool-filters.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Filtration Works Pressure and Run Time Filter Maintenance Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipment 5 m…,pool_volume,5,5,,unknown,pool,RANGE,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
a4f5bec2771af601,academy/equipment/pool-filters.html,academy/equipment/pool-filters.html,"Key Facts Examples Calculator Related Pool filtration removes suspended particles from water — fine particles that cause cloudiness, dead algae cells, and small debris.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
e235a33c82135e09,academy/equipment/pool-filters.html,academy/equipment/pool-filters.html,How Filtration Works Pool filters remove particles by forcing water through a filter medium that physically captures and holds particles as the water passes through.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
a7c02f3a8bbc1f5c,academy/equipment/pool-filters.html,academy/equipment/pool-filters.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Sand Filters vs.",pool_volume,2022,2022,,unknown,pool,RANGE,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
d8dd27fe0cc6dfb4,academy/equipment/pool-filters.html,academy/equipment/pool-filters.html,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
957a58cdf96cd0a8,academy/equipment/pool-pumps.html,academy/equipment/pool-pumps.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts Pump Sizing Basics Variable Speed Pumps Flow Rate and Turnover Rate Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipme…,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
549c6b88af44cc44,academy/equipment/pool-pumps.html,academy/equipment/pool-pumps.html,Variable speed pumps reduce energy consumption by 65–80% compared to single-speed pumps.,,65,80,%,concentration,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
5e0daf67852ddd74,academy/equipment/pool-pumps.html,academy/equipment/pool-pumps.html,"A pool that achieves only one turnover per day in hot summer weather may not maintain adequate water quality — dead algae, fine particles, and chlorine by-products accumulate faster than the filter can clear them.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
808528d32de31fcd,academy/equipment/pool-pumps.html,academy/equipment/pool-pumps.html,Increasing to two turnovers per day (by extending pump run time or increasing speed) is a common recommendation during peak swimming season or after an algae event.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
a480624f2a9b2d2b,academy/equipment/pool-pumps.html,academy/equipment/pool-pumps.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris…",pool_volume,2022,2022,,unknown,pool,RANGE,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
6aa4edd61d020598,academy/equipment/pool-pumps.html,academy/equipment/pool-pumps.html,"Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
a9f8e0aae05d0a5b,academy/equipment/pool-skimmers.html,academy/equipment/pool-skimmers.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Skimmers Work Correct Water Level Skimmer Maintenance Examples Common Mistakes Calculators Pool Volume Calculator Equipment 4 min read Updated 2026-06-01 Pool Sk…,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
8f159386b6c6e098,academy/equipment/pool-skimmers.html,academy/equipment/pool-skimmers.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Pumps: Sizing and Turnover The pool pump determines how much water passes through the filter each day.",pool_volume,2022,2022,,unknown,pool,RANGE,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
5c668e0fdea8e4c2,academy/equipment/pool-skimmers.html,academy/equipment/pool-skimmers.html,"Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
0c130882ff04be96,academy/equipment/pool-skimmers.html,academy/equipment/pool-skimmers.html,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
36aa993e1a9b8b4f,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Salt Systems Work Water Chemistry for Salt Pools Salt Cell Maintenance Examples Common Mistakes Calculators Saltwater Pool Salt Calculator Equipment 6 min read U…,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
910a485635ce9ba5,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,Key Facts Examples Calculator Related Salt water pool systems (also called salt chlorinator or salt generator systems) produce chlorine continuously by electrolyzing dissolved salt in the pool water.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
0bd0584cd48621c3,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,2700,3400,ppm,concentration,unspecified,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
820296bafa4bbe51,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,35000,35000,ppm,concentration,unspecified,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
7018d24471597741,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Salt pools still require pH, alkalinity, and hardness management — the system only manages chlorine.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
016f3a29233fa5b7,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,Salt cells accumulate calcium scale and require cleaning every 3 months on average.,,3,3,,unknown,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
df42b1136223a12f,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,CYA of 60–80 ppm is needed for salt pool outdoor use to protect the generated chlorine from UV.,cyanuric_acid,60,80,ppm,concentration,pool,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
806168941c6e9524,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,How Salt Systems Work A salt chlorinator passes pool water across a titanium cell coated with precious metal oxides (the salt cell).,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
2b13e011408b572a,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,The salt is not consumed at a significant rate.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
f09ed723349536f3,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Water Chemistry for Salt Pools Salt pools require the same core chemistry management as chlorine pools with one difference: the salt chlorinator generates chlorine continuously at a set rate, so you do not add liquid chlorine or tablets (in most cases).",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
bbaf114176aac453,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"What you must still manage: pH (6.8–7.6; salt generators raise pH as a by-product of the electrolysis process, so pH tends to drift up and requires more acid additions than a traditional chlorine pool), alkalinity (80–120 ppm), calcium hardness (200–400 ppm for plaster — very important because low h…",ph,6.8,7.6,ph_units,ph_value,unspecified,RULE_OF_THUMB,CORRECT_EXTRACTION,SUPPORTED,,false,
97494784c4166a71,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"What you must still manage: pH (6.8–7.6; salt generators raise pH as a by-product of the electrolysis process, so pH tends to drift up and requires more acid additions than a traditional chlorine pool), alkalinity (80–120 ppm), calcium hardness (200–400 ppm for plaster — very important because low h…",total_alkalinity,80,120,ppm,concentration,pool,RULE_OF_THUMB,CORRECT_EXTRACTION,SUPPORTED,,false,
8c2c8b7b7e1686c3,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"What you must still manage: pH (6.8–7.6; salt generators raise pH as a by-product of the electrolysis process, so pH tends to drift up and requires more acid additions than a traditional chlorine pool), alkalinity (80–120 ppm), calcium hardness (200–400 ppm for plaster — very important because low h…",calcium_hardness,200,400,ppm,concentration,pool,RULE_OF_THUMB,CORRECT_EXTRACTION,SUPPORTED,,false,
6436e888d113b3f5,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Salt Cell Maintenance The salt cell deposits calcium scale on its titanium plates over time, reducing chlorine generation efficiency.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
89b41a126aa4b69b,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,Examples Seasonal Salt Level Check Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
4f8a20141de769b1,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,2400,2400,ppm,concentration,unspecified,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
0e46e28b1aa01a24,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,2700,2700,ppm,concentration,unspecified,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
ff10006e335db62a,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,40,40,lbs,mass_or_dosage,pool,RULE_OF_THUMB,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: salt does not accept a mass_or_dosage value -- likely extraction noise, not a real claim about this parameter."
260054dbc58f79bf,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,15000,15000,,unknown,pool,RULE_OF_THUMB,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: salt does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
c17b914beaccc984,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,300,300,ppm,concentration,pool,RULE_OF_THUMB,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
473714cac7188762,academy/equipment/salt-systems.html,academy/equipment/salt-systems.html,"Retest — salt now at 2,750 ppm.",salt,2750,2750,ppm,concentration,unspecified,RANGE,CORRECT_EXTRACTION,REQUIRES_REVIEW,,true,
b19a995ccade61c8,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment/sand-vs-cartridge-filters.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts Sand Filters Cartridge Filters Which to Choose Examples Common Mistakes Calculators Pool Volume Calculator Equipment 5 min read Updated 2026-06-01 Sand Filters vs.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
190d1517ddfc6284,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment/sand-vs-cartridge-filters.html,"Their main limitation is filtration fineness — they capture particles 20–40 microns and above, which means fine particles (including some dead algae and fine dust) pass through.",,20,40,,unknown,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
02a75cdb75798c46,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment/sand-vs-cartridge-filters.html,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",,30,30,,unknown,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
283b73538d9bc3e1,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment/sand-vs-cartridge-filters.html,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",,6,10,,unknown,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
4678e76aeb2baa24,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment/sand-vs-cartridge-filters.html,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",pool_volume,900,2000,gallons,volume,unspecified,RANGE,CORRECT_EXTRACTION,AMBIGUOUS,,true,
15f31314dc6d3edd,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment/sand-vs-cartridge-filters.html,"Not replacing filter sand after 7+ years, by which time the grains have worn smooth and no longer effectively capture fine particles.",,7,7,,unknown,unspecified,RANGE,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,,false,No chemistry-parameter mention found near this numeric value in its clause.
919a08258192d243,academy/equipment/sand-vs-cartridge-filters.html,academy/equipment/sand-vs-cartridge-filters.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",pool_volume,2022,2022,,unknown,pool,RANGE,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
e34df53c64e56d1d,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Chlorine Depletion in Warm Water Temperature and pH Drift LSI Shifts with Temperature Examples Common Mistakes Calculators Chemical Calculator Pool Chlorine Calculator Fundamentals 5 min read U…,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
0c8ec58951bc24ee,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Examples Calculator Related Water temperature affects almost every aspect of pool chemistry.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
66786ef31880937b,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,"As temperature rises, chemical reactions accelerate, scaling risk increases, and the same chemical dose that worked in spring may not be enough in midsummer.",,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
fdb04ff80c03a4dc,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,water_temperature,10,10,°f,temperature,unspecified,RULE_OF_THUMB,CORRECT_EXTRACTION,AMBIGUOUS,,true,
e213ea2cafa1c58a,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,water_temperature,80,80,°f,temperature,unspecified,RULE_OF_THUMB,CORRECT_EXTRACTION,AMBIGUOUS,,true,
d1c75f03643d729f,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.,water_temperature,70,70,°f,temperature,unspecified,RANGE,CORRECT_EXTRACTION,AMBIGUOUS,,true,
f05e458013b5714b,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.,water_temperature,90,90,°f,temperature,unspecified,RANGE,CORRECT_EXTRACTION,AMBIGUOUS,,true,
43f863976da26d56,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,Seasonal temperature changes are the most common reason for mid-summer chemistry problems.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
d3a06c72d7c8504f,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,Chlorine Depletion in Warm Water Chlorine breaks down faster at higher temperatures.,,,,,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,,false,No numeric chemistry value found in this claim (editorial/non-numeric text).
81b7245c25e2dd5b,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,A pool that maintains 3 ppm FC comfortably at 72°F in April may struggle to hold 1.5 ppm at 85°F in July with the same dosing routine.,free_chlorine,3,3,ppm,concentration,pool,RANGE,CORRECT_EXTRACTION,SUPPORTED,,false,
3a9aa8ae6d5c04e0,academy/fundamentals/how-temperature-changes-water-chemistry.html,academy/fundamentals/how-temperature-changes-water-chemistry.html,A pool that maintains 3 ppm FC comfortably at 72°F in April may struggle to hold 1.5 ppm at 85°F in July with the same dosing routine.,free_chlorine,72,72,°f,temperature,pool,RANGE,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,,false,"Rejected: free_chlorine does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
