page_id,url,nearest_neighbor,why_this_page_exists_vs_neighbor,decision,consolidation_reason,destination,seo_reason,internal_link_impact,sitemap_impact
chlorine-30000,programmatic/chlorine/how-much-chlorine-for-30000-gallon-pool.html,chlorine-25000,"User knows their own pool's volume (30,000 gal) and needs dosing amounts scaled to that specific volume -- the computed oz-per-ppm table and size classification are genuinely page-specific, not reworded text.",KEEP,,,,none,none
shock-5000,programmatic/shock/how-much-shock-for-5000-gallon-pool.html,shock-10000,User knows their own pool's volume and needs shock ounces scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
shock-10000,programmatic/shock/how-much-shock-for-10000-gallon-pool.html,shock-5000,User knows their own pool's volume and needs shock ounces scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
shock-15000,programmatic/shock/how-much-shock-for-15000-gallon-pool.html,shock-10000,User knows their own pool's volume and needs shock ounces scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
shock-20000,programmatic/shock/how-much-shock-for-20000-gallon-pool.html,shock-15000,User knows their own pool's volume and needs shock ounces scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
shock-25000,programmatic/shock/how-much-shock-for-25000-gallon-pool.html,shock-20000,User knows their own pool's volume and needs shock ounces scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
shock-30000,programmatic/shock/how-much-shock-for-30000-gallon-pool.html,shock-25000,User knows their own pool's volume and needs shock ounces scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
ph-6.8-7.2,programmatic/ph/how-to-adjust-ph-from-6-8-to-7-2.html,ph-7.8-7.4,"Distinct starting/target pH pair (a real, specific test-strip reading a user has in hand) with a genuinely different product (increaser vs. reducer) and different likely cause (low vs. high pH) -- not a cosmetic variant.",KEEP,,,,none,none
ph-7.8-7.4,programmatic/ph/how-to-adjust-ph-from-7-8-to-7-4.html,ph-6.8-7.2,"Distinct starting/target pH pair (a real, specific test-strip reading a user has in hand) with a genuinely different product (increaser vs. reducer) and different likely cause (low vs. high pH) -- not a cosmetic variant.",KEEP,,,,none,none
ph-7-7.4,programmatic/ph/how-to-adjust-ph-from-7-to-7-4.html,ph-7.8-7.4,"Distinct starting/target pH pair (a real, specific test-strip reading a user has in hand) with a genuinely different product (increaser vs. reducer) and different likely cause (low vs. high pH) -- not a cosmetic variant.",KEEP,,,,none,none
ph-8-7.5,programmatic/ph/how-to-adjust-ph-from-8-to-7-5.html,ph-7-7.4,"Distinct starting/target pH pair (a real, specific test-strip reading a user has in hand) with a genuinely different product (increaser vs. reducer) and different likely cause (low vs. high pH) -- not a cosmetic variant.",KEEP,,,,none,none
hottub-200,programmatic/hot-tubs/hot-tub-chemicals-for-200-gallons.html,hottub-300,User knows their own spa's volume and needs sanitizer amounts scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
hottub-300,programmatic/hot-tubs/hot-tub-chemicals-for-300-gallons.html,hottub-200,User knows their own spa's volume and needs sanitizer amounts scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
hottub-400,programmatic/hot-tubs/hot-tub-chemicals-for-400-gallons.html,hottub-300,User knows their own spa's volume and needs sanitizer amounts scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
hottub-500,programmatic/hot-tubs/hot-tub-chemicals-for-500-gallons.html,hottub-400,User knows their own spa's volume and needs sanitizer amounts scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
hottub-600,programmatic/hot-tubs/hot-tub-chemicals-for-600-gallons.html,hottub-500,User knows their own spa's volume and needs sanitizer amounts scaled to that specific volume -- computed table and size classification are page-specific.,KEEP,,,,none,none
