url,title,h1,meta_description,canonical,schema_name,consistent,notes
"pool-alkalinity-levels-chart.html","Pool Alkalinity Levels Chart | WaterBalanceTools","pool alkalinity levels chart","Pool total alkalinity levels chart: ideal 80–120 ppm. What happens if low or hig","https://waterbalancetools.com/pool-alkalinity-levels-chart","What is total alkalinity in a pool?","CONSISTENT","none"
"hot-tub-chlorine-levels-chart.html","Hot Tub Chlorine Levels Chart | WaterBalanceTools","hot tub chlorine levels chart","Hot tub chlorine levels chart: ideal 3–5 ppm, safe swim threshold, what too high","https://waterbalancetools.com/hot-tub-chlorine-levels-chart","What is the ideal chlorine level for a hot tub?","CONSISTENT","none"
"salt-water-pool-chemical-levels-chart.html","Salt Water Pool Chemical Levels Chart | WaterBalanceTools","salt water pool chemical levels chart","Salt water pool chemical levels chart: ideal salt ppm, chlorine, pH, TA, CYA, an","https://waterbalancetools.com/salt-water-pool-chemical-levels-chart","What salt level should a salt water pool have?","CONSISTENT","none"
"academy/fundamentals/indoor-pool-chemistry.html","Indoor Pool Chemistry | Academy | WaterBalanceTools","indoor pool chemistry","Why indoor pools need different chemistry management than outdoor pools: no CYA,","https://waterbalancetools.com/academy/fundamentals/indoor-pool-chemistry","WaterBalanceTools","CONSISTENT","none"
"academy/hot-tubs/winter-spa-care.html","Winter Spa Care | Academy | WaterBalanceTools","winter spa care","Learn how to care for a hot tub during winter, whether you keep it running or wi","https://waterbalancetools.com/academy/hot-tubs/winter-spa-care","WaterBalanceTools","CONSISTENT","none"
"academy/water-balance/understanding-lsi.html","Understanding the Langelier Saturation Index | Academy | WaterBalanceTools","understanding the langelier saturation index","Learn how the Langelier Saturation Index (LSI) measures water balance and why it","https://waterbalancetools.com/academy/water-balance/understanding-lsi","WaterBalanceTools","CONSISTENT","none"
"academy/fundamentals/how-temperature-changes-water-chemistry.html","How Temperature Changes Water Chemistry | Academy | WaterBalanceTools","how temperature changes water chemistry","Learn how rising water temperature affects chlorine demand, pH stability, calciu","https://waterbalancetools.com/academy/fundamentals/how-temperature-changes-water-chemistry","WaterBalanceTools","CONSISTENT","none"
"guides/edge-cases/evaporation-effect-on-pool-chemistry.html","Does Evaporation Affect Pool Chemistry? | WaterBalanceTools","evaporation's effect on pool chemistry","Does evaporation affect pool chemistry? Yes—it concentrates CYA, salt, calcium, ","https://waterbalancetools.com/guides/edge-cases/evaporation-effect-on-pool-chemistry","Home","CONSISTENT","none"
"guides/edge-cases/rain-effect-on-pool-chemistry.html","Does Rain Affect Pool Chemistry? (Dilution, pH &amp; Chlorine) | WaterBalanceToo","rain’s effect on pool chemistry","Does rain affect pool chemistry? Yes—dilution, debris, and pH shift can change F","https://waterbalancetools.com/guides/edge-cases/rain-effect-on-pool-chemistry","Home","CONSISTENT","none"
"guides/chlorine-guide.html","Pool Chlorine Guide | WaterBalanceTools","pool chlorine guide","Sanitizer levels, shock, green pool recovery, and chlorine dosing for pools.","https://waterbalancetools.com/guides/chlorine-guide","Home","CONSISTENT","none"
"guides/ph-guide.html","Pool pH Guide | WaterBalanceTools","pool ph guide","Ideal pH range, how acid and base moves pH, and links to adjustment guides.","https://waterbalancetools.com/guides/ph-guide","Home","CONSISTENT","none"
