"claim_id","entity_id","url","source_text","claim_type","parameter","value","unit","environment","scenario","current_status","priority","reason","research_required","target_source_type","final_disposition"
"ec-winterization-0155","winterization","https://waterbalancetools.com/entities/winterization","Winterization (pool closing) involves a specific sequence of steps to protect pool equipment and surfaces from freeze damage during cold weather: balancing water chemistry, adding winter chemicals (algaecide, scale inhibitor), draining water below skimmers and jets, blowing out plumbing lines, plugging returns, removing and storing equipment, and covering the pool.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-sanitizing-0176","sanitizing","https://waterbalancetools.com/entities/sanitizing","Sanitizing is distinct from oxidizing — both are needed for safe, clear pool water.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-balancing-0181","balancing","https://waterbalancetools.com/entities/balancing","Water balancing is the comprehensive process of adjusting pH, total alkalinity, calcium hardness, CYA, and free chlorine to achieve a stable, safe, and non-damaging water chemistry.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-vacation-rental-checklist-0190","vacation-rental-checklist","https://waterbalancetools.com/entities/vacation-rental-checklist","It covers safety equipment inspection, water chemistry testing, chemical additions, filter check, and safety communication to incoming guests.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-vacation-rental-checklist-0191","vacation-rental-checklist","https://waterbalancetools.com/entities/vacation-rental-checklist","Used consistently, it reduces liability exposure and ensures every guest has safe pool access.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-closing-checklist-0197","closing-checklist","https://waterbalancetools.com/entities/closing-checklist","Proper winterization prevents expensive freeze damage.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-green-water-0204","green-water","https://waterbalancetools.com/entities/green-water","Treatment involves lowering pH to 7.2 to maximize chlorine activity, brushing all surfaces, shocking to 30 ppm FC, and running the filter 24 hours.","numeric_chemistry_claim","free_chlorine","30","ppm","unspecified","unspecified","REQUIRES_REVIEW","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard","CONTEXTUAL -- range-shock-algae-recovery-green"
"ec-scaling-0211","scaling","https://waterbalancetools.com/entities/scaling","Existing scale can be removed with acid washing or mechanical removal, but this should be done by a professional to avoid surface damage.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-corrosion-0212","corrosion","https://waterbalancetools.com/entities/corrosion","Corrosion occurs when pool water is under-saturated with calcium carbonate (negative LSI), causing it to aggressively dissolve calcium from plaster, grout, and metal surfaces.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-corrosion-0213","corrosion","https://waterbalancetools.com/entities/corrosion","Visible signs include pitting of plaster surfaces, etching of tile grout, staining from dissolved metals (green from copper, rust from iron), and corrosion of metal fittings.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-corrosion-0216","corrosion","https://waterbalancetools.com/entities/corrosion","Ongoing corrosion from a heater indicates the LSI needs attention immediately.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-strong-chlorine-smell-0223","strong-chlorine-smell","https://waterbalancetools.com/entities/strong-chlorine-smell","When free chlorine reacts with nitrogen compounds from bathers (urea, ammonia, amino acids), it forms chloramines that have a strong, distinctive odor and are irritating to eyes and respiratory tract.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-eye-irritation-0228","eye-irritation","https://waterbalancetools.com/entities/eye-irritation","At lower pH, the water is acidic and irritating; at higher pH, chlorine effectiveness drops and chloramines accumulate.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-eye-irritation-0229","eye-irritation","https://waterbalancetools.com/entities/eye-irritation","The fix for chloramine-induced eye irritation is breakpoint chlorination.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-skin-irritation-0235","skin-irritation","https://waterbalancetools.com/entities/skin-irritation","Persistent skin irritation despite normal chemistry may indicate individual chemical sensitivity.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-low-chlorine-0236","low-chlorine","https://waterbalancetools.com/entities/low-chlorine","Low free chlorine is the single most common and dangerous pool chemistry problem.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-high-chlorine-0245","high-chlorine","https://waterbalancetools.com/entities/high-chlorine","Natural dissipation by sunlight and time is the safest remedy.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-low-ph-0249","low-ph","https://waterbalancetools.com/entities/low-ph","Effects include: etching of plaster and grout surfaces, staining from dissolved metals, corrosion of metal equipment and fittings, eye and skin irritation, and degradation of seals and gaskets.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-high-ph-0257","high-ph","https://waterbalancetools.com/entities/high-ph","High pH also promotes scaling (high positive LSI), causes eye irritation through a different mechanism than low pH, and can cause white cloudiness from calcium carbonate precipitation.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-swimming-pool-0261","swimming-pool","https://waterbalancetools.com/entities/swimming-pool","Most residential pools hold 10,000–30,000 gallons and require weekly chemical maintenance.","numeric_chemistry_claim","pool_volume","10000-30000","gallons","pool","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-indoor-pool-0268","indoor-pool","https://waterbalancetools.com/entities/indoor-pool","Ventilation is critical — pool rooms must exchange air continuously to remove chloramine vapors and prevent moisture damage to the structure.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-hot-tub-0274","hot-tub","https://waterbalancetools.com/entities/hot-tub","A hot tub (spa) is a small, heated body of water — typically 75–500 gallons — used for soaking, relaxation, and hydrotherapy.","numeric_chemistry_claim","pool_volume","75-500","gallons","hot_tub","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-swim-spa-0277","swim-spa","https://waterbalancetools.com/entities/swim-spa","Typically 12–20 feet long and holding 1,000–2,000 gallons, swim spas have a jet system that creates a current for swimming in place.","numeric_chemistry_claim","pool_volume","1000-2000","gallons","unspecified","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-vinyl-pool-0281","vinyl-pool","https://waterbalancetools.com/entities/vinyl-pool","Low calcium is less of a concern for vinyl pools from a surface damage perspective, but very aggressive water can still attack metal parts and fittings.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-calcium-hypochlorite-0302","calcium-hypochlorite","https://waterbalancetools.com/entities/calcium-hypochlorite","Must be pre-dissolved in water before adding to the pool; direct application can bleach liners and damage surfaces.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-sodium-dichlor-0305","sodium-dichlor","https://waterbalancetools.com/entities/sodium-dichlor","It dissolves quickly and is convenient for pool shocking, but each pound added raises CYA by approximately 6–7 ppm per 10,000 gallons.","numeric_chemistry_claim","pool_volume","10000","gallons","pool","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-trichlor-tablets-0313","trichlor-tablets","https://waterbalancetools.com/entities/trichlor-tablets","Should not be mixed with calcium hypochlorite — fire and explosion risk.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds","SUPPORTED -- microphor-trichlor-sds-2016 + asepsis-calhypo-msds-2005"
"ec-muriatic-acid-0315","muriatic-acid","https://waterbalancetools.com/entities/muriatic-acid","It reacts quickly and is highly effective but requires careful handling — it is strongly corrosive and produces acidic vapors.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-muriatic-acid-0317","muriatic-acid","https://waterbalancetools.com/entities/muriatic-acid","Dry acid (sodium bisulfate) is a safer-handling alternative that produces the same chemistry result.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-baking-soda-0329","baking-soda","https://waterbalancetools.com/entities/baking-soda","1.5 lbs per 10,000 gallons raises TA by approximately 10 ppm.","numeric_chemistry_claim","pool_volume","10000","gallons","unspecified","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-calcium-chloride-0334","calcium-chloride","https://waterbalancetools.com/entities/calcium-chloride","12 oz raises calcium hardness by approximately 10 ppm in a 10,000-gallon pool.","numeric_chemistry_claim","calcium_hardness","10","ppm","pool","unspecified","REQUIRES_REVIEW","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-stabilizer-0338","stabilizer","https://waterbalancetools.com/entities/stabilizer","Pool stabilizer (cyanuric acid granules) is added to outdoor pools at the start of the season to raise CYA to the target range (30–50 ppm for standard pools, 60–80 ppm for salt pools).","numeric_chemistry_claim","salt","60-80","ppm","pool","unspecified","REQUIRES_REVIEW","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-pool-salt-0342","pool-salt","https://waterbalancetools.com/entities/pool-salt","It must be free of additives (no anti-caking agents, iodide, or ferrocyanide) that can stain pools and damage salt cells.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-phta-0350","phta","https://waterbalancetools.com/entities/phta","PHTA publishes the Pool & Spa Operator Handbook (the industry standard reference for pool chemistry) and the ANSI standards for pool design, construction, and safety.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-nsf-0352","nsf","https://waterbalancetools.com/entities/nsf","NSF certification marks on pool products indicate independent verification of performance and safety claims.","safety_claim","","","","","","REQUIRES_REVIEW","P1","Safety/chemical-handling claim, unresolved from Phase 7J.","yes","government_or_manufacturer_sds",""
"ec-unit-gallons-0362","unit-gallons","https://waterbalancetools.com/entities/unit-gallons","7.48 gallons per cubic foot is the standard conversion used in pool volume formulas.","numeric_chemistry_claim","pool_volume","7.48","gallons","pool","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-unit-fahrenheit-0369","unit-fahrenheit","https://waterbalancetools.com/entities/unit-fahrenheit","Pool temperature targets: 78–84°F (residential pools), 100–104°F maximum (hot tubs).","numeric_chemistry_claim","water_temperature","78-84","°f","pool","unspecified","NO_EXISTING_SOURCE","P1","Numeric chemistry claim with no matching registry range or requiring re-verification.","yes","government_or_professional_standard",""
"ec-calcium-hardness-0026","calcium-hardness","https://waterbalancetools.com/entities/calcium-hardness","Water with low calcium is aggressive — it will dissolve calcium from plaster, grout, and equipment.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-calcium-hardness-0027","calcium-hardness","https://waterbalancetools.com/entities/calcium-hardness","Water with high calcium is scale-forming — calcium carbonate precipitates on surfaces and inside equipment.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-calcium-hardness-0028","calcium-hardness","https://waterbalancetools.com/entities/calcium-hardness","The ideal range depends on pool surface type: plaster pools need higher calcium (200–400 ppm) than vinyl or fiberglass pools (150–250 ppm).","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-copper-0043","copper","https://waterbalancetools.com/entities/copper","At elevated levels (above 0.3 ppm), copper causes green staining of pool surfaces and hair.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-iron-0048","iron","https://waterbalancetools.com/entities/iron","Treatment involves metal sequestrants to keep iron in solution, then gradual removal through filtration.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-manganese-0050","manganese","https://waterbalancetools.com/entities/manganese","Like iron, it stains pool surfaces when oxidized — manganese stains are typically black or dark brown/purple rather than the rust-red of iron.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-manganese-0051","manganese","https://waterbalancetools.com/entities/manganese","Metal sequestrants hold manganese in solution to prevent precipitation.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-manganese-0052","manganese","https://waterbalancetools.com/entities/manganese","Testing with a metal test kit distinguishes manganese from other staining causes.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-biguanide-0060","biguanide","https://waterbalancetools.com/entities/biguanide","It does not interact with CYA, pH resistance is broader, and it does not bleach surfaces or swimwear.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-skimmer-0120","skimmer","https://waterbalancetools.com/entities/skimmer","They use a weir (floating flap) to create a surface current that draws floating leaves, insects, sunscreen, and debris into a basket before the debris sinks to the pool floor.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-salt-chlorinator-0128","salt-chlorinator","https://waterbalancetools.com/entities/salt-chlorinator","The cell consists of titanium plates coated with a precious metal catalyst.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-balancing-0184","balancing","https://waterbalancetools.com/entities/balancing","Properly balanced water protects equipment, surfaces, and swimmers.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-cloudy-water-0199","cloudy-water","https://waterbalancetools.com/entities/cloudy-water","Cloudy water can result from low free chlorine (allowing algae or bacteria to proliferate), pH or alkalinity out of range (causing precipitation or flocculation), calcium carbonate precipitation (scaling, especially after shock), high TDS, poor filtration (pump run time too low, dirty filter, inadequate turnover), or dissolved metals.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-foaming-0206","foaming","https://waterbalancetools.com/entities/foaming","Foam on pool or hot tub water is caused by surfactants — substances that lower water surface tension.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-scaling-0208","scaling","https://waterbalancetools.com/entities/scaling","Scaling is the precipitation of calcium carbonate and other minerals onto pool surfaces, tile lines, plumbing, and equipment.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-algae-0219","algae","https://waterbalancetools.com/entities/algae","Black algae develops deep root structures that penetrate pool surfaces, making it the most difficult to eradicate.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-swimming-pool-0260","swimming-pool","https://waterbalancetools.com/entities/swimming-pool","Standard pool chemistry applies to all pool types, with adjustments for surface material, volume, and usage pattern.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-vinyl-pool-0279","vinyl-pool","https://waterbalancetools.com/entities/vinyl-pool","Vinyl liner pools have a flexible PVC liner as the pool surface.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-vinyl-pool-0282","vinyl-pool","https://waterbalancetools.com/entities/vinyl-pool","Vinyl liners can be bleached by direct contact with undissolved granular chemicals — always pre-dissolve shock and calcium chloride before adding.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation","SUPPORTED -- cffa-vinyl-liner-bleaching"
"ec-fiberglass-pool-0284","fiberglass-pool","https://waterbalancetools.com/entities/fiberglass-pool","Fiberglass pools have a smooth, non-porous fiberglass surface that is inherently resistant to algae (fewer attachment points) and requires less maintenance than plaster pools.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-fiberglass-pool-0286","fiberglass-pool","https://waterbalancetools.com/entities/fiberglass-pool","Very low calcium in aggressive water can leach the gelcoat surface over time.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation","CONTEXTUAL -- Orenda mechanism confirmed, single-figure guidance called oversimplified"
"ec-fiberglass-pool-0287","fiberglass-pool","https://waterbalancetools.com/entities/fiberglass-pool","The smooth surface also means less chemical demand overall.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-fiberglass-pool-0288","fiberglass-pool","https://waterbalancetools.com/entities/fiberglass-pool","Fiberglass pools cannot be refinished in the same way as plaster, so maintaining proper water chemistry to protect the surface is especially important.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-concrete-pool-0289","concrete-pool","https://waterbalancetools.com/entities/concrete-pool","Concrete pools (gunite or shotcrete) have a plaster, aggregate (pebble), or tile surface applied over a concrete shell.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-concrete-pool-0292","concrete-pool","https://waterbalancetools.com/entities/concrete-pool","Concrete pools are durable and highly customizable but require more careful chemistry management than vinyl or fiberglass pools.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-unit-ppm-0358","unit-ppm","https://waterbalancetools.com/entities/unit-ppm","Used for free chlorine, combined chlorine, alkalinity, calcium hardness, CYA, TDS, salt, metals, and phosphates.","material_property_claim","","","","","","REQUIRES_REVIEW","P2","Material-science claim, distinct evidence domain from water chemistry.","yes","manufacturer_technical_documentation",""
"ec-free-chlorine-0001","free-chlorine","https://waterbalancetools.com/entities/free-chlorine","Free chlorine (FC) is the portion of chlorine in pool water that has not yet reacted with contaminants.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-free-chlorine-0002","free-chlorine","https://waterbalancetools.com/entities/free-chlorine","It exists primarily as hypochlorous acid (HOCl) and hypochlorite ion (OCl−).","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-free-chlorine-0003","free-chlorine","https://waterbalancetools.com/entities/free-chlorine","HOCl is the active sanitizing form and is 40–80× more effective than OCl−.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-free-chlorine-0004","free-chlorine","https://waterbalancetools.com/entities/free-chlorine","The ratio of HOCl to OCl− is determined by pH — lower pH means more HOCl.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-free-chlorine-0005","free-chlorine","https://waterbalancetools.com/entities/free-chlorine","Free chlorine must be maintained above the minimum level dictated by the cyanuric acid concentration.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-combined-chlorine-0006","combined-chlorine","https://waterbalancetools.com/entities/combined-chlorine","Combined chlorine (CC) is the difference between total chlorine and free chlorine.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-combined-chlorine-0007","combined-chlorine","https://waterbalancetools.com/entities/combined-chlorine","It consists primarily of chloramines — compounds formed when chlorine reacts with ammonia, urea, and other nitrogen compounds from bathers.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-total-chlorine-0010","total-chlorine","https://waterbalancetools.com/entities/total-chlorine","Total chlorine (TC) equals free chlorine plus combined chlorine.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
"ec-total-chlorine-0011","total-chlorine","https://waterbalancetools.com/entities/total-chlorine","Most DPD-based test kits measure total chlorine directly, while free chlorine requires a separate reagent.","qualitative_chemistry_claim","","","","","","REQUIRES_REVIEW","P3","Lower-priority qualitative/operational/taxonomy claim -- not individually researched unless flagged during systematic entity review.","no","not_applicable",""
