url,file_path,page_type,cluster,overall_quality_score,action,priority,evidence
https://waterbalancetools.com/academy/testing/common-testing-mistakes,academy/testing/common-testing-mistakes.html,academy-article,academy/testing,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/testing/digital-pool-testers,academy/testing/digital-pool-testers.html,academy-article,academy/testing,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/testing/how-often-to-test-water,academy/testing/how-often-to-test-water.html,academy-article,academy/testing,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/testing/,academy/testing/index.html,academy-article,academy/testing,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/testing/understanding-test-results,academy/testing/understanding-test-results.html,academy-article,academy/testing,2.3,KEEP,P3,overall_quality_score=2.3 -- strong across the rubric.
https://waterbalancetools.com/academy/testing/using-liquid-test-kits,academy/testing/using-liquid-test-kits.html,academy-article,academy/testing,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/testing/using-test-strips,academy/testing/using-test-strips.html,academy-article,academy/testing,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/troubleshooting/cloudy-water,academy/troubleshooting/cloudy-water.html,academy-article,academy/troubleshooting,2.2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/troubleshooting/corrosion,academy/troubleshooting/corrosion.html,academy-article,academy/troubleshooting,2.2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/troubleshooting/foaming-hot-tubs,academy/troubleshooting/foaming-hot-tubs.html,academy-article,academy/troubleshooting,2.2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/troubleshooting/green-water,academy/troubleshooting/green-water.html,academy-article,academy/troubleshooting,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/troubleshooting/,academy/troubleshooting/index.html,academy-article,academy/troubleshooting,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/troubleshooting/scaling,academy/troubleshooting/scaling.html,academy-article,academy/troubleshooting,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/troubleshooting/strong-chlorine-smell,academy/troubleshooting/strong-chlorine-smell.html,academy-article,academy/troubleshooting,2.2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/vacation-rentals/chemical-log-sheets,academy/vacation-rentals/chemical-log-sheets.html,academy-article,academy/vacation-rentals,2.1,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/vacation-rentals/emergency-water-recovery,academy/vacation-rentals/emergency-water-recovery.html,academy-article,academy/vacation-rentals,2.3,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/vacation-rentals/guest-safety,academy/vacation-rentals/guest-safety.html,academy-article,academy/vacation-rentals,2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/vacation-rentals/,academy/vacation-rentals/index.html,academy-article,academy/vacation-rentals,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/vacation-rentals/maintenance-schedule,academy/vacation-rentals/maintenance-schedule.html,academy-article,academy/vacation-rentals,2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/vacation-rentals/turnover-checklist,academy/vacation-rentals/turnover-checklist.html,academy-article,academy/vacation-rentals,2.2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/vacation-rentals/weekly-inspection,academy/vacation-rentals/weekly-inspection.html,academy-article,academy/vacation-rentals,2.1,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/water-balance/,academy/water-balance/index.html,academy-article,academy/water-balance,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/academy/water-balance/understanding-calcium-hardness,academy/water-balance/understanding-calcium-hardness.html,academy-article,academy/water-balance,2.3,KEEP,P3,overall_quality_score=2.3 -- strong across the rubric.
https://waterbalancetools.com/academy/water-balance/understanding-cyanuric-acid,academy/water-balance/understanding-cyanuric-acid.html,academy-article,academy/water-balance,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/water-balance/understanding-lsi,academy/water-balance/understanding-lsi.html,academy-article,academy/water-balance,2.1,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/academy/water-balance/understanding-ph,academy/water-balance/understanding-ph.html,academy-article,academy/water-balance,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/water-balance/understanding-total-alkalinity,academy/water-balance/understanding-total-alkalinity.html,academy-article,academy/water-balance,2.2,KEEP,P3,overall_quality_score=2.2 -- strong across the rubric.
https://waterbalancetools.com/academy/water-balance/water-balance-order,academy/water-balance/water-balance-order.html,academy-article,academy/water-balance,2.2,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/all-pages,all-pages.html,crawl-hub,root,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/audit/google/authority-flow,audit/google/authority-flow.html,internal-dashboard,audit/google,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/audit/google/crawl-depth,audit/google/crawl-depth.html,internal-dashboard,audit/google,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/audit/google/freshness,audit/google/freshness.html,internal-dashboard,audit/google,1.9,IMPROVE,P3,On-page SEO issues: META_DESCRIPTION_TOO_SHORT.
https://waterbalancetools.com/audit/google/,audit/google/index.html,internal-dashboard,audit/google,1.2,IMPROVE,P2,word_count=29 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/audit/google/priority-report,audit/google/priority-report.html,internal-dashboard,audit/google,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/audit/google/search-console-helper,audit/google/search-console-helper.html,internal-dashboard,audit/google,1.3,IMPROVE,P2,word_count=17 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/audit/google/weak-pages,audit/google/weak-pages.html,internal-dashboard,audit/google,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/chemical-calculator,calculators/chemical-calculator.html,calculator,calculators,2.6,KEEP,P3,overall_quality_score=2.6 -- strong across the rubric.
https://waterbalancetools.com/calculators/hot-tub-chlorine-calculator,calculators/hot-tub-chlorine-calculator.html,calculator,calculators,2.5,KEEP,P3,overall_quality_score=2.5 -- strong across the rubric.
https://waterbalancetools.com/calculators/hot-tub-ph-calculator,calculators/hot-tub-ph-calculator.html,calculator,calculators,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/hot-tub-shock-calculator,calculators/hot-tub-shock-calculator.html,calculator,calculators,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/,calculators/index.html,calculator-hub,calculators,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/pool-alkalinity-calculator,calculators/pool-alkalinity-calculator.html,calculator,calculators,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/pool-chlorine-calculator,calculators/pool-chlorine-calculator.html,calculator,calculators,2.4,KEEP,P3,overall_quality_score=2.4 -- strong across the rubric.
https://waterbalancetools.com/calculators/pool-cyanuric-acid-calculator,calculators/pool-cyanuric-acid-calculator.html,calculator,calculators,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/pool-ph-calculator,calculators/pool-ph-calculator.html,calculator,calculators,2.5,KEEP,P3,overall_quality_score=2.5 -- strong across the rubric.
https://waterbalancetools.com/calculators/pool-shock-calculator,calculators/pool-shock-calculator.html,calculator,calculators,2.6,KEEP,P3,overall_quality_score=2.6 -- strong across the rubric.
https://waterbalancetools.com/calculators/pool-turnover-rate-calculator,calculators/pool-turnover-rate-calculator.html,calculator,calculators,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/pool-volume-calculator,calculators/pool-volume-calculator.html,calculator,calculators,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/saltwater-pool-salt-calculator,calculators/saltwater-pool-salt-calculator.html,calculator,calculators,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/spa-volume-calculator,calculators/spa-volume-calculator.html,calculator,calculators,2.1,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/calculators/volume-calculator,calculators/volume-calculator.html,calculator,calculators,2.1,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG;CANONICAL_MISMATCH.
https://waterbalancetools.com/charts/hot-tub-chemical-levels-chart,charts/hot-tub-chemical-levels-chart.html,chart,charts,2,IMPROVE,P2,word_count=132 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/charts/,charts/index.html,chart,charts,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/charts/pool-chemical-levels-chart,charts/pool-chemical-levels-chart.html,chart,charts,2.1,IMPROVE,P3,On-page SEO issues: CANONICAL_MISMATCH.
https://waterbalancetools.com/charts/pool-water-balance-chart,charts/pool-water-balance-chart.html,chart,charts,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/comparisons/chlorine-vs-bromine-hot-tub,comparisons/chlorine-vs-bromine-hot-tub.html,comparison,comparisons,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/comparisons/chlorine-vs-bromine,comparisons/chlorine-vs-bromine.html,comparison,comparisons,2.5,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/comparisons/free-chlorine-vs-total-chlorine,comparisons/free-chlorine-vs-total-chlorine.html,comparison,comparisons,2.5,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/comparisons/,comparisons/index.html,comparison-hub,comparisons,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/comparisons/liquid-chlorine-vs-tablets,comparisons/liquid-chlorine-vs-tablets.html,comparison,comparisons,2.5,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/comparisons/pool-shock-vs-chlorine,comparisons/pool-shock-vs-chlorine.html,comparison,comparisons,2.6,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/comparisons/salt-water-pool-vs-chlorine-pool,comparisons/salt-water-pool-vs-chlorine-pool.html,comparison,comparisons,2.5,IMPROVE,P3,On-page SEO issues: TITLE_TOO_LONG.
https://waterbalancetools.com/comparisons/saltwater-pool-vs-chlorine,comparisons/saltwater-pool-vs-chlorine.html,comparison,comparisons,2,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/editorial/content-standards/,editorial/content-standards/index.html,editorial-policy,editorial/content-standards,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/editorial/correction-policy/,editorial/correction-policy/index.html,editorial-policy,editorial/correction-policy,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/editorial/editorial-policy/,editorial/editorial-policy/index.html,editorial-policy,editorial/editorial-policy,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/editorial/,editorial/index.html,editorial-policy,editorial,1.7,IMPROVE,P2,word_count=129 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/editorial/review-process/,editorial/review-process/index.html,editorial-policy,editorial/review-process,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/editorial/update-policy/,editorial/update-policy/index.html,editorial-policy,editorial/update-policy,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/algae,entities/algae.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/alkalinity,entities/alkalinity.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/automatic-chlorinator,entities/automatic-chlorinator.html,entity,entities,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/backwashing,entities/backwashing.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/baking-soda,entities/baking-soda.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/balancing,entities/balancing.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/biguanide,entities/biguanide.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/breakpoint-chlorination,entities/breakpoint-chlorination.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/bromine,entities/bromine.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/calcium-chloride,entities/calcium-chloride.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/calcium-hardness,entities/calcium-hardness.html,entity,entities,1.8,IMPROVE,P2,"repetition_score=0: page shares several exact boilerplate paragraph/FAQ/table blocks with sibling pages despite otherwise original prose (originality_score=3) -- see programmatic-duplication.csv for family ""entities""."
https://waterbalancetools.com/entities/calcium-hypochlorite,entities/calcium-hypochlorite.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/cartridge-filter,entities/cartridge-filter.html,entity,entities,1.5,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/cdc,entities/cdc.html,entity,entities,1.6,IMPROVE,P2,word_count=139 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/entities/chemical-feeder,entities/chemical-feeder.html,entity,entities,1.5,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/chemical-log,entities/chemical-log.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/closing-checklist,entities/closing-checklist.html,entity,entities,1.6,IMPROVE,P2,word_count=142 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/entities/cloudy-water,entities/cloudy-water.html,entity,entities,1.5,IMPROVE,P2,"repetition_score=0: page shares several exact boilerplate paragraph/FAQ/table blocks with sibling pages despite otherwise original prose (originality_score=3) -- see programmatic-duplication.csv for family ""entities""."
https://waterbalancetools.com/entities/combined-chlorine,entities/combined-chlorine.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/commercial-pool,entities/commercial-pool.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/concrete-pool,entities/concrete-pool.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/copper,entities/copper.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/corrosion,entities/corrosion.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/cover,entities/cover.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/cyanuric-acid,entities/cyanuric-acid.html,entity,entities,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/de-filter,entities/de-filter.html,entity,entities,1.5,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/emergency-reference,entities/emergency-reference.html,entity,entities,1.5,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/epa,entities/epa.html,entity,entities,1.6,IMPROVE,P2,word_count=128 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/entities/eye-irritation,entities/eye-irritation.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/fiberglass-pool,entities/fiberglass-pool.html,entity,entities,1.5,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/filtration,entities/filtration.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/flow-rate,entities/flow-rate.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/foaming,entities/foaming.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/free-chlorine,entities/free-chlorine.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/gallons,entities/gallons.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/green-water,entities/green-water.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/heater,entities/heater.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/high-chlorine,entities/high-chlorine.html,entity,entities,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/high-ph,entities/high-ph.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/hot-tub,entities/hot-tub.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/hydrogen-peroxide,entities/hydrogen-peroxide.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/,entities/index.html,entity,entities,1.8,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/indoor-pool,entities/indoor-pool.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/iron,entities/iron.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/lamotte,entities/lamotte.html,entity,entities,1.6,IMPROVE,P2,word_count=125 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/entities/liquid-chlorine,entities/liquid-chlorine.html,entity,entities,1.9,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/liters,entities/liters.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/low-chlorine,entities/low-chlorine.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/low-ph,entities/low-ph.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/lsi,entities/lsi.html,entity,entities,1.5,IMPROVE,P2,"repetition_score=0: page shares several exact boilerplate paragraph/FAQ/table blocks with sibling pages despite otherwise original prose (originality_score=3) -- see programmatic-duplication.csv for family ""entities""."
https://waterbalancetools.com/entities/maintenance-checklist,entities/maintenance-checklist.html,entity,entities,1.5,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/maintenance-log,entities/maintenance-log.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/manganese,entities/manganese.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/muriatic-acid,entities/muriatic-acid.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/nsf,entities/nsf.html,entity,entities,1.7,IMPROVE,P2,word_count=120 -- thin content risk for AdSense/quality.
https://waterbalancetools.com/entities/opening-checklist,entities/opening-checklist.html,entity,entities,1.6,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
https://waterbalancetools.com/entities/orp,entities/orp.html,entity,entities,1.7,UNCHANGED,P3,No P0/P1/P2 signal triggered by this audit pass.
