record_id,source_file,source_sentence,old_parameter,independently_expected_parameter,old_value_if_available,independently_expected_value,old_unit_if_available,independently_expected_unit,classification,reason
old-audit-0142,academy/fundamentals/why-water-testing-matters.html,Test total alkalinity and calcium hardness monthly.,total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; alkalinity is the primary named parameter.
old-audit-0146,academy/fundamentals/why-water-testing-matters.html,Examples Catching a Problem Early A pool owner tests on Monday and finds FC at 0.8 ppm — below the 1.0 ppm minimum.,free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,FC 0.8 ppm vs 1.0 ppm minimum -- correct.
old-audit-0169,academy/hot-tubs/monthly-spa-maintenance.html,In This Category Daily Spa Maintenance Weekly Spa Maintenance Monthly Spa Maintenance Refilling Your Hot Tub Shocking a Hot Tub After Heavy Use Winter Spa Care On This Page Key Facts Deep Filter Cleaning Monthly Chemistry Audit Equipment and Cabinet Check Examples Common Mistakes Calculators Hot Tub…,shock_treatment,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,Navigation menu chrome listing many hot-tub-care topics; no real shock_treatment claim.
old-audit-0175,academy/hot-tubs/monthly-spa-maintenance.html,Calculate the Langelier Saturation Index at the current water temperature.,water_temperature,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; LSI-at-current-temperature statement.
old-audit-0177,academy/hot-tubs/monthly-spa-maintenance.html,Check the air controls (if present) to ensure they open and close freely — stuck air controls cause aeration problems that accelerate pH drift.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; genuinely about pH drift causation.
old-audit-0216,academy/hot-tubs/weekly-spa-maintenance.html,Check and clean the spa waterline weekly to prevent scale and scum buildup.,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no chemistry parameter."
old-audit-0247,academy/sanitizers/breakpoint-chlorination.html,Tablets Shock Treatments Explained Bromine vs.,bromine,bromine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,Truncated navigation heading fragment ('Bromine vs.'); no coherent claim or number.
old-audit-0269,academy/sanitizers/bromine-vs-chlorine.html,"How Bromine Works Bromine sanitises water through the formation of hypobromous acid (HOBr), which works similarly to hypochlorous acid in chlorine-treated water.",bromine,bromine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; genuinely about bromine's sanitizing mechanism.
old-audit-0295,academy/sanitizers/index.html,Tablets Liquid chlorine raises FC immediately with no side effects on CYA or pH.,ph,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; FC/CYA/pH all mentioned, FC arguably most central ('raises FC'), reasonable people could differ."
old-audit-0331,academy/sanitizers/understanding-free-chlorine.html,Tablets Shock Treatments Explained Bromine vs.,bromine,bromine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,Same truncated heading fragment as idx247.
old-audit-0375,academy/testing/how-often-to-test-water.html,"For hot tubs used by multiple people daily (vacation rentals, short-term rental properties), test morning and evening.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no chemistry parameter."
old-audit-0490,academy/troubleshooting/scaling.html,"High pH, high calcium hardness, and high temperature are the main contributing factors.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number; pH listed first among three co-equal factors, not a clear error."
old-audit-0500,academy/troubleshooting/scaling.html,"Testing shows Ca hardness 480 ppm, pH 7.8, TA 140 ppm — LSI is +0.8 or higher.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"pH=7.8 correctly present, but calcium_hardness=480ppm, total_alkalinity=140ppm, and LSI=+0.8 are all explicit and silently dropped by the one-parameter-per-claim model."
old-audit-0513,academy/troubleshooting/strong-chlorine-smell.html,These compounds are also much weaker disinfectants than free chlorine.,free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; genuinely comparing free chlorine to other disinfectants.
old-audit-0527,academy/vacation-rentals/emergency-water-recovery.html,"Key Facts Examples Calculator Related Emergency water recovery is required when a vacation rental pool is found with green water, zero chlorine, extreme pH, or severe cloudiness that makes it unsafe for use.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; multi-issue list (green water/zero chlorine/extreme pH/cloudiness), no clear single parameter."
old-audit-0575,academy/vacation-rentals/turnover-checklist.html,"Added: 2 quarts liquid chlorine (raised FC to estimate 2 ppm), 8 oz muriatic acid (lowered pH toward 7.4).",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"pH toward 7.4 is defensible, but FC~2ppm claim ('raised FC to estimate 2 ppm') is completely dropped."
old-audit-0609,academy/water-balance/understanding-calcium-hardness.html,Adjusting Calcium Hardness To raise calcium hardness: add calcium chloride (sold as &quot;hardness increaser&quot;).,calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; genuinely about raising calcium hardness.
old-audit-0623,academy/water-balance/understanding-cyanuric-acid.html,"Without CYA in an outdoor pool, chlorine exposed to direct sunlight at midday will deplete by 90% within two to three hours.",cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"90% is a chlorine-depletion-rate figure, not a CYA ppm value, but the sentence's core topic is genuinely CYA's protective role; no CYA range asserted or contradicted."
old-audit-0667,academy/water-balance/understanding-total-alkalinity.html,Low alkalinity causes pH to swing unpredictably; high alkalinity locks pH at the high end and causes scaling.,ph,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; total_alkalinity is the grammatical subject/cause, pH is the effect -- reasonable to tag either."
old-audit-0690,all-pages.html,System Hub Pool Chemistry System: How All Parameters Work Together Calculators Chemical Calculator Hot Tub Chlorine Calculator Hot Tub Ph Calculator Hot Tub Shock Calculator Index Pool Alkalinity Calculator Pool Chlorine Calculator Pool Cyanuric Acid Calculator Pool Ph Calculator Pool Shock Calculat…,ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,Navigation menu chrome listing many different calculators; no coherent single ph claim.
old-audit-0694,audit/google/crawl-depth.html,Cartridge Filters | Academy 3 /academy/fundamentals Fundamentals | Academy 2 /academy/fundamentals/how-temperature-changes-water-chemistry How Temperature Changes Water Chemistry | Academy 3 /academy/fundamentals/how-water-balance-works How Water Balance Works | Academy 3 /academy/fundamentals/pool-…,water_temperature,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,NON_CHEMISTRY_NUMERIC,"Sitemap/crawl-depth listing; the numbers present (2, 3) are crawl-depth counts, unrelated to water_temperature or any chemistry value."
old-audit-0703,calculators/chemical-calculator.html,Pool & Hot Tub Chemical Calculator Enter your water volume and test results to get chlorine and pH adjustment amounts. &#8595; Water Type Type Swimming Pool Hot Tub / Spa Water Volume Volume (US gallons) Don't know?,ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"Calculator UI chrome/form labels; no number, multiple parameters mentioned equally."
old-audit-0723,calculators/hot-tub-chlorine-calculator.html,"If readings exceed 5 ppm, pause adding sanitizer, run jets with the cover open, and retest after circulation before soaking.",sanitizer,sanitizer,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,5 ppm threshold for pausing sanitizer addition -- correct.
old-audit-0748,calculators/index.html,Pool Alkalinity Calculator Pool alkalinity calculator.,total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number; calculator title, correct topic."
old-audit-0755,calculators/index.html,Hot Tub Chemical Calculator (Safe Levels in 30 Seconds) Browse hot tub chlorine calculator content.,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"'30 Seconds' is a UI/marketing speed claim, not a chemistry value -- correctly rejected."
old-audit-0781,calculators/pool-ph-calculator.html,Why does pool pH keep drifting high?,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (pH drift question).
old-audit-0851,comparisons/chlorine-vs-bromine-hot-tub.html,"Either way, keep sanitizer in the correct range (e.g. 3–5 ppm chlorine or manufacturer’s bromine range), and maintain pH and alkalinity.",ph,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,3-5 ppm is explicitly a chlorine value ('3-5 ppm chlorine'); pH/alkalinity mentioned at the end with no number.
old-audit-0857,comparisons/chlorine-vs-bromine.html,Chlorine is more cost-effective and works faster; ideal for outdoor pools Bromine is more pH-stable and performs better at high spa temperatures (100–104°F) Bromine cannot be easily stabilized against UV — only for indoor/covered pools or spas Bromine can be reactivated by shocking; chlorine chloram…,ph,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,100-104F is a spa temperature range; 'pH-stable' is qualitative with no pH number.
old-audit-0874,comparisons/index.html,"Chlorine vs bromine comparison: cost, temperature stability, UV stability, odor, and best use cases.",bromine,bromine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; comparison genuinely includes bromine as one of two compared items.
old-audit-0915,comparisons/saltwater-pool-vs-chlorine.html,"Traditional chlorine is simpler to install and our calculators support both: chlorine , salt , and chemical chart .",salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; salt reasonably one of the listed calculator topics.
old-audit-0951,entities/baking-soda.html,Entity Type Chemical Product Aliases sodium bicarbonate baking soda bicarb alkalinity increaser Calculators Pool Alkalinity Calculator Related Entities Total Alkalinity pH Water Balancing,ph,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,Baking soda entity page: self-described as 'alkalinity increaser' with 'Pool Alkalinity Calculator' link; pH appears only once in a trailing related-entities list.
old-audit-0983,entities/calcium-chloride.html,Entity Type Chemical Product Aliases — Calculators Chemical Calculator Related Entities Calcium Hardness Langelier Saturation Index Water Balancing,calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct entity-page topic (calcium chloride).
old-audit-1041,entities/corrosion.html,Quick Facts Ideal Range N/A (prevented by LSI > −0.3) Relationships Outgoing Relationships causes → Low pH Incoming Relationships causes ← Calcium Hardness causes ← Langelier Saturation Index solves ← Water Balancing related to ← Low pH solves ← Baking Soda solves ← Calcium Chloride Related Calculat…,ph,lsi,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,-0.3 is explicitly an LSI threshold ('LSI > -0.3'); pH appears only as a relationship-graph label with no number.
old-audit-1046,entities/corrosion.html,Pool Type Concrete Pool A plastered or pebbled concrete pool requiring higher calcium hardness (200–400 ppm).,calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,200-400 ppm -- correct.
old-audit-1098,entities/green-water.html,Relationships Outgoing Relationships causes → Low Chlorine Incoming Relationships solves ← Free Chlorine solves ← Shock Treatment causes ← Algae solves ← Calcium Hypochlorite related to ← Emergency Recovery Reference Related Calculators Pool Shock Calculator Pool Chlorine Calculator Pool Volume Calc…,free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number; 'Free Chlorine' is a literal relationship-graph node label, defensible."
old-audit-1195,entities/maintenance-log.html,"Definition Quick Facts Relationships Calculators Related Entities Definition A printable log for recording hot tub and spa water tests, chemical additions, and service notes.",(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no parameter."
old-audit-1219,entities/orp.html,Entity Type Measurement Ideal Range 650–750 mV Aliases ORP oxidation-reduction potential redox sanitizing capacity Related Entities Free Chlorine pH Sanitizing,ph,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,"650-750 mV is ORP, a concept outside the 15-parameter vocabulary entirely; pH is mentioned only as a related entity, not the value's true subject."
old-audit-1220,entities/outdoor-pool.html,"Pool Type Entity Outdoor Pool A pool exposed to direct sunlight and weather, requiring CYA stabilization of chlorine.",cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (CYA stabilization).
old-audit-1226,entities/outdoor-pool.html,"Measurement Temperature Water temperature in °F or °C, affecting chemical reactions, chlorine demand, and comfort.",water_temperature,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-1282,entities/salt.html,Definition Quick Facts Relationships Calculators Related Entities Definition Sodium chloride dissolved in pool water to enable chlorine generation by a salt chlorinator.,salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (salt/SWG definition).
old-audit-1283,entities/salt.html,"Quick Facts Ideal Range 2,700–3,400 ppm (system-dependent) Units ppm Also Known As NaCl, pool salt, sodium chloride, salt level, saltwater Relationships Outgoing Relationships requires → Salt Chlorinator calculated by → formula-06 measured by → Water Testing recommended for → Saltwater Pool uses → P…",salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"2,700-3,400 ppm -- correct."
old-audit-1361,entities/swimming-pool.html,Pool Type Concrete Pool A plastered or pebbled concrete pool requiring higher calcium hardness (200–400 ppm).,calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,200-400 ppm -- correct (duplicate content).
old-audit-1370,entities/temperature.html,"Quick Facts Ideal Range 78–84 °F Units °F Also Known As temperature, water temp, pool temperature, water temperature Relationships Incoming Relationships affected by ← Free Chlorine affected by ← pH measured by ← Langelier Saturation Index Related Calculators Chemical Calculator Academy Articles How…",ph,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,78-84F is literally the Temperature entity's own Quick Facts ideal range; pH appears only as a relationship label.
old-audit-1375,entities/temperature.html,Entity Type Measurement Ideal Range 78–84 °F Aliases temperature water temp pool temperature water temperature Calculators Chemical Calculator Related Entities Langelier Saturation Index Free Chlorine pH Hot Tub Water Balancing,ph,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,Same Temperature-entity ideal range (78-84F) mislabeled as ph.
old-audit-1408,entities/unit-fahrenheit.html,Definition Quick Facts Relationships Calculators Related Entities Definition Degrees Fahrenheit — the standard temperature unit for pool and spa temperature in North America.,water_temperature,water_temperature,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (Fahrenheit unit entity).
old-audit-1464,formulas/alkalinity-formula.html,"The 0.0012 constant is equivalent to 1.5 lbs raising TA by 10 ppm in 10,000 gallons.",total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,Explicitly 'raising TA by 10 ppm' -- correct.
old-audit-1475,formulas/cya-formula.html,"Each pound of trichlor adds about 6 ppm CYA per 10,000 gallons.",cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,6 ppm CYA per pound trichlor -- correct.
old-audit-1515,formulas/ph-adjustment-formula.html,"TA is 100 ppm (typical). ΔpH = 7.8 − 7.4 = 0.4 Constant for 31.5% acid: 0.0833 ÷ 0.315 = 0.264 Dose = 0.4 × 15,000 × 0.264 ÷ 10,000 Alternatively, a commonly used rule-of-thumb: 31.5% muriatic acid drops pH by 0.2 per 10,000 gal using approximately 10 fl oz.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,MISSED_CLAIM,"pH delta (7.8-7.4=0.4) is defensible/correct, but TA=100ppm is stated explicitly and silently dropped."
old-audit-1520,formulas/ph-adjustment-formula.html,"To raise pH: use sodium carbonate (soda ash) — approximately 6 oz per 10,000 gallons per 0.2 pH unit increase.",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,0.2 pH unit increase -- correct.
old-audit-1522,formulas/ph-adjustment-formula.html,Total alkalinity has a major effect on how much pH shifts per dose of acid — high alkalinity significantly increases the required dose.,ph,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; total_alkalinity is grammatical subject/cause, pH is the effect."
old-audit-1532,formulas/salt-formula.html,How This Formula Works Salt chlorinator systems require a specific salt concentration to generate chlorine effectively.,salt,salt,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (SWG salt concentration).
old-audit-1545,formulas/shock-formula.html,"The required dose depends on the shock product's concentration, the pool volume, and how high the FC must be raised.",free_chlorine,shock_treatment,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; shock dose ('the required dose') is arguably the more central subject than FC, one of three named factors."
old-audit-1565,glossary/algae-bloom.html,"Definition Details Values Definition An algae bloom is the rapid, visible multiplication of algae in pool water, resulting in green, cloudy, or discolored water. &#127919; Typical Values: Shock dose for active bloom: 30 ppm FC; Prevention: maintain FC above 1 ppm at all times In Plain Language Algae…",free_chlorine,free_chlorine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"30 ppm FC shock dose / 1 ppm FC prevention are both explicitly labeled FC values, even on an algae-entity page."
old-audit-1580,glossary/ammonia.html,Managing chlorine levels to stay ahead of ammonia input prevents chloramine accumulation.,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,"No number, no single parameter value."
old-audit-1591,glossary/bcdmh.html,BCDMH is the standard product for bromine floaters and automatic feeders in hot tubs.,bromine,bromine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (BCDMH bromine product).
old-audit-1638,glossary/bromine.html,Typical Values &#127919; Hot tubs and spas: 3–6 ppm; Indoor pools: 3–6 ppm Related Resources Hot Tub Chlorine Calculator Bromine Vs Chlorine Last reviewed: 2026-06-01,bromine,bromine,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,3-6 ppm -- correct.
old-audit-1639,glossary/calcium-hardness.html,"Calcium Hardness chemical The concentration of dissolved calcium in pool water, affecting scaling and corrosion tendency.",calcium_hardness,calcium_hardness,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic.
old-audit-1738,glossary/dichlor.html,Typical Values &#127919; Available chlorine: ~56%; CYA added: ~33% by weight of product Related Resources Pool Chlorine Calculator Liquid Chlorine Vs Tablets Cya Formula Last reviewed: 2026-06-01,cyanuric_acid,cyanuric_acid,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,CYA added ~33% by weight is explicit and directly quantified; defensible primary tag.
old-audit-1875,glossary/ph-bounce.html,Typical Values &#127919; Occurs when TA is below 60 ppm Related Resources Pool Alkalinity Calculator Understanding Total Alkalinity Alkalinity Formula Last reviewed: 2026-06-01,total_alkalinity,total_alkalinity,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,TA below 60 ppm -- correct.
old-audit-1883,glossary/ph-increaser.html,"Typical Values &#127919; Raises pH by approximately 0.2 per pound per 10,000 gallons; dissolve before adding Related Resources Pool Ph Calculator Understanding Ph Ph Adjustment Formula Last reviewed: 2026-06-01",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,Raises pH by ~0.2 -- correct.
old-audit-1884,glossary/ph.html,pH measurement The measure of hydrogen ion concentration indicating acidity or alkalinity of pool water.,ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correct topic (pH definition).
old-audit-1893,glossary/phosphates.html,"Definition Details Values Definition Phosphates are nutrients present in pool water that can promote algae growth when free chlorine is inadequate. &#127919; Typical Values: Target: below 500 ppb; treat with phosphate remover if above 1,000 ppb and algae is recurring In Plain Language Phosphates (or…",free_chlorine,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,PARAMETER_MISCLASSIFICATION,"500/1,000 ppb are phosphate concentrations (outside the 15-parameter vocabulary), not free_chlorine; 'free chlorine' appears only in passing with no chlorine number."
old-audit-1961,glossary/scale-inhibitor.html,"They are used in areas with hard water, in heated pools, and in salt pools where scaling tendency is high.",salt,(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,LEGITIMATE_AMBIGUITY,"No number; 'salt pools' is one of three listed contexts (hard water, heated pools, salt pools), not a salt-concentration claim."
old-audit-1976,glossary/shock-dosage.html,Why It Matters Under-dosing shock fails to reach breakpoint and wastes product.,(none),(none),"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,No number; correctly conservative given no value stated.
old-audit-2004,glossary/sodium-carbonate.html,"Typical Values &#127919; Raises pH by approximately 0.2 units per pound per 10,000 gallons Related Resources Pool Ph Calculator Understanding Ph Ph Adjustment Formula Last reviewed: 2026-06-01",ph,ph,"(old system has no value/unit columns -- topic-level tag only, see PHASE-7D-2 methodology)",,,,CORRECT,Raises pH by ~0.2 units -- correct.
