claim_index,url,claim,parameter,minimum,maximum,unit,environment,extraction_status,scientific_review_status,notes
12,academy/equipment/automatic-chlorinators.html,Compatibility Considerations Trichlor tablets are strongly acidic (pH approximately 2.8) and contain cyanuric acid.,ph,2.8,2.8,ph_units,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
13,academy/equipment/automatic-chlorinators.html,"Every time a tablet dissolves, it lowers pH and adds CYA.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
14,academy/equipment/automatic-chlorinators.html,"In a pool managed exclusively with a tablet feeder, CYA can reach problem levels (80–100 ppm) within one season and pH will consistently trend low without acid addition.",cyanuric_acid,80,100,ppm,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
15,academy/equipment/automatic-chlorinators.html,Test pH and CYA monthly when using an automatic feeder.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
16,academy/equipment/automatic-chlorinators.html,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,85,85,ppm,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
16,academy/equipment/automatic-chlorinators.html,"Examples End-of-Season Feeder Check As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit.",cyanuric_acid,80,80,ppm,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
17,academy/equipment/automatic-chlorinators.html,"The summer bather load has been high (kids off school), and the feeder has been running at 100% feed rate, dissolving tablets quickly.",(none),100,100,%,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
18,academy/equipment/index.html,"Articles Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
19,academy/equipment/index.html,"Correct sizing ensures adequate turnover rate without wasting energy on oversized flow. 5 min read Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
20,academy/equipment/index.html,They require specific water chemistry and regular cell cleaning to function correctly. 6 min read Automatic Chlorinators Automatic chlorinators deliver steady chlorine doses without daily attention.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
21,academy/equipment/pool-filters.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Filtration Works Pressure and Run Time Filter Maintenance Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipment 5 m…,pool_volume,5,5,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
22,academy/equipment/pool-filters.html,"Key Facts Examples Calculator Related Pool filtration removes suspended particles from water — fine particles that cause cloudiness, dead algae cells, and small debris.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
23,academy/equipment/pool-filters.html,How Filtration Works Pool filters remove particles by forcing water through a filter medium that physically captures and holds particles as the water passes through.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
24,academy/equipment/pool-filters.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Sand Filters vs.",pool_volume,2022,2022,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
25,academy/equipment/pool-filters.html,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
26,academy/equipment/pool-pumps.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts Pump Sizing Basics Variable Speed Pumps Flow Rate and Turnover Rate Examples Common Mistakes Calculators Pool Turnover Rate Calculator Pool Volume Calculator Equipme…,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
27,academy/equipment/pool-pumps.html,Variable speed pumps reduce energy consumption by 65–80% compared to single-speed pumps.,(none),65,80,%,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
28,academy/equipment/pool-pumps.html,"A pool that achieves only one turnover per day in hot summer weather may not maintain adequate water quality — dead algae, fine particles, and chlorine by-products accumulate faster than the filter can clear them.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
29,academy/equipment/pool-pumps.html,Increasing to two turnovers per day (by extending pump run time or increasing speed) is a common recommendation during peak swimming season or after an algae event.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
30,academy/equipment/pool-pumps.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris…",pool_volume,2022,2022,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
31,academy/equipment/pool-pumps.html,"Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
32,academy/equipment/pool-skimmers.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Skimmers Work Correct Water Level Skimmer Maintenance Examples Common Mistakes Calculators Pool Volume Calculator Equipment 4 min read Updated 2026-06-01 Pool Sk…,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
33,academy/equipment/pool-skimmers.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Pumps: Sizing and Turnover The pool pump determines how much water passes through the filter each day.",pool_volume,2022,2022,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
34,academy/equipment/pool-skimmers.html,"Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
35,academy/equipment/pool-skimmers.html,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
36,academy/equipment/salt-systems.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Salt Systems Work Water Chemistry for Salt Pools Salt Cell Maintenance Examples Common Mistakes Calculators Saltwater Pool Salt Calculator Equipment 6 min read U…,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
37,academy/equipment/salt-systems.html,Key Facts Examples Calculator Related Salt water pool systems (also called salt chlorinator or salt generator systems) produce chlorine continuously by electrolyzing dissolved salt in the pool water.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
38,academy/equipment/salt-systems.html,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,2700,3400,ppm,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
38,academy/equipment/salt-systems.html,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,35000,35000,ppm,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
39,academy/equipment/salt-systems.html,"Salt pools still require pH, alkalinity, and hardness management — the system only manages chlorine.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
40,academy/equipment/salt-systems.html,Salt cells accumulate calcium scale and require cleaning every 3 months on average.,(none),3,3,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
41,academy/equipment/salt-systems.html,CYA of 60–80 ppm is needed for salt pool outdoor use to protect the generated chlorine from UV.,cyanuric_acid,60,80,ppm,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
42,academy/equipment/salt-systems.html,How Salt Systems Work A salt chlorinator passes pool water across a titanium cell coated with precious metal oxides (the salt cell).,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
43,academy/equipment/salt-systems.html,The salt is not consumed at a significant rate.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
44,academy/equipment/salt-systems.html,"Water Chemistry for Salt Pools Salt pools require the same core chemistry management as chlorine pools with one difference: the salt chlorinator generates chlorine continuously at a set rate, so you do not add liquid chlorine or tablets (in most cases).",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
45,academy/equipment/salt-systems.html,"What you must still manage: pH (6.8–7.6; salt generators raise pH as a by-product of the electrolysis process, so pH tends to drift up and requires more acid additions than a traditional chlorine pool), alkalinity (80–120 ppm), calcium hardness (200–400 ppm for plaster — very important because low h…",ph,6.8,7.6,ph_units,unspecified,CORRECT_EXTRACTION,SUPPORTED,
45,academy/equipment/salt-systems.html,"What you must still manage: pH (6.8–7.6; salt generators raise pH as a by-product of the electrolysis process, so pH tends to drift up and requires more acid additions than a traditional chlorine pool), alkalinity (80–120 ppm), calcium hardness (200–400 ppm for plaster — very important because low h…",total_alkalinity,80,120,ppm,pool,CORRECT_EXTRACTION,SUPPORTED,
45,academy/equipment/salt-systems.html,"What you must still manage: pH (6.8–7.6; salt generators raise pH as a by-product of the electrolysis process, so pH tends to drift up and requires more acid additions than a traditional chlorine pool), alkalinity (80–120 ppm), calcium hardness (200–400 ppm for plaster — very important because low h…",calcium_hardness,200,400,ppm,pool,CORRECT_EXTRACTION,SUPPORTED,
46,academy/equipment/salt-systems.html,"Salt Cell Maintenance The salt cell deposits calcium scale on its titanium plates over time, reducing chlorine generation efficiency.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
47,academy/equipment/salt-systems.html,Examples Seasonal Salt Level Check Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
48,academy/equipment/salt-systems.html,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,2400,2400,ppm,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
48,academy/equipment/salt-systems.html,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,2700,2700,ppm,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
49,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,40,40,lbs,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: salt does not accept a mass_or_dosage value -- likely extraction noise, not a real claim about this parameter."
49,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,15000,15000,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: salt does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
49,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,300,300,ppm,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
50,academy/equipment/salt-systems.html,"Retest — salt now at 2,750 ppm.",salt,2750,2750,ppm,unspecified,CORRECT_EXTRACTION,REQUIRES_REVIEW,
51,academy/equipment/sand-vs-cartridge-filters.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts Sand Filters Cartridge Filters Which to Choose Examples Common Mistakes Calculators Pool Volume Calculator Equipment 5 min read Updated 2026-06-01 Sand Filters vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
52,academy/equipment/sand-vs-cartridge-filters.html,"Their main limitation is filtration fineness — they capture particles 20–40 microns and above, which means fine particles (including some dead algae and fine dust) pass through.",(none),20,40,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
53,academy/equipment/sand-vs-cartridge-filters.html,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",(none),30,30,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
53,academy/equipment/sand-vs-cartridge-filters.html,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",(none),6,10,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
53,academy/equipment/sand-vs-cartridge-filters.html,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",pool_volume,900,2000,gallons,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
54,academy/equipment/sand-vs-cartridge-filters.html,"Not replacing filter sand after 7+ years, by which time the grains have worn smooth and no longer effectively capture fine particles.",(none),7,7,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
55,academy/equipment/sand-vs-cartridge-filters.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",pool_volume,2022,2022,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: pool_volume does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
56,academy/fundamentals/how-temperature-changes-water-chemistry.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Chlorine Depletion in Warm Water Temperature and pH Drift LSI Shifts with Temperature Examples Common Mistakes Calculators Chemical Calculator Pool Chlorine Calculator Fundamentals 5 min read U…,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
57,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Examples Calculator Related Water temperature affects almost every aspect of pool chemistry.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
58,academy/fundamentals/how-temperature-changes-water-chemistry.html,"As temperature rises, chemical reactions accelerate, scaling risk increases, and the same chemical dose that worked in spring may not be enough in midsummer.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
59,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,water_temperature,10,10,°f,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
59,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,water_temperature,80,80,°f,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
60,academy/fundamentals/how-temperature-changes-water-chemistry.html,The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.,water_temperature,70,70,°f,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
60,academy/fundamentals/how-temperature-changes-water-chemistry.html,The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.,water_temperature,90,90,°f,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
61,academy/fundamentals/how-temperature-changes-water-chemistry.html,Seasonal temperature changes are the most common reason for mid-summer chemistry problems.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
62,academy/fundamentals/how-temperature-changes-water-chemistry.html,Chlorine Depletion in Warm Water Chlorine breaks down faster at higher temperatures.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
63,academy/fundamentals/how-temperature-changes-water-chemistry.html,A pool that maintains 3 ppm FC comfortably at 72°F in April may struggle to hold 1.5 ppm at 85°F in July with the same dosing routine.,free_chlorine,3,3,ppm,pool,CORRECT_EXTRACTION,SUPPORTED,
63,academy/fundamentals/how-temperature-changes-water-chemistry.html,A pool that maintains 3 ppm FC comfortably at 72°F in April may struggle to hold 1.5 ppm at 85°F in July with the same dosing routine.,free_chlorine,72,72,°f,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: free_chlorine does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
63,academy/fundamentals/how-temperature-changes-water-chemistry.html,A pool that maintains 3 ppm FC comfortably at 72°F in April may struggle to hold 1.5 ppm at 85°F in July with the same dosing routine.,free_chlorine,1.5,1.5,ppm,pool,CORRECT_EXTRACTION,SUPPORTED,
63,academy/fundamentals/how-temperature-changes-water-chemistry.html,A pool that maintains 3 ppm FC comfortably at 72°F in April may struggle to hold 1.5 ppm at 85°F in July with the same dosing routine.,free_chlorine,85,85,°f,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: free_chlorine does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
64,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Temperature and pH Drift As water warms, carbon dioxide escapes from solution more readily.",(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
65,academy/fundamentals/how-temperature-changes-water-chemistry.html,"CO2 is naturally acidic, so when it leaves, pH rises.",(none),2,2,,unspecified,NO_PARAMETER_IN_CLAUSE,NOT_EXTRACTED,
66,academy/fundamentals/how-temperature-changes-water-chemistry.html,"This is why pool pH tends to be higher in summer and why pools with waterfalls, fountains, or high-speed jets see faster pH rise — all of those features accelerate CO2 off-gassing.",ph,2,2,ph_units,pool,CORRECT_EXTRACTION,REQUIRES_REVIEW,
67,academy/fundamentals/how-temperature-changes-water-chemistry.html,Increase the frequency of pH testing from weekly to every two to three days during summer.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
68,academy/fundamentals/how-temperature-changes-water-chemistry.html,LSI Shifts with Temperature Temperature is a significant variable in the Langelier Saturation Index formula.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
69,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",lsi,-0.1,-0.1,,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
69,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",lsi,68,68,°f,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: lsi does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
69,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",lsi,0.4,0.4,,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
69,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",lsi,90,90,°f,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: lsi does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
70,academy/fundamentals/how-temperature-changes-water-chemistry.html,This is especially important for hot tubs and heated pools.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
71,academy/fundamentals/how-water-balance-works.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Aggressive vs.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
72,academy/fundamentals/how-water-balance-works.html,Scaling Water The Langelier Saturation Index Balancing in Practice Examples Common Mistakes Calculators Chemical Calculator Pool Alkalinity Calculator Fundamentals 6 min read Updated 2026-06-01 How Water Balance Works v2026.07 Balanced water neither corrodes surfaces nor deposits scale.,total_alkalinity,2026.07,2026.07,,pool,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: total_alkalinity does not accept a unknown value -- likely extraction noise, not a real claim about this parameter."
73,academy/fundamentals/how-water-balance-works.html,This guide explains the Langelier Saturation Index and how to adjust your chemistry to stay in range.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
74,academy/fundamentals/how-water-balance-works.html,The Langelier Saturation Index measures this on a single scale.,(none),,,,,NO_NUMERIC_CONTENT,NOT_EXTRACTED,No numeric chemistry value found in this claim (editorial/non-numeric text).
75,academy/fundamentals/how-water-balance-works.html,Key Facts An LSI of 0.0 is perfect balance; the industry target range is -0.3 to +0.3.,lsi,0,0,,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
75,academy/fundamentals/how-water-balance-works.html,Key Facts An LSI of 0.0 is perfect balance; the industry target range is -0.3 to +0.3.,lsi,-0.3,-0.3,,unspecified,CARRIED_CONTEXT,AMBIGUOUS,
75,academy/fundamentals/how-water-balance-works.html,Key Facts An LSI of 0.0 is perfect balance; the industry target range is -0.3 to +0.3.,lsi,0.3,0.3,,unspecified,CARRIED_CONTEXT,AMBIGUOUS,
76,academy/fundamentals/how-water-balance-works.html,"Aggressive water (LSI below -0.3) attacks plaster, grout, metal fittings, and pump impellers.",lsi,-0.3,-0.3,,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
77,academy/fundamentals/how-water-balance-works.html,"Scaling water (LSI above +0.3) deposits calcium on heater elements, pipes, and pool surfaces.",lsi,0.3,0.3,,unspecified,CORRECT_EXTRACTION,AMBIGUOUS,
78,academy/fundamentals/how-water-balance-works.html,Temperature is a major LSI factor — the same water chemistry at 70°F is less likely to scale than at 100°F.,lsi,70,70,°f,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: lsi does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
78,academy/fundamentals/how-water-balance-works.html,Temperature is a major LSI factor — the same water chemistry at 70°F is less likely to scale than at 100°F.,lsi,100,100,°f,unspecified,IMPOSSIBLE_MAPPING,NOT_EXTRACTED,"Rejected: lsi does not accept a temperature value -- likely extraction noise, not a real claim about this parameter."
