source_file,source_type,parameter,value,unit,context,pool_or_spa,sanitizer,scenario,source_of_value,generator_dependency,claim_or_calculation,review_status
scripts/data/academy-equipment.js,data_module,cyanuric_acid,85,ppm,"body: 'As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit. Review of maintenance records",pool,chlorine,troubleshooting,scripts/data/academy-equipment.js:253,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-equipment.js,data_module,cyanuric_acid,80,ppm,"body: 'As the season winds down, a pool owner discovers their CYA is at 85 ppm — above the 80 ppm upper limit. Review of maintenance records",pool,chlorine,troubleshooting,scripts/data/academy-equipment.js:253,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,3,ppm,"'Free chlorine should be 1–3 ppm for pools and 3–5 ppm for hot tubs.',",hot_tub,chlorine,target_range,scripts/data/academy-fundamentals.js:21,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,5,ppm,"'Free chlorine should be 1–3 ppm for pools and 3–5 ppm for hot tubs.',",hot_tub,chlorine,target_range,scripts/data/academy-fundamentals.js:21,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,ph,120,ppm,"'Total alkalinity between 80 and 120 ppm stabilises pH and prevents rapid swings.',",unspecified,unspecified,target_range,scripts/data/academy-fundamentals.js:23,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,cyanuric_acid,80,ppm,'Cyanuric acid above 80 ppm significantly reduces chlorine effectiveness even when the reading looks correct.',unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:24,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,1,ppm,"body: 'Free chlorine (FC) is the active disinfectant in pool water. It kills bacteria, viruses, and algae by oxidising their cell walls on c",pool,chlorine,safety_guidance,scripts/data/academy-fundamentals.js:30,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,3,ppm,"body: 'Free chlorine (FC) is the active disinfectant in pool water. It kills bacteria, viruses, and algae by oxidising their cell walls on c",pool,chlorine,safety_guidance,scripts/data/academy-fundamentals.js:30,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,120,ppm,"body: 'Total alkalinity (TA) acts as a pH buffer. Without adequate alkalinity (target 80–120 ppm), pH swings wildly with every chemical addi",unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:40,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,50,ppm,"body: 'Total alkalinity (TA) acts as a pH buffer. Without adequate alkalinity (target 80–120 ppm), pH swings wildly with every chemical addi",unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:40,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,80,ppm,"body: 'Total alkalinity (TA) acts as a pH buffer. Without adequate alkalinity (target 80–120 ppm), pH swings wildly with every chemical addi",unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:40,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,3,ppm,"body: 'Total alkalinity (TA) acts as a pH buffer. Without adequate alkalinity (target 80–120 ppm), pH swings wildly with every chemical addi",unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:40,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,0.5,ppm,"body: 'Test shows FC 0.5 ppm, pH 7.8, TA 140 ppm, CYA 60 ppm. Low FC is the immediate problem, but the high pH explains why it depleted so q",unspecified,chlorine,troubleshooting,scripts/data/academy-fundamentals.js:46,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,140,ppm,"body: 'Test shows FC 0.5 ppm, pH 7.8, TA 140 ppm, CYA 60 ppm. Low FC is the immediate problem, but the high pH explains why it depleted so q",unspecified,chlorine,troubleshooting,scripts/data/academy-fundamentals.js:46,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,60,ppm,"body: 'Test shows FC 0.5 ppm, pH 7.8, TA 140 ppm, CYA 60 ppm. Low FC is the immediate problem, but the high pH explains why it depleted so q",unspecified,chlorine,troubleshooting,scripts/data/academy-fundamentals.js:46,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,70,°f,'Temperature is a major LSI factor — the same water chemistry at 70°F is less likely to scale than at 100°F.',unspecified,unspecified,target_range,scripts/data/academy-fundamentals.js:77,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,100,°f,'Temperature is a major LSI factor — the same water chemistry at 70°F is less likely to scale than at 100°F.',unspecified,unspecified,target_range,scripts/data/academy-fundamentals.js:77,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,120,ppm,"body: 'Start by adjusting total alkalinity to 80–120 ppm, which supports stable pH. Then bring pH into the 7.2–7.6 range. Finally, verify ca",pool,unspecified,target_range,scripts/data/academy-fundamentals.js:93,"(data file, no direct generator)",calculation,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,400,ppm,"body: 'Start by adjusting total alkalinity to 80–120 ppm, which supports stable pH. Then bring pH into the 7.2–7.6 range. Finally, verify ca",pool,unspecified,target_range,scripts/data/academy-fundamentals.js:93,"(data file, no direct generator)",calculation,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,250,ppm,"body: 'Start by adjusting total alkalinity to 80–120 ppm, which supports stable pH. Then bring pH into the 7.2–7.6 range. Finally, verify ca",pool,unspecified,target_range,scripts/data/academy-fundamentals.js:93,"(data file, no direct generator)",calculation,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,80,ppm,"body: 'A new plaster pool filled with soft municipal water shows calcium hardness 80 ppm, pH 7.0, TA 60 ppm at 75°F — an LSI of approximatel",pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:99,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,60,ppm,"body: 'A new plaster pool filled with soft municipal water shows calcium hardness 80 ppm, pH 7.0, TA 60 ppm at 75°F — an LSI of approximatel",pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:99,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,75,°f,"body: 'A new plaster pool filled with soft municipal water shows calcium hardness 80 ppm, pH 7.0, TA 60 ppm at 75°F — an LSI of approximatel",pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:99,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,90,ppm,"body: 'A new plaster pool filled with soft municipal water shows calcium hardness 80 ppm, pH 7.0, TA 60 ppm at 75°F — an LSI of approximatel",pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:99,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,250,ppm,"body: 'A new plaster pool filled with soft municipal water shows calcium hardness 80 ppm, pH 7.0, TA 60 ppm at 75°F — an LSI of approximatel",pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:99,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,100,°f,'Ignoring water temperature when using the LSI — a heated spa at 100°F has a significantly higher scaling risk than a pool at 70°F with iden,both,unspecified,target_range,scripts/data/academy-fundamentals.js:104,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,70,°f,'Ignoring water temperature when using the LSI — a heated spa at 100°F has a significantly higher scaling risk than a pool at 70°F with iden,both,unspecified,target_range,scripts/data/academy-fundamentals.js:104,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,3,ppm,"'Free chlorine (1–3 ppm) is the test most directly linked to swimmer health.',",unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:127,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,ph,120,ppm,"'Total alkalinity (80–120 ppm) buffers pH against sudden changes.',",unspecified,unspecified,target_range,scripts/data/academy-fundamentals.js:129,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,calcium_hardness,400,ppm,'Calcium hardness (200–400 ppm for plaster pools) protects pool surfaces and equipment.',pool,unspecified,target_range,scripts/data/academy-fundamentals.js:130,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,3,ppm,body: 'Free chlorine (FC) is the most critical safety test. It measures the chlorine that is actively available to sanitise water. Target ra,hot_tub,chlorine,safety_guidance,scripts/data/academy-fundamentals.js:136,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,5,ppm,body: 'Free chlorine (FC) is the most critical safety test. It measures the chlorine that is actively available to sanitise water. Target ra,hot_tub,chlorine,safety_guidance,scripts/data/academy-fundamentals.js:136,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,1,ppm,body: 'Free chlorine (FC) is the most critical safety test. It measures the chlorine that is actively available to sanitise water. Target ra,hot_tub,chlorine,safety_guidance,scripts/data/academy-fundamentals.js:136,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,5,ppm,body: 'Free chlorine (FC) is the most critical safety test. It measures the chlorine that is actively available to sanitise water. Target ra,hot_tub,chlorine,safety_guidance,scripts/data/academy-fundamentals.js:136,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,ph,120,ppm,body: 'Total alkalinity (80–120 ppm) is tested weekly in new pools or monthly once stable. Alkalinity adjustment is the foundation of pH sta,pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:146,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,400,ppm,body: 'Total alkalinity (80–120 ppm) is tested weekly in new pools or monthly once stable. Alkalinity adjustment is the foundation of pH sta,pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:146,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,250,ppm,body: 'Total alkalinity (80–120 ppm) is tested weekly in new pools or monthly once stable. Alkalinity adjustment is the foundation of pH sta,pool,unspecified,troubleshooting,scripts/data/academy-fundamentals.js:146,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,1,ppm,"body: 'A pool owner runs a full test in July: FC 1.0 ppm, pH 7.7, TA 90 ppm, hardness 280 ppm, CYA 45 ppm. The pH at 7.7 is borderline high ",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:152,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,90,ppm,"body: 'A pool owner runs a full test in July: FC 1.0 ppm, pH 7.7, TA 90 ppm, hardness 280 ppm, CYA 45 ppm. The pH at 7.7 is borderline high ",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:152,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,280,ppm,"body: 'A pool owner runs a full test in July: FC 1.0 ppm, pH 7.7, TA 90 ppm, hardness 280 ppm, CYA 45 ppm. The pH at 7.7 is borderline high ",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:152,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,45,ppm,"body: 'A pool owner runs a full test in July: FC 1.0 ppm, pH 7.7, TA 90 ppm, hardness 280 ppm, CYA 45 ppm. The pH at 7.7 is borderline high ",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:152,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,(unmatched),5,ppm,"'Hot tub chlorine target is 3–5 ppm vs 1–3 ppm for pools, because heat and bather concentration are higher.',",hot_tub,chlorine,target_range,scripts/data/academy-fundamentals.js:180,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,(unmatched),3,ppm,"'Hot tub chlorine target is 3–5 ppm vs 1–3 ppm for pools, because heat and bather concentration are higher.',",hot_tub,chlorine,target_range,scripts/data/academy-fundamentals.js:180,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,(unmatched),0,gallons,"body: 'A small pool holds 10,000–25,000 gallons. A hot tub holds 300–500 gallons. When a single bather enters a hot tub, the effective bathe",both,chlorine,target_range,scripts/data/academy-fundamentals.js:188,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,(unmatched),500,gallons,"body: 'A small pool holds 10,000–25,000 gallons. A hot tub holds 300–500 gallons. When a single bather enters a hot tub, the effective bathe",both,chlorine,target_range,scripts/data/academy-fundamentals.js:188,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,104,°f,"body: 'Hot tub water typically operates at 98–104°F. Higher temperatures speed up all chemical reactions, including chlorine consumption, sc",both,chlorine,target_range,scripts/data/academy-fundamentals.js:193,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,80,°f,"body: 'Hot tub water typically operates at 98–104°F. Higher temperatures speed up all chemical reactions, including chlorine consumption, sc",both,chlorine,target_range,scripts/data/academy-fundamentals.js:193,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,100,°f,"body: 'Hot tub water typically operates at 98–104°F. Higher temperatures speed up all chemical reactions, including chlorine consumption, sc",both,chlorine,target_range,scripts/data/academy-fundamentals.js:193,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,5,ppm,body: 'Hot tub target ranges are narrower than pool ranges because less margin for error exists in a small volume. Free chlorine: 3–5 ppm (v,both,chlorine,target_range,scripts/data/academy-fundamentals.js:198,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,120,ppm,body: 'Hot tub target ranges are narrower than pool ranges because less margin for error exists in a small volume. Free chlorine: 3–5 ppm (v,both,chlorine,target_range,scripts/data/academy-fundamentals.js:198,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,250,ppm,body: 'Hot tub target ranges are narrower than pool ranges because less margin for error exists in a small volume. Free chlorine: 3–5 ppm (v,both,chlorine,target_range,scripts/data/academy-fundamentals.js:198,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,10,oz,"body: 'If a calculator says to add 10 oz of liquid chlorine to a 10,000-gallon pool to raise FC by 1 ppm, how much does a 400-gallon hot tub",both,chlorine,target_range,scripts/data/academy-fundamentals.js:204,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,1,ppm,"body: 'If a calculator says to add 10 oz of liquid chlorine to a 10,000-gallon pool to raise FC by 1 ppm, how much does a 400-gallon hot tub",both,chlorine,target_range,scripts/data/academy-fundamentals.js:204,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,10,oz,"body: 'If a calculator says to add 10 oz of liquid chlorine to a 10,000-gallon pool to raise FC by 1 ppm, how much does a 400-gallon hot tub",both,chlorine,target_range,scripts/data/academy-fundamentals.js:204,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,0.4,oz,"body: 'If a calculator says to add 10 oz of liquid chlorine to a 10,000-gallon pool to raise FC by 1 ppm, how much does a 400-gallon hot tub",both,chlorine,target_range,scripts/data/academy-fundamentals.js:204,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,10,°f,"'Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F.',",unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:231,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,80,°f,"'Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F.',",unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:231,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,70,°f,"'The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.',",unspecified,unspecified,target_range,scripts/data/academy-fundamentals.js:233,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,water_temperature,90,°f,"'The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.',",unspecified,unspecified,target_range,scripts/data/academy-fundamentals.js:233,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,3,ppm,"body: 'Chlorine breaks down faster at higher temperatures. The rate of UV degradation increases, and the rate of reaction with organic conta",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:240,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,72,°f,"body: 'Chlorine breaks down faster at higher temperatures. The rate of UV degradation increases, and the rate of reaction with organic conta",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:240,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,1.5,ppm,"body: 'Chlorine breaks down faster at higher temperatures. The rate of UV degradation increases, and the rate of reaction with organic conta",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:240,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,85,°f,"body: 'Chlorine breaks down faster at higher temperatures. The rate of UV degradation increases, and the rate of reaction with organic conta",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:240,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,68,°f,body: 'Temperature is a significant variable in the Langelier Saturation Index formula. Water with an LSI of -0.1 at 68°F (well-balanced) ma,hot_tub,unspecified,target_range,scripts/data/academy-fundamentals.js:250,"(data file, no direct generator)",calculation,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,90,°f,body: 'Temperature is a significant variable in the Langelier Saturation Index formula. Water with an LSI of -0.1 at 68°F (well-balanced) ma,hot_tub,unspecified,target_range,scripts/data/academy-fundamentals.js:250,"(data file, no direct generator)",calculation,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,65,°f,"body: 'A pool is opened in April at 65°F water temperature with balanced chemistry (LSI -0.1). By July, the water is 88°F. Without any other",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:256,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,88,°f,"body: 'A pool is opened in April at 65°F water temperature with balanced chemistry (LSI -0.1). By July, the water is 88°F. Without any other",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:256,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,ph,3,ppm,body: 'Crystal-clear water can still be unsafe. Bacterial contamination sufficient to cause illness is invisible. Combined chlorine (chloram,unspecified,chlorine,target_range,scripts/data/academy-fundamentals.js:297,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,0.8,ppm,"body: 'A pool owner tests on Monday and finds FC at 0.8 ppm — below the 1.0 ppm minimum. They add chlorine that evening. On Thursday, the te",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:308,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-fundamentals.js,data_module,free_chlorine,1,ppm,"body: 'A pool owner tests on Monday and finds FC at 0.8 ppm — below the 1.0 ppm minimum. They add chlorine that evening. On Thursday, the te",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:308,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,2.5,ppm,"body: 'A pool owner tests on Monday and finds FC at 0.8 ppm — below the 1.0 ppm minimum. They add chlorine that evening. On Thursday, the te",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:308,"(data file, no direct generator)",claim,CONTEXTUAL
scripts/data/academy-fundamentals.js,data_module,free_chlorine,0.8,ppm,"body: 'A pool owner tests on Monday and finds FC at 0.8 ppm — below the 1.0 ppm minimum. They add chlorine that evening. On Thursday, the te",pool,chlorine,target_range,scripts/data/academy-fundamentals.js:308,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-hot-tubs.js,data_module,ph,3,ppm,"body: 'Before entering the hot tub, spend 60 seconds testing free chlorine and pH. Free chlorine should be at least 3 ppm. pH should be betw",hot_tub,chlorine,target_range,scripts/data/academy-hot-tubs.js:29,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-hot-tubs.js,data_module,ph,2,ppm,"body: 'Before entering the hot tub, spend 60 seconds testing free chlorine and pH. Free chlorine should be at least 3 ppm. pH should be betw",hot_tub,chlorine,target_range,scripts/data/academy-hot-tubs.js:29,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-hot-tubs.js,data_module,ph,3,ppm,"body: 'Thursday evening, 7pm: open the cover and lift the test strips. FC reads 3 ppm (good). pH reads 7.5 (good). No adjustment needed. Ent",hot_tub,chlorine,target_range,scripts/data/academy-hot-tubs.js:45,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-hot-tubs.js,data_module,ph,5,ppm,"body: 'Once per week, test all four core parameters: free chlorine, pH, total alkalinity, and calcium hardness. In hot tubs, alkalinity tend",hot_tub,chlorine,target_range,scripts/data/academy-hot-tubs.js:81,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-hot-tubs.js,data_module,ph,120,ppm,"body: 'Once per week, test all four core parameters: free chlorine, pH, total alkalinity, and calcium hardness. In hot tubs, alkalinity tend",hot_tub,chlorine,target_range,scripts/data/academy-hot-tubs.js:81,"(data file, no direct generator)",claim,REQUIRES_REVIEW
scripts/data/academy-hot-tubs.js,data_module,ph,250,ppm,"body: 'Once per week, test all four core parameters: free chlorine, pH, total alkalinity, and calcium hardness. In hot tubs, alkalinity tend",hot_tub,chlorine,target_range,scripts/data/academy-hot-tubs.js:81,"(data file, no direct generator)",claim,REQUIRES_REVIEW
