parameter,context_a,range_a,context_b,range_b,relationship,status,explanation
calcium_hardness,pool/unspecified/target_range,range-ch-public-pool-standard [150-1000 ppm],pool/unspecified/target_range,range-ch-residential-practical [200-400 ppm],"same context, overlapping ranges",CONSISTENT_CONTEXT_DIFFERENCE,Ranges overlap (e.g. a narrower practical target nested inside a wider acceptable standard) -- not a conflict.
cyanuric_acid,pool/chlorine/treatment,range-cya-public-pool-incident-response-max [0-15 ppm],pool/chlorine/routine_maintenance,range-cya-residential-routine-outdoor [30-50 ppm],different scenario (treatment vs routine_maintenance),CONSISTENT_CONTEXT_DIFFERENCE,Routine maintenance targets and treatment/incident-response thresholds serve different purposes and are not comparable as if both were routine targets.
cyanuric_acid,pool/chlorine/treatment,range-cya-public-pool-incident-response-max [0-15 ppm],pool/saltwater_chlorine_generator/routine_maintenance,range-cya-saltwater-outdoor [60-80 ppm],different sanitizer (chlorine vs saltwater_chlorine_generator),CONSISTENT_CONTEXT_DIFFERENCE,Different sanitizer chemistries are not directly comparable on the same numeric scale/target.
cyanuric_acid,pool/chlorine/treatment,range-cya-public-pool-incident-response-max [0-15 ppm],hot_tub/chlorine/routine_maintenance,range-cya-hottub [0-0 ppm],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
cyanuric_acid,pool/chlorine/routine_maintenance,range-cya-residential-routine-outdoor [30-50 ppm],pool/saltwater_chlorine_generator/routine_maintenance,range-cya-saltwater-outdoor [60-80 ppm],different sanitizer (chlorine vs saltwater_chlorine_generator),CONSISTENT_CONTEXT_DIFFERENCE,Different sanitizer chemistries are not directly comparable on the same numeric scale/target.
cyanuric_acid,pool/chlorine/routine_maintenance,range-cya-residential-routine-outdoor [30-50 ppm],hot_tub/chlorine/routine_maintenance,range-cya-hottub [0-0 ppm],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
cyanuric_acid,pool/saltwater_chlorine_generator/routine_maintenance,range-cya-saltwater-outdoor [60-80 ppm],hot_tub/chlorine/routine_maintenance,range-cya-hottub [0-0 ppm],different environment (pool vs hot_tub),CONSISTENT_CONTEXT_DIFFERENCE,"Different environments legitimately carry different targets (e.g. hot tubs run hotter, smaller volume, higher bather load per gallon)."
salt,pool/saltwater_chlorine_generator/target_range,range-salt-generic-operating [2700-3400 ppm],pool/saltwater_chlorine_generator/target_range,range-salt-pentair [3200-3800 ppm],"same context, overlapping ranges",CONSISTENT_CONTEXT_DIFFERENCE,Ranges overlap (e.g. a narrower practical target nested inside a wider acceptable standard) -- not a conflict.
salt,pool/saltwater_chlorine_generator/target_range,range-salt-generic-operating [2700-3400 ppm],pool/saltwater_chlorine_generator/target_range,range-salt-autopilot [3600-4400 ppm],"same context, different manufacturer/equipment target",CONSISTENT_CONTEXT_DIFFERENCE,Different salt-chlorine-generator manufacturers specify different equipment-level operating targets; both are legitimate for their respective equipment.
salt,pool/saltwater_chlorine_generator/target_range,range-salt-pentair [3200-3800 ppm],pool/saltwater_chlorine_generator/target_range,range-salt-autopilot [3600-4400 ppm],"same context, overlapping ranges",CONSISTENT_CONTEXT_DIFFERENCE,Ranges overlap (e.g. a narrower practical target nested inside a wider acceptable standard) -- not a conflict.
shock_treatment,pool/chlorine/shock,range-shock-breakpoint-rule-of-thumb [?-? multiplier_of_combined_chlorine],pool/chlorine/treatment,range-shock-cdc-fecal-incident-response [20-20 ppm],different scenario (shock vs treatment),CONSISTENT_CONTEXT_DIFFERENCE,Routine maintenance targets and treatment/incident-response thresholds serve different purposes and are not comparable as if both were routine targets.
