claim_index,url,claim,parameter,context,range_id,source_ids,status,action_required
27,academy/equipment/pool-pumps.html,Variable speed pumps reduce energy consumption by 65–80% compared to single-speed pumps.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
28,academy/equipment/pool-pumps.html,"A pool that achieves only one turnover per day in hot summer weather may not maintain adequate water quality — dead algae, fine particles, and chlorine by-products accumulate faster than the filter can clear them.",algae,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
29,academy/equipment/pool-pumps.html,Increasing to two turnovers per day (by extending pump run time or increasing speed) is a common recommendation during peak swimming season or after an algae event.,algae,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
30,academy/equipment/pool-pumps.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Turnover Rate Calculator Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris…",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
31,academy/equipment/pool-pumps.html,"Salt Chlorinator Systems Salt chlorinators generate chlorine automatically from dissolved salt, reducing the need for regular chlorine additions.",salt,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
32,academy/equipment/pool-skimmers.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Skimmers Work Correct Water Level Skimmer Maintenance Examples Common Mistakes Calculators Pool Volume Calculator Equipment 4 min read Updated 2026-06-01 Pool Sk…,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
33,academy/equipment/pool-skimmers.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Pumps: Sizing and Turnover The pool pump determines how much water passes through the filter each day.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
34,academy/equipment/pool-skimmers.html,"Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",algae,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
35,academy/equipment/pool-skimmers.html,Cloudy Pool Water: Causes and Solutions Cloudy water has four distinct causes — each with a different solution.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
36,academy/equipment/salt-systems.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts How Salt Systems Work Water Chemistry for Salt Pools Salt Cell Maintenance Examples Common Mistakes Calculators Saltwater Pool Salt Calculator Equipment 6 min read U…,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
37,academy/equipment/salt-systems.html,Key Facts Examples Calculator Related Salt water pool systems (also called salt chlorinator or salt generator systems) produce chlorine continuously by electrolyzing dissolved salt in the pool water.,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
38,academy/equipment/salt-systems.html,"Key Facts Target salt level for most systems: 2,700–3,400 ppm — far lower than ocean water (35,000 ppm).",salt,unspecified_env/saltwater_chlorine_generator,,,REQUIRES_REVIEW,"Numeric value (700-3) does not overlap any canonical range for salt in this context (closest candidates: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot) -- flag for the consistency matrix as a possible contradiction candidate."
39,academy/equipment/salt-systems.html,"Salt pools still require pH, alkalinity, and hardness management — the system only manages chlorine.",ph,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
40,academy/equipment/salt-systems.html,Salt cells accumulate calcium scale and require cleaning every 3 months on average.,salt,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
41,academy/equipment/salt-systems.html,CYA of 60–80 ppm is needed for salt pool outdoor use to protect the generated chlorine from UV.,cyanuric_acid,pool/saltwater_chlorine_generator,range-cya-saltwater-outdoor,,REQUIRES_REVIEW,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
42,academy/equipment/salt-systems.html,How Salt Systems Work A salt chlorinator passes pool water across a titanium cell coated with precious metal oxides (the salt cell).,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
43,academy/equipment/salt-systems.html,The salt is not consumed at a significant rate.,salt,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
44,academy/equipment/salt-systems.html,"Water Chemistry for Salt Pools Salt pools require the same core chemistry management as chlorine pools with one difference: the salt chlorinator generates chlorine continuously at a set rate, so you do not add liquid chlorine or tablets (in most cases).",salt,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
45,academy/equipment/salt-systems.html,"What you must still manage: pH (6.8–7.6; salt generators raise pH as a by-product of the electrolysis process, so pH tends to drift up and requires more acid additions than a traditional chlorine pool), alkalinity (80–120 ppm), calcium hardness (200–400 ppm for plaster — very important because low h…",ph,pool/saltwater_chlorine_generator,,,REQUIRES_REVIEW,No canonical range exists yet for ph in context pool/saltwater_chlorine_generator; needs dedicated research in a future phase.
46,academy/equipment/salt-systems.html,"Salt Cell Maintenance The salt cell deposits calcium scale on its titanium plates over time, reducing chlorine generation efficiency.",salt,unspecified_env/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
47,academy/equipment/salt-systems.html,Examples Seasonal Salt Level Check Opening a salt pool in spring: test salt level using the handheld salt test strip or the controller reading.,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
48,academy/equipment/salt-systems.html,"Salt reads 2,400 ppm — slightly below the 2,700 ppm minimum for the system.",salt,unspecified_env/saltwater_chlorine_generator,,,REQUIRES_REVIEW,"Numeric value (400-400) does not overlap any canonical range for salt in this context (closest candidates: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot) -- flag for the consistency matrix as a possible contradiction candidate."
49,academy/equipment/salt-systems.html,"Add approximately 40 lbs of sodium chloride (pool grade) to a 15,000-gallon pool to raise salt by 300 ppm.",salt,pool/saltwater_chlorine_generator,,,REQUIRES_REVIEW,"Numeric value (300-300) does not overlap any canonical range for salt in this context (closest candidates: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot) -- flag for the consistency matrix as a possible contradiction candidate."
50,academy/equipment/salt-systems.html,"Retest — salt now at 2,750 ppm.",salt,unspecified_env/saltwater_chlorine_generator,,,REQUIRES_REVIEW,"Numeric value (750-750) does not overlap any canonical range for salt in this context (closest candidates: range-salt-generic-operating, range-salt-pentair, range-salt-autopilot) -- flag for the consistency matrix as a possible contradiction candidate."
51,academy/equipment/sand-vs-cartridge-filters.html,Cartridge Filters Pool Pumps: Sizing and Turnover Salt Chlorinator Systems Automatic Chlorinators Pool Skimmers On This Page Key Facts Sand Filters Cartridge Filters Which to Choose Examples Common Mistakes Calculators Pool Volume Calculator Equipment 5 min read Updated 2026-06-01 Sand Filters vs.,salt,pool/saltwater_chlorine_generator,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
52,academy/equipment/sand-vs-cartridge-filters.html,"Their main limitation is filtration fineness — they capture particles 20–40 microns and above, which means fine particles (including some dead algae and fine dust) pass through.",algae,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
53,academy/equipment/sand-vs-cartridge-filters.html,"Over a 30-week season, that is 6–10 backwashes, totalling 900–2,000 gallons of water wasted to drain.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
54,academy/equipment/sand-vs-cartridge-filters.html,"Not replacing filter sand after 7+ years, by which time the grains have worn smooth and no longer effectively capture fine particles.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
55,academy/equipment/sand-vs-cartridge-filters.html,"Sources: Pool & Hot Tub Alliance — Pool & Spa Operator Handbook, 2022 Related Calculators & Resources Pool Volume Calculator Pool Maintenance Checklist Related Topics Pool Filters: How They Work The pool filter is the primary mechanical barrier against particles, debris, and dead algae.",algae,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
56,academy/fundamentals/how-temperature-changes-water-chemistry.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Chlorine Depletion in Warm Water Temperature and pH Drift LSI Shifts with Temperature Examples Common Mistakes Calculators Chemical Calculator Pool Chlorine Calculator Fundamentals 5 min read U…,ph,unspecified_env/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
57,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Examples Calculator Related Water temperature affects almost every aspect of pool chemistry.,water_temperature,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
58,academy/fundamentals/how-temperature-changes-water-chemistry.html,"As temperature rises, chemical reactions accelerate, scaling risk increases, and the same chemical dose that worked in spring may not be enough in midsummer.",water_temperature,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
59,academy/fundamentals/how-temperature-changes-water-chemistry.html,Key Facts Chlorine demand roughly doubles for every 10°F rise in water temperature above 80°F. pH tends to rise in warm water as carbon dioxide escapes more easily from the surface.,ph,unspecified_env/chlorine,,,REQUIRES_REVIEW,"Numeric value (10-10) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine) -- flag for the consistency matrix as a possible contradiction candidate."
60,academy/fundamentals/how-temperature-changes-water-chemistry.html,The LSI increases with temperature — water balanced at 70°F may begin scaling at 90°F.,water_temperature,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,No canonical range exists yet for water_temperature in context unspecified_env/unspecified_sanitizer; needs dedicated research in a future phase.
61,academy/fundamentals/how-temperature-changes-water-chemistry.html,Seasonal temperature changes are the most common reason for mid-summer chemistry problems.,water_temperature,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
62,academy/fundamentals/how-temperature-changes-water-chemistry.html,Chlorine Depletion in Warm Water Chlorine breaks down faster at higher temperatures.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
63,academy/fundamentals/how-temperature-changes-water-chemistry.html,A pool that maintains 3 ppm FC comfortably at 72°F in April may struggle to hold 1.5 ppm at 85°F in July with the same dosing routine.,free_chlorine,pool/unspecified_sanitizer,range-fc-pool-chlorine-no-cya,,CONTEXTUAL,"Falls within a canonical range record, but that record itself is not yet source-backed (see chemistry-ranges.js status) -- treat as a plausible industry figure pending confirmation."
64,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Temperature and pH Drift As water warms, carbon dioxide escapes from solution more readily.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
65,academy/fundamentals/how-temperature-changes-water-chemistry.html,"CO2 is naturally acidic, so when it leaves, pH rises.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
66,academy/fundamentals/how-temperature-changes-water-chemistry.html,"This is why pool pH tends to be higher in summer and why pools with waterfalls, fountains, or high-speed jets see faster pH rise — all of those features accelerate CO2 off-gassing.",ph,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
67,academy/fundamentals/how-temperature-changes-water-chemistry.html,Increase the frequency of pH testing from weekly to every two to three days during summer.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
68,academy/fundamentals/how-temperature-changes-water-chemistry.html,LSI Shifts with Temperature Temperature is a significant variable in the Langelier Saturation Index formula.,water_temperature,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
69,academy/fundamentals/how-temperature-changes-water-chemistry.html,"Water with an LSI of -0.1 at 68°F (well-balanced) may have an LSI of +0.4 at 90°F (beginning to scale) with identical pH, hardness, and alkalinity.",ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (68-68) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
70,academy/fundamentals/how-temperature-changes-water-chemistry.html,This is especially important for hot tubs and heated pools.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
71,academy/fundamentals/how-water-balance-works.html,Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Aggressive vs.,water_temperature,hot_tub/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
72,academy/fundamentals/how-water-balance-works.html,Scaling Water The Langelier Saturation Index Balancing in Practice Examples Common Mistakes Calculators Chemical Calculator Pool Alkalinity Calculator Fundamentals 6 min read Updated 2026-06-01 How Water Balance Works v2026.07 Balanced water neither corrodes surfaces nor deposits scale.,total_alkalinity,pool/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
73,academy/fundamentals/how-water-balance-works.html,This guide explains the Langelier Saturation Index and how to adjust your chemistry to stay in range.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
74,academy/fundamentals/how-water-balance-works.html,The Langelier Saturation Index measures this on a single scale.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
75,academy/fundamentals/how-water-balance-works.html,Key Facts An LSI of 0.0 is perfect balance; the industry target range is -0.3 to +0.3.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
76,academy/fundamentals/how-water-balance-works.html,"Aggressive water (LSI below -0.3) attacks plaster, grout, metal fittings, and pump impellers.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
77,academy/fundamentals/how-water-balance-works.html,"Scaling water (LSI above +0.3) deposits calcium on heater elements, pipes, and pool surfaces.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
78,academy/fundamentals/how-water-balance-works.html,Temperature is a major LSI factor — the same water chemistry at 70°F is less likely to scale than at 100°F.,water_temperature,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,No canonical range exists yet for water_temperature in context unspecified_env/unspecified_sanitizer; needs dedicated research in a future phase.
79,academy/fundamentals/how-water-balance-works.html,"The Langelier Saturation Index The LSI is a calculated value that accounts for pH, temperature, calcium hardness, total alkalinity, and total dissolved solids.",ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
80,academy/fundamentals/how-water-balance-works.html,A negative LSI means the water is under-saturated with calcium carbonate and will act aggressively.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
81,academy/fundamentals/how-water-balance-works.html,A positive LSI means the water is over-saturated and will deposit scale.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
82,academy/fundamentals/how-water-balance-works.html,Most pool chemistry references target an LSI between -0.3 and +0.3.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
83,academy/fundamentals/how-water-balance-works.html,Use the LSI Calculator on this site to calculate your current index and see which parameters to adjust.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
84,academy/fundamentals/how-water-balance-works.html,"Balancing in Practice Start by adjusting total alkalinity to 80–120 ppm, which supports stable pH.",ph,unspecified_env/unspecified_sanitizer,,,REQUIRES_REVIEW,"Numeric value (80-120) does not overlap any canonical range for ph in this context (closest candidates: range-ph-pool-chlorine-routine, range-ph-hottub-chlorine-routine, range-ph-hottub-bromine-routine, range-ph-pool-narrow-operational) -- flag for the consistency matrix as a possible contradiction candidate."
85,academy/fundamentals/how-water-balance-works.html,Then bring pH into the 7.2–7.6 range.,ph,unspecified_env/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
86,academy/fundamentals/index.html,"This guide explains the Langelier Saturation Index and how to adjust your chemistry to stay in range. 6 min read The Four Core Water Tests Free chlorine, pH, total alkalinity, and calcium hardness are the four tests that tell you everything you need to know about your pool water safety. 5 min read P…",ph,pool/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
87,academy/fundamentals/index.html,"Hot Tub Chemistry Hot tubs use the same chemistry as pools but with tighter ranges, smaller margins, and much faster chemical depletion due to heat, jets, and small volume. 5 min read How Temperature Changes Water Chemistry Higher water temperature speeds up chlorine consumption, shifts pH upward, a…",ph,hot_tub/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
88,academy/fundamentals/pool-vs-hot-tub-chemistry.html,"Hot Tub Chemistry How Temperature Changes Water Chemistry Why Water Testing Matters On This Page Key Facts Volume, Dilution, and Concentration Temperature and Chemical Reactions Different Target Ranges Examples Common Mistakes Calculators Hot Tub Chlorine Calculator Hot Tub Ph Calculator Spa Volume …",ph,hot_tub/chlorine,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
89,academy/fundamentals/pool-vs-hot-tub-chemistry.html,"Hot Tub Chemistry v2026.07 Hot tubs use the same chemistry as pools but with tighter ranges, smaller margins, and much faster chemical depletion due to heat, jets, and small volume.",(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
90,academy/fundamentals/pool-vs-hot-tub-chemistry.html,Key Facts Examples Calculator Related Pool and hot tub water chemistry follow identical principles but very different numbers.,(none),unmatched,,,AMBIGUOUS,Non-chemistry or unmatched editorial content; no parameter-level classification applies.
91,academy/fundamentals/pool-vs-hot-tub-chemistry.html,"Smaller volume, higher temperature, and jet aeration create a much more demanding chemical environment in a spa.",water_temperature,hot_tub/unspecified_sanitizer,,,AMBIGUOUS,References a chemistry parameter but contains no numeric range to check against a canonical value; requires editorial (not numeric) review.
