entity_id,slug,page_url,longDescription,description_length,claim_count,chemistry_claim_count,non_chemistry_claim_count,sourceOrganizations,existing_claim_family,existing_source_registry_ids,review_status
"manganese","manganese","https://waterbalancetools.com/entities/manganese","Manganese enters pool water through well water or certain fill water sources. Like iron, it stains pool surfaces when oxidized — manganese stains are typically black or dark brown/purple rather than the rust-red of iron. Metal sequestrants hold manganese in solution to prevent precipitation. Testing with a metal test kit distinguishes manganese from other staining causes. Thorough filtration after sequestrant treatment gradually removes manganese from the water.","466","5","3","2","","","","PHASE_7J_AUDITED"
"hydrogen-peroxide","hydrogen-peroxide","https://waterbalancetools.com/entities/hydrogen-peroxide","Hydrogen peroxide (H₂O₂) is used as an oxidizer in biguanide (polyhexamethylene biguanide, or PHMB) pool systems, which use hydrogen peroxide rather than chlorine for sanitization. In chlorine pools, hydrogen peroxide can be used to rapidly reduce excess chlorine in emergencies, but the two chemicals react violently if mixed in concentrated form — always add to pool water separately, never mix directly. Hydrogen peroxide-based systems require dedicated equipment and are incompatible with chlorine.","502","3","3","0","","","","PHASE_7J_AUDITED"
"ozone","ozone","https://waterbalancetools.com/entities/ozone","Ozone (O₃) is a powerful oxidizing agent generated on-site by UV lamps or corona discharge generators and injected into pool return water. It rapidly destroys organic compounds, chloramines, and pathogens. Because ozone dissipates quickly (it does not accumulate in pool water), it must always be used alongside a residual sanitizer — typically free chlorine at reduced levels. Ozone does not replace chlorine; it reduces the chlorine demand and helps maintain water clarity and quality with less total chemical use.","516","4","2","2","phta;nsf","","","PHASE_7J_AUDITED"
"biguanide","biguanide","https://waterbalancetools.com/entities/biguanide","Biguanide (sold as Baquacil, SoftSwim, and similar brands) is a chlorine-free pool sanitization system using polyhexamethylene biguanide (PHMB) as the sanitizer and hydrogen peroxide as the oxidizer. It does not interact with CYA, pH resistance is broader, and it does not bleach surfaces or swimwear. However, biguanide is incompatible with chlorine — switching between systems requires a complete water change. It is more expensive than chlorine and some users experience algae resistance issues. Not recommended for hot tubs.","528","5","4","1","","","","PHASE_7J_AUDITED"
"ph","ph","https://waterbalancetools.com/entities/ph","pH is the scale from 0 to 14 measuring how acidic or alkaline pool water is. A pH of 7.0 is neutral; below 7.0 is acidic; above 7.0 is alkaline. Pool water should be maintained between 7.2 and 7.6. Below 7.2, water is corrosive — it irritates eyes and skin and attacks surfaces and equipment. Above 7.8, chlorine effectiveness drops dramatically (at pH 8.0 only 22% of chlorine is active vs. 67% at pH 7.2) and scale forms. pH is affected by every chemical addition and by CO₂ off-gassing.","489","7","7","0","phta;taylor-technologies","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","PHASE_7J_AUDITED"
"orp","orp","https://waterbalancetools.com/entities/orp","Oxidation-Reduction Potential (ORP) measures the water's ability to oxidize or sanitize — expressed in millivolts (mV). A higher ORP indicates greater sanitizing capacity. Unlike ppm-based chlorine testing, ORP directly measures chlorine's effectiveness considering both concentration and pH. The World Health Organization and many public health authorities specify a minimum ORP of 650 mV for swimming pools. ORP sensors are used in automated chemical control systems to maintain consistent sanitizing capacity regardless of bather load variations.","549","5","4","1","phta;cdc","","","PHASE_7J_AUDITED"
"temperature","temperature","https://waterbalancetools.com/entities/temperature","Water temperature directly affects pool and spa water chemistry. Higher temperatures accelerate chlorine demand (halving with every 10°C/18°F drop), shift pH upward, increase scaling tendency (higher LSI), and increase CO₂ off-gassing. For hot tubs, temperature is also a primary safety parameter — temperatures above 104°F can cause hyperthermia. For the LSI calculation, water temperature is a required input since calcium carbonate solubility decreases with rising temperature.","480","4","3","1","phta;cdc","","","PHASE_7J_AUDITED"
"alkalinity","alkalinity","https://waterbalancetools.com/entities/alkalinity","Total alkalinity (TA) measures the concentration of alkaline compounds — primarily bicarbonates, carbonates, and hydroxides — dissolved in pool water. It acts as a pH buffer, resisting pH swings caused by additions of acid, base, or CO₂. Low TA causes pH to swing wildly with minor chemical additions (pH bounce). High TA makes pH very difficult to lower and increases scaling tendency. Total alkalinity must be adjusted before pH — it determines how much chemical is needed for a given pH change.","497","5","5","0","phta;taylor-technologies","","","PHASE_7J_AUDITED"
"lsi","lsi","https://waterbalancetools.com/entities/lsi","The Langelier Saturation Index (LSI) is a mathematical model that combines pH, temperature, calcium hardness, total alkalinity, and TDS into a single balance score. A score of 0 means water is perfectly balanced for calcium carbonate. Negative values (below −0.3) indicate corrosive water. Positive values (above +0.5) indicate scale-forming water. The LSI is the final quality check in the water balancing process — if all individual parameters are in range but the LSI is out of range, the combination still needs adjustment.","527","5","4","1","phta;taylor-technologies","","","PHASE_7J_AUDITED"
"gallons","gallons","https://waterbalancetools.com/entities/gallons","The US gallon (approximately 3.785 liters) is the standard unit for measuring pool volume in North America. All chemical dose calculations for pools require an accurate volume in gallons. Volume is calculated using length × width × average depth × 7.48 (gallons per cubic foot) for rectangular pools, with shape correction factors for other pool shapes. A 10% error in pool volume produces a 10% error in every chemical dose calculated.","436","4","4","0","","","","PHASE_7J_AUDITED"
"liters","liters","https://waterbalancetools.com/entities/liters","The liter is the SI unit of volume used in metric countries for pool measurements. One US gallon equals approximately 3.785 liters. While calculators on this site use US gallons as the primary unit, all conversions to and from liters are supported. Chemical doses calculated in metric units (grams per liter, or mg/L for ppm equivalents) are consistent with the same chemistry but expressed in metric terms.","407","4","3","1","","","","PHASE_7J_AUDITED"
"ppm","ppm","https://waterbalancetools.com/entities/ppm","Parts per million (ppm) is the standard unit of concentration for pool chemistry parameters including free chlorine, alkalinity, calcium hardness, cyanuric acid, and TDS. 1 ppm equals 1 milligram per liter (mg/L) in aqueous solution. Most pool test kits and digital testers report results in ppm. The relationship between ppm and actual chemical dose is direct: 1 ppm in a 10,000-gallon pool corresponds to 8.34 mg of the substance dissolved in the water.","455","4","4","0","","","","PHASE_7J_AUDITED"
"flow-rate","flow-rate","https://waterbalancetools.com/entities/flow-rate","Flow rate is measured in gallons per minute (GPM) and represents how much water the pump circulates through the filtration system. The required flow rate for adequate filtration is calculated from pool volume divided by the target turnover time. Pump flow rate in real systems is lower than the rated maximum because of pipe resistance, filter restriction, and other head pressure losses. Variable speed pumps can be programmed to run at different flow rates at different times of day, reducing energy consumption while maintaining adequate filtration.","552","4","2","2","phta","","","PHASE_7J_AUDITED"
"turnover-time","turnover-time","https://waterbalancetools.com/entities/turnover-time","Turnover time is the number of hours required for the pump to move the full pool volume through the filtration system. It is calculated as pool volume divided by pump flow rate. PHTA recommends a maximum turnover time of 8 hours for residential pools (one complete turnover in 8 hours or less). Shorter turnover times indicate better filtration — most high-quality pools achieve 6-hour or less turnovers. Hot tub turnover is faster due to smaller volume; the target is typically 2–4 turnovers per day.","501","5","1","4","phta","","","PHASE_7J_AUDITED"
"pump","pump","https://waterbalancetools.com/entities/pump","The pool pump is the heart of the pool circulation system. It draws water from skimmers and main drains, forces it through the filter, heater, and chemical feeders, then returns it through jets. Pump sizing is based on the required GPM for the target turnover time. Single-speed pumps run at one fixed RPM; variable-speed pumps (VSP) can be programmed to run at different speeds, reducing energy consumption by up to 80% compared to single-speed models. VSPs are now required by energy codes in many jurisdictions.","514","5","3","2","phta","","","PHASE_7J_AUDITED"
"sand-filter","sand-filter","https://waterbalancetools.com/entities/sand-filter","Sand filters use a bed of specially graded silica sand (#20 grade) to capture suspended particles. Water flows down through the sand, which traps debris, algae, and fine particles. When the filter pressure increases 8–10 psi above the clean baseline, the filter needs backwashing — reversing the flow to flush trapped material to waste. Sand should be replaced every 5–7 years. Sand filters have the coarsest filtration (20–40 microns) of the three main filter types but are the lowest maintenance.","498","5","3","2","phta","","","PHASE_7J_AUDITED"
"cartridge-filter","cartridge-filter","https://waterbalancetools.com/entities/cartridge-filter","Cartridge filters use pleated polyester fabric cartridges to filter pool water. They provide finer filtration than sand (10–15 microns) without requiring backwashing — only periodic cartridge removal, rinsing with a hose, and occasional overnight soaking in cartridge cleaning solution. Cartridges should be replaced every 12–18 months. They are well suited to areas with water restrictions because they do not require backwash water. Flow resistance is higher than sand filters of the same size, which may require a larger pump.","529","5","3","2","phta","","","PHASE_7J_AUDITED"
"de-filter","de-filter","https://waterbalancetools.com/entities/de-filter","Diatomaceous earth (DE) filters use a fine powder made from fossilized diatoms (microscopic algae) as the filter media. The DE powder coats internal grids or fingers, providing the finest filtration of any pool filter type — down to 3–5 microns. This makes DE filters excellent for pools requiring crystal-clear water. Maintenance involves backwashing (which removes the used DE) followed by adding fresh DE through the skimmer. DE must be handled carefully as fine particles can be an inhalation hazard. Internal grids require annual cleaning and periodic inspection.","568","6","4","2","phta","","","PHASE_7J_AUDITED"
"skimmer","skimmer","https://waterbalancetools.com/entities/skimmer","Pool skimmers are built into the pool wall at the water line. They use a weir (floating flap) to create a surface current that draws floating leaves, insects, sunscreen, and debris into a basket before the debris sinks to the pool floor. Most residential pools have one to three skimmers depending on size. The skimmer basket should be checked and emptied regularly — a clogged basket restricts pump flow. Never add granular shock directly to the skimmer; it can damage equipment. Skimmers also contain a suction port used during pool vacuuming.","545","6","4","2","phta","","","PHASE_7J_AUDITED"
"heater","heater","https://waterbalancetools.com/entities/heater","Pool heaters come in three main types: gas heaters (natural gas or propane), electric heat pumps, and solar systems. Gas heaters heat water rapidly but have higher operating costs. Heat pumps are more energy-efficient in warm climates but heat slowly. Solar systems have no operating cost but depend on sun availability and add time to the system. All heater types affect pool chemistry: higher water temperatures increase chlorine demand, pH rise, and LSI scaling tendency. Heater bypasses allow chemistry adjustment at lower temperatures to extend equipment life.","565","6","3","3","","","","PHASE_7J_AUDITED"
"salt-chlorinator","salt-chlorinator","https://waterbalancetools.com/entities/salt-chlorinator","A salt chlorinator (also called a saltwater generator or SWCG) uses electrolysis to convert sodium chloride dissolved in pool water into hypochlorous acid — the same active disinfectant as manually added chlorine. The cell consists of titanium plates coated with a precious metal catalyst. The pool still uses chlorine — it is simply generated on-site from salt rather than added directly. Salt cells have a lifespan of 3–7 years depending on water chemistry and maintenance. The cell requires specific salt concentration (usually 2,700–3,400 ppm) and proper water chemistry to avoid premature calcium scaling of the plates.","624","5","5","0","phta","range-salt-generic-operating;range-salt-pentair","range-salt-generic-operating;range-salt-pentair","PHASE_7J_AUDITED"
"automatic-chlorinator","automatic-chlorinator","https://waterbalancetools.com/entities/automatic-chlorinator","Automatic chlorinators (erosion feeders) hold trichlor tablets or granules and slowly dissolve them as water flows through. Inline models are installed in the return plumbing after the heater. Offline models are connected via bypass lines. They automate baseline chlorine maintenance between manual chemical additions. Because trichlor contains CYA (58% by weight), regular use of tablet feeders gradually accumulates CYA in the water. Feeders should be set to maintain 1–3 ppm FC and supplemented with liquid chlorine or shock as needed.","538","6","3","3","phta","range-cya-public-pool-incident-response-max;range-cya-residential-routine-outdoor;range-cya-saltwater-outdoor;range-cya-hottub;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine","range-cya-public-pool-incident-response-max;range-cya-residential-routine-outdoor;range-cya-saltwater-outdoor;range-cya-hottub;range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine","PHASE_7J_AUDITED"
"chemical-feeder","chemical-feeder","https://waterbalancetools.com/entities/chemical-feeder","Chemical feeders include erosion feeders (for solid products), peristaltic pump systems (for liquid chemicals), and ORP/pH automated controllers. Automated chemical feed systems monitor ORP and pH in real time and inject the appropriate chemicals to maintain setpoints. These are common in commercial pool operations and increasingly available for residential pools. They reduce manual chemical handling and maintain more consistent water chemistry than periodic manual addition.","479","4","3","1","","","","PHASE_7J_AUDITED"
"cover","cover","https://waterbalancetools.com/entities/cover","Pool covers serve multiple functions: safety (hard covers and nets prevent accidental entry), heat retention (solar and thermal covers reduce heat loss and heating costs), water conservation (reduce evaporation by up to 95%), chemical conservation (reduce UV degradation of chlorine and reduce debris-driven chemical demand), and debris exclusion (keep leaves and insects out). Hot tub covers are essential for heat retention and chemical stability. Safety covers are required by law in many jurisdictions for unattended residential pools. Solar covers (bubble covers) are the most common residential pool cover and offer excellent ROI through reduced heating and water costs.","676","4","2","2","phta;cpsc","","","PHASE_7J_AUDITED"
"shock-treatment","shock-treatment","https://waterbalancetools.com/entities/shock-treatment","Shock treatment (superchlorination) involves raising free chlorine to a high level — typically 10 ppm for maintenance, 10× the combined chlorine level for breakpoint chlorination, or 30 ppm for algae recovery — to eliminate combined chlorine, algae, bacteria, and other contaminants. Use calcium hypochlorite (65%) or liquid chlorine (sodium hypochlorite) for chlorine shocking. Non-chlorine shock (potassium monopersulfate) oxidizes contaminants without adding chlorine — useful when swimming must resume quickly. Always shock after dark to prevent UV degradation of the added chlorine.","587","4","4","0","phta;taylor-technologies","range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine;range-shock-breakpoint-rule-of-thumb;range-shock-cdc-fecal-incident-response","range-fc-pool-chlorine-no-cya;range-fc-pool-chlorine-with-cya;range-fc-hottub-chlorine-routine;range-shock-breakpoint-rule-of-thumb;range-shock-cdc-fecal-incident-response","PHASE_7J_AUDITED"
"breakpoint-chlorination","breakpoint-chlorination","https://waterbalancetools.com/entities/breakpoint-chlorination","Breakpoint chlorination is the process of adding enough chlorine to destroy all combined chlorine (chloramines) in pool water. The breakpoint dose is approximately 10 times the current combined chlorine level. Below this threshold, adding chlorine merely adds to combined chlorine; above it, all combined chlorine is oxidized and destroyed. The term ""breakpoint"" describes the inflection point on the chlorine demand curve where adding more chlorine actually increases free chlorine rather than increasing combined chlorine. Combined chlorine above 0.5 ppm is the trigger for breakpoint chlorination.","600","5","5","0","phta;taylor-technologies","range-cc-pool-hottub-max","range-cc-pool-hottub-max","PHASE_7J_AUDITED"
"backwashing","backwashing","https://waterbalancetools.com/entities/backwashing","Backwashing is the process of reversing water flow through a sand or DE filter to dislodge and flush accumulated debris. It is initiated when the filter pressure gauge reads 8–10 psi above the clean baseline. The multiport valve is turned to ""Backwash,"" the pump is run until water runs clear (typically 2–5 minutes), then switched to ""Rinse"" for 30–60 seconds to reseat the sand before returning to ""Filter."" Backwashing removes water from the pool — factor this into water level management. DE filters require adding fresh DE powder after backwashing to recharged the filter grids.","583","4","3","1","phta","","","PHASE_7J_AUDITED"
"winterization","winterization","https://waterbalancetools.com/entities/winterization","Winterization (pool closing) involves a specific sequence of steps to protect pool equipment and surfaces from freeze damage during cold weather: balancing water chemistry, adding winter chemicals (algaecide, scale inhibitor), draining water below skimmers and jets, blowing out plumbing lines, plugging returns, removing and storing equipment, and covering the pool. Hot tub winterization involves either proper insulation and continuous low-level heating, or full draining. Improper winterization is one of the most common and expensive pool maintenance mistakes.","565","3","2","1","phta","","","PHASE_7J_AUDITED"
"pool-opening","pool-opening","https://waterbalancetools.com/entities/pool-opening","Pool opening (spring start-up) is the systematic process of bringing a winterized pool back into service: removing the cover and cleaning it, removing winter plugs and reinstalling equipment, reconnecting the pump and filter, filling to proper water level, starting the pump and checking for leaks, then testing and balancing all water chemistry parameters before the first swim. Pool opening chemistry typically requires more adjustment than weekly maintenance because water chemistry changes significantly during winter shutdown. A complete water balance is the final step before opening for swimming.","603","3","3","0","phta","","","PHASE_7J_AUDITED"
"water-replacement","water-replacement","https://waterbalancetools.com/entities/water-replacement","Water replacement (partial or full drain and refill) is the only way to reduce CYA, calcium hardness, TDS, and salt when they exceed maximum levels. A partial drain replaces a percentage of the water — a 50% drain reduces all dissolved compounds by 50%. Hot tubs require complete water changes every 3–4 months due to high bather-to-water ratios that accelerate TDS and combined chlorine accumulation. Pool partial drains are typically 25–50% and are triggered by CYA above 80 ppm, calcium above 500 ppm, or TDS above 3,000 ppm.","528","4","4","0","phta","range-cya-saltwater-outdoor","range-cya-saltwater-outdoor","PHASE_7J_AUDITED"
"filtration","filtration","https://waterbalancetools.com/entities/filtration","Filtration is the continuous process of circulating pool water through a filter to remove suspended particles — algae, dust, debris, dead skin cells, and other particulate matter. Effective filtration requires adequate pump flow rate, properly sized filter, regular cleaning, and sufficient daily pump run time. Filtration does not replace chemical sanitization but works synergistically — the filter removes the physical matter that would otherwise increase chemical demand. The three main filter types (sand, cartridge, DE) differ in filtration fineness, maintenance frequency, and water usage.","596","4","3","1","phta","","","PHASE_7J_AUDITED"
"testing","testing","https://waterbalancetools.com/entities/testing","Water testing is the foundation of pool maintenance. Accurate, regular testing of free chlorine, combined chlorine, pH, alkalinity, calcium hardness, and CYA enables correct chemical dosing. Test methods include: test strips (fast but less precise), DPD liquid test kits (more accurate, color-based), digital photometric testers (highest accuracy), and professional testing by a pool store. Testing frequency varies by parameter: FC and pH should be tested twice weekly; alkalinity and calcium monthly. Test before every soak in a hot tub.","539","5","5","0","phta;taylor-technologies;lamotte","","","PHASE_7J_AUDITED"
"sanitizing","sanitizing","https://waterbalancetools.com/entities/sanitizing","Sanitizing is the ongoing process of maintaining sufficient disinfectant (free chlorine, bromine, or alternative) to kill bacteria, viruses, and other pathogens in pool water. Effective sanitization requires maintaining free chlorine above the minimum level for the current CYA concentration, ensuring pH is in the 7.2–7.6 range where HOCl is maximally effective, and providing adequate turnover for the disinfectant to contact all parts of the pool. Sanitizing is distinct from oxidizing — both are needed for safe, clear pool water.","534","3","3","0","phta;cdc;epa","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","PHASE_7J_AUDITED"
"oxidation","oxidation","https://waterbalancetools.com/entities/oxidation","Oxidation is the chemical reaction that destroys organic matter, combined chlorine (chloramines), swimmer waste, and other contaminants in pool water. While free chlorine both sanitizes (kills pathogens) and oxidizes (destroys organic matter), pools with high bather loads may have more oxidation demand than chlorine sanitization demand. Non-chlorine oxidizers (potassium monopersulfate, hydrogen peroxide) can handle the oxidation load while preserving free chlorine for sanitization. Regular oxidation keeps combined chlorine low, prevents chlorine odor, and maintains water clarity.","586","4","4","0","phta","","","PHASE_7J_AUDITED"
"balancing","balancing","https://waterbalancetools.com/entities/balancing","Water balancing is the comprehensive process of adjusting pH, total alkalinity, calcium hardness, CYA, and free chlorine to achieve a stable, safe, and non-damaging water chemistry. The correct order matters: adjust alkalinity first (it determines how much acid/base is needed for pH), then pH, then calcium hardness, then CYA, then chlorine. The final check is the LSI — if all individual parameters are in range, the LSI confirms the combination is balanced. Properly balanced water protects equipment, surfaces, and swimmers.","528","4","4","0","phta;taylor-technologies","","","PHASE_7J_AUDITED"
"maintenance-checklist","maintenance-checklist","https://waterbalancetools.com/entities/maintenance-checklist","The Pool Maintenance Checklist is a free printable resource that guides residential pool owners through weekly pool care: testing water chemistry, adding chemicals, cleaning skimmer baskets, brushing walls, checking filter pressure, and verifying equipment operation. Following a consistent checklist prevents the buildup of problems that lead to expensive treatments.","368","2","2","0","phta","","","PHASE_7J_AUDITED"
"maintenance-log","maintenance-log","https://waterbalancetools.com/entities/maintenance-log","The Hot Tub Maintenance Log tracks daily and weekly spa chemistry readings, chemical doses, filter cleaning, and water change dates. Consistent record-keeping helps identify patterns, troubleshoot problems faster, and demonstrate due diligence for vacation rental operators.","274","2","1","1","","","","PHASE_7J_AUDITED"
"chemical-log","chemical-log","https://waterbalancetools.com/entities/chemical-log","The Pool Chemical Log Sheet provides a structured record of chemical purchases, storage inventory, and usage per maintenance session. It is especially useful for vacation rental operators who must demonstrate chemical compliance and for multi-property managers tracking chemical costs.","285","2","1","1","","","","PHASE_7J_AUDITED"
"vacation-rental-checklist","vacation-rental-checklist","https://waterbalancetools.com/entities/vacation-rental-checklist","The Vacation Rental Pool Turnover Checklist provides a structured protocol for testing, adjusting, and documenting pool chemistry at the start of each guest stay. It covers safety equipment inspection, water chemistry testing, chemical additions, filter check, and safety communication to incoming guests. Used consistently, it reduces liability exposure and ensures every guest has safe pool access.","400","3","3","0","","","","PHASE_7J_AUDITED"
"water-test-sheet","water-test-sheet","https://waterbalancetools.com/entities/water-test-sheet","The Water Test Log provides a structured format for recording all pool or hot tub chemistry test results over time: free chlorine, pH, alkalinity, calcium hardness, CYA, salt, and any notes on chemical additions or pool events. Tracking readings over time reveals chemistry trends, helps diagnose recurring problems, and supports informed decisions about when water replacement is needed.","388","2","2","0","","","","PHASE_7J_AUDITED"
"opening-checklist","opening-checklist","https://waterbalancetools.com/entities/opening-checklist","The Pool Opening Checklist guides pool owners through the spring startup process: removing the cover, reinstalling equipment, filling to proper level, starting the pump, and completing a full water balance before the first swim. It provides space for recording test results and chemical additions during the opening process.","324","2","2","0","","","","PHASE_7J_AUDITED"
"closing-checklist","closing-checklist","https://waterbalancetools.com/entities/closing-checklist","The Pool Closing Checklist provides a structured process for winterizing a pool: balancing chemistry, adding winter chemicals, lowering water level, blowing out plumbing, installing freeze plugs, removing equipment, and covering the pool. Proper winterization prevents expensive freeze damage.","293","2","2","0","","","","PHASE_7J_AUDITED"
"emergency-reference","emergency-reference","https://waterbalancetools.com/entities/emergency-reference","The Emergency Recovery Reference provides concise protocols for the most urgent pool chemistry situations: green pool recovery, zero chlorine restoration, chemical overdose response, and equipment failure response. Designed for vacation rental operators and property managers who need clear action steps for uncommon emergencies.","329","2","1","1","","","","PHASE_7J_AUDITED"
"cloudy-water","cloudy-water","https://waterbalancetools.com/entities/cloudy-water","Cloudy water can result from low free chlorine (allowing algae or bacteria to proliferate), pH or alkalinity out of range (causing precipitation or flocculation), calcium carbonate precipitation (scaling, especially after shock), high TDS, poor filtration (pump run time too low, dirty filter, inadequate turnover), or dissolved metals. The remedy depends on the cause. Start by testing all parameters, correcting chemistry, and running the filter continuously until clarity returns. Clarifier can help coagulate fine particles for the filter to capture.","554","4","2","2","phta","","","PHASE_7J_AUDITED"
