claim_id,entity_id,source_text,claim_type,parameter,value,unit,environment,scenario,extraction_status,scientific_review_status,source_registry_ids,review_required
"ec-total-chlorine-0011","total-chlorine","Most DPD-based test kits measure total chlorine directly, while free chlorine requires a separate reagent.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-total-chlorine-0012","total-chlorine","Combined chlorine is calculated as TC minus FC.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-total-chlorine-0013","total-chlorine","Total chlorine by itself tells you little about water safety — what matters is the free chlorine level and how much has become combined.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-bromine-0014","bromine","Bromine is an alternative to chlorine as a pool and spa sanitizer.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-bromine-0015","bromine","It is more stable than chlorine at high temperatures and high pH, making it popular for hot tubs.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-bromine-0016","bromine","Unlike chlorine, bromine can be regenerated by adding an oxidizer — the bromamines formed are still effective sanitizers.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-bromine-0017","bromine","Bromine cannot be stabilized with cyanuric acid, making it unsuitable for outdoor pools exposed to direct sunlight.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cyanuric-acid-0018","cyanuric-acid","Cyanuric acid (CYA) — also called stabilizer or conditioner — binds to free chlorine to protect it from UV photolysis.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cyanuric-acid-0019","cyanuric-acid","Without CYA, outdoor pool chlorine can degrade to near-zero within 30–60 minutes in direct sunlight.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cyanuric-acid-0020","cyanuric-acid","However, CYA also reduces chlorine's activity.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cyanuric-acid-0021","cyanuric-acid","As CYA increases, the minimum effective free chlorine level must increase proportionally.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cyanuric-acid-0022","cyanuric-acid","CYA above 80–100 ppm causes chlorine lock, where chlorine is present but largely ineffective.","numeric_chemistry_claim","cyanuric_acid","80-100","ppm","unspecified","unspecified","CORRECT_EXTRACTION","SUPPORTED_BY_CONTEXT","range-cya-saltwater-outdoor","no"
"ec-cyanuric-acid-0023","cyanuric-acid","CYA cannot be reduced chemically — only dilution by partial drain and refill removes it.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-calcium-hardness-0024","calcium-hardness","Calcium hardness (CH) is the measure of dissolved calcium ions in pool water.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-calcium-hardness-0025","calcium-hardness","It is one of the five variables in the Langelier Saturation Index.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-calcium-hardness-0026","calcium-hardness","Water with low calcium is aggressive — it will dissolve calcium from plaster, grout, and equipment.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-calcium-hardness-0027","calcium-hardness","Water with high calcium is scale-forming — calcium carbonate precipitates on surfaces and inside equipment.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-calcium-hardness-0028","calcium-hardness","The ideal range depends on pool surface type: plaster pools need higher calcium (200–400 ppm) than vinyl or fiberglass pools (150–250 ppm).","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-calcium-hardness-0029","calcium-hardness","Calcium hardness can only be lowered through partial drain and refill.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-salt-0030","salt","Pool salt is pure sodium chloride (NaCl) added to pool water for use with a salt chlorinator (also called a saltwater generator or SWCG).","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-salt-0031","salt","The system electrolytically converts dissolved salt into hypochlorous acid — the same active disinfectant as manually added chlorine.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-salt-0032","salt","Salt level must stay within the system's specified range (typically 2,700–3,400 ppm) for the cell to operate efficiently.","numeric_chemistry_claim","salt","2700-3400","ppm","unspecified","unspecified","CORRECT_EXTRACTION","SUPPORTED_BY_CONTEXT","range-salt-generic-operating;range-salt-pentair","no"
"ec-salt-0033","salt","Salt does not evaporate; the level only drops through dilution from rain or water replacement.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-salt-0034","salt","Human sweat is saltier than a properly maintained salt pool.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-total-dissolved-solids-0035","total-dissolved-solids","Total dissolved solids (TDS) is the sum of all inorganic and organic substances dissolved in pool water — minerals, chemicals, byproducts of sanitization, bather waste, and more.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-total-dissolved-solids-0036","total-dissolved-solids","TDS increases over time as chemicals are added and water evaporates.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-total-dissolved-solids-0037","total-dissolved-solids","The only remedy is partial or full water replacement.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-total-dissolved-solids-0038","total-dissolved-solids","In hot tubs, TDS above 1,500 ppm over the baseline is a standard trigger for water change.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-phosphate-0039","phosphate","Phosphates are compounds containing phosphorus (PO4³⁻) that enter pool water from bather waste, lawn fertilizer runoff, fill water, and certain pool chemicals.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-phosphate-0040","phosphate","Phosphates are a primary nutrient for algae.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-phosphate-0041","phosphate","While low phosphate levels alone do not cause algae (chlorine control is paramount), very high phosphate levels (above 500–1,000 ppb) can reduce chlorine effectiveness and increase algae risk.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-phosphate-0042","phosphate","Phosphate removers are available but their necessity is debated — good chlorine management prevents algae regardless of phosphate level.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-copper-0043","copper","At elevated levels (above 0.3 ppm), copper causes green staining of pool surfaces and hair.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-copper-0044","copper","This is often confused with algae but is actually copper oxidation.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-copper-0045","copper","Corrosive water (low LSI) accelerates copper leaching from equipment.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-iron-0046","iron","Iron in pool water typically comes from well water used to fill the pool or from corroded steel equipment.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-iron-0047","iron","When chlorine is added, dissolved ferrous iron (Fe²⁺) is oxidized to ferric iron (Fe³⁺), which is insoluble and precipitates as rust-brown staining on pool walls, floors, and equipment.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-iron-0048","iron","Treatment involves metal sequestrants to keep iron in solution, then gradual removal through filtration.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-iron-0049","iron","Prevention focuses on fill water quality and maintaining a slightly positive LSI to prevent equipment corrosion.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-manganese-0050","manganese","Like iron, it stains pool surfaces when oxidized — manganese stains are typically black or dark brown/purple rather than the rust-red of iron.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-manganese-0051","manganese","Metal sequestrants hold manganese in solution to prevent precipitation.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-manganese-0052","manganese","Testing with a metal test kit distinguishes manganese from other staining causes.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-hydrogen-peroxide-0053","hydrogen-peroxide","Hydrogen peroxide (H₂O₂) is used as an oxidizer in biguanide (polyhexamethylene biguanide, or PHMB) pool systems, which use hydrogen peroxide rather than chlorine for sanitization.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-hydrogen-peroxide-0054","hydrogen-peroxide","In chlorine pools, hydrogen peroxide can be used to rapidly reduce excess chlorine in emergencies, but the two chemicals react violently if mixed in concentrated form — always add to pool water separately, never mix directly.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-hydrogen-peroxide-0055","hydrogen-peroxide","Hydrogen peroxide-based systems require dedicated equipment and are incompatible with chlorine.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ozone-0056","ozone","Ozone (O₃) is a powerful oxidizing agent generated on-site by UV lamps or corona discharge generators and injected into pool return water.","taxonomy_definition_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ozone-0057","ozone","Because ozone dissipates quickly (it does not accumulate in pool water), it must always be used alongside a residual sanitizer — typically free chlorine at reduced levels.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ozone-0058","ozone","Ozone does not replace chlorine; it reduces the chlorine demand and helps maintain water clarity and quality with less total chemical use.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-biguanide-0059","biguanide","Biguanide (sold as Baquacil, SoftSwim, and similar brands) is a chlorine-free pool sanitization system using polyhexamethylene biguanide (PHMB) as the sanitizer and hydrogen peroxide as the oxidizer.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-biguanide-0060","biguanide","It does not interact with CYA, pH resistance is broader, and it does not bleach surfaces or swimwear.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-biguanide-0061","biguanide","However, biguanide is incompatible with chlorine — switching between systems requires a complete water change.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-biguanide-0062","biguanide","It is more expensive than chlorine and some users experience algae resistance issues.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ph-0063","ph","pH is the scale from 0 to 14 measuring how acidic or alkaline pool water is.","numeric_chemistry_claim","ph","0-14","ph_units","pool","unspecified","CORRECT_EXTRACTION","DIRECTLY_SUPPORTED","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","no"
"ec-ph-0064","ph","A pH of 7.0 is neutral; below 7.0 is acidic; above 7.0 is alkaline.","numeric_chemistry_claim","ph","7","ph_units","unspecified","unspecified","CORRECT_EXTRACTION","DIRECTLY_SUPPORTED","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine","no"
"ec-ph-0065","ph","A pH of 7.0 is neutral; below 7.0 is acidic; above 7.0 is alkaline.","numeric_chemistry_claim","ph","7","ph_units","unspecified","unspecified","CARRIED_CONTEXT","AMBIGUOUS","","yes"
"ec-ph-0066","ph","A pH of 7.0 is neutral; below 7.0 is acidic; above 7.0 is alkaline.","numeric_chemistry_claim","ph","7","ph_units","unspecified","unspecified","CARRIED_CONTEXT","AMBIGUOUS","","yes"
"ec-ph-0067","ph","Pool water should be maintained between 7.2 and 7.6.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ph-0068","ph","Below 7.2, water is corrosive — it irritates eyes and skin and attacks surfaces and equipment.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ph-0069","ph","Above 7.8, chlorine effectiveness drops dramatically (at pH 8.0 only 22% of chlorine is active vs.","numeric_chemistry_claim","ph","8","ph_units","unspecified","unspecified","CORRECT_EXTRACTION","NON_CLAIM","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","no"
"ec-ph-0070","ph","Above 7.8, chlorine effectiveness drops dramatically (at pH 8.0 only 22% of chlorine is active vs.","numeric_chemistry_claim","ph","22","%","unspecified","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-ph-0071","ph","67% at pH 7.2) and scale forms.","numeric_chemistry_claim","ph","67","%","unspecified","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-ph-0072","ph","67% at pH 7.2) and scale forms.","numeric_chemistry_claim","ph","7.2","ph_units","unspecified","unspecified","CORRECT_EXTRACTION","DIRECTLY_SUPPORTED","range-ph-pool-chlorine-routine;range-ph-hottub-chlorine-routine;range-ph-hottub-bromine-routine;range-ph-pool-narrow-operational","no"
"ec-ph-0073","ph","pH is affected by every chemical addition and by CO₂ off-gassing.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-orp-0074","orp","Oxidation-Reduction Potential (ORP) measures the water's ability to oxidize or sanitize — expressed in millivolts (mV).","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-orp-0075","orp","A higher ORP indicates greater sanitizing capacity.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-orp-0076","orp","Unlike ppm-based chlorine testing, ORP directly measures chlorine's effectiveness considering both concentration and pH.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-orp-0077","orp","ORP sensors are used in automated chemical control systems to maintain consistent sanitizing capacity regardless of bather load variations.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-temperature-0078","temperature","Higher temperatures accelerate chlorine demand (halving with every 10°C/18°F drop), shift pH upward, increase scaling tendency (higher LSI), and increase CO₂ off-gassing.","numeric_chemistry_claim","chlorine_demand","10","°c","unspecified","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-temperature-0079","temperature","Higher temperatures accelerate chlorine demand (halving with every 10°C/18°F drop), shift pH upward, increase scaling tendency (higher LSI), and increase CO₂ off-gassing.","numeric_chemistry_claim","chlorine_demand","18","°f","unspecified","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-temperature-0080","temperature","For hot tubs, temperature is also a primary safety parameter — temperatures above 104°F can cause hyperthermia.","numeric_chemistry_claim","water_temperature","104","°f","hot_tub","unspecified","CORRECT_EXTRACTION","NO_EXISTING_SOURCE","","yes"
"ec-temperature-0081","temperature","For the LSI calculation, water temperature is a required input since calcium carbonate solubility decreases with rising temperature.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-alkalinity-0082","alkalinity","Total alkalinity (TA) measures the concentration of alkaline compounds — primarily bicarbonates, carbonates, and hydroxides — dissolved in pool water.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-alkalinity-0083","alkalinity","It acts as a pH buffer, resisting pH swings caused by additions of acid, base, or CO₂.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-alkalinity-0084","alkalinity","Low TA causes pH to swing wildly with minor chemical additions (pH bounce).","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-alkalinity-0085","alkalinity","High TA makes pH very difficult to lower and increases scaling tendency.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-alkalinity-0086","alkalinity","Total alkalinity must be adjusted before pH — it determines how much chemical is needed for a given pH change.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-lsi-0087","lsi","The Langelier Saturation Index (LSI) is a mathematical model that combines pH, temperature, calcium hardness, total alkalinity, and TDS into a single balance score.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-lsi-0088","lsi","A score of 0 means water is perfectly balanced for calcium carbonate.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-lsi-0089","lsi","Negative values (below −0.3) indicate corrosive water.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-lsi-0090","lsi","The LSI is the final quality check in the water balancing process — if all individual parameters are in range but the LSI is out of range, the combination still needs adjustment.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-gallons-0091","gallons","The US gallon (approximately 3.785 liters) is the standard unit for measuring pool volume in North America.","numeric_chemistry_claim","pool_volume","3.785","ph_units","pool","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-gallons-0092","gallons","All chemical dose calculations for pools require an accurate volume in gallons.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-gallons-0093","gallons","Volume is calculated using length × width × average depth × 7.48 (gallons per cubic foot) for rectangular pools, with shape correction factors for other pool shapes.","numeric_chemistry_claim","pool_volume","7.48","ph_units","pool","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-gallons-0094","gallons","A 10% error in pool volume produces a 10% error in every chemical dose calculated.","numeric_chemistry_claim","pool_volume","10","%","pool","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-gallons-0095","gallons","A 10% error in pool volume produces a 10% error in every chemical dose calculated.","numeric_chemistry_claim","pool_volume","10","%","pool","unspecified","IMPOSSIBLE_MAPPING","AMBIGUOUS","","yes"
"ec-liters-0096","liters","The liter is the SI unit of volume used in metric countries for pool measurements.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-liters-0097","liters","While calculators on this site use US gallons as the primary unit, all conversions to and from liters are supported.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-liters-0098","liters","Chemical doses calculated in metric units (grams per liter, or mg/L for ppm equivalents) are consistent with the same chemistry but expressed in metric terms.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ppm-0099","ppm","Parts per million (ppm) is the standard unit of concentration for pool chemistry parameters including free chlorine, alkalinity, calcium hardness, cyanuric acid, and TDS.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ppm-0100","ppm","1 ppm equals 1 milligram per liter (mg/L) in aqueous solution.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ppm-0101","ppm","Most pool test kits and digital testers report results in ppm.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-ppm-0102","ppm","The relationship between ppm and actual chemical dose is direct: 1 ppm in a 10,000-gallon pool corresponds to 8.34 mg of the substance dissolved in the water.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-flow-rate-0103","flow-rate","Flow rate is measured in gallons per minute (GPM) and represents how much water the pump circulates through the filtration system.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-flow-rate-0104","flow-rate","Variable speed pumps can be programmed to run at different flow rates at different times of day, reducing energy consumption while maintaining adequate filtration.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-turnover-time-0105","turnover-time","Turnover time is the number of hours required for the pump to move the full pool volume through the filtration system.","taxonomy_definition_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-turnover-time-0106","turnover-time","PHTA recommends a maximum turnover time of 8 hours for residential pools (one complete turnover in 8 hours or less).","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-pump-0107","pump","The pool pump is the heart of the pool circulation system.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-pump-0108","pump","It draws water from skimmers and main drains, forces it through the filter, heater, and chemical feeders, then returns it through jets.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-pump-0109","pump","Single-speed pumps run at one fixed RPM; variable-speed pumps (VSP) can be programmed to run at different speeds, reducing energy consumption by up to 80% compared to single-speed models.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-sand-filter-0110","sand-filter","Sand filters use a bed of specially graded silica sand (#20 grade) to capture suspended particles.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-sand-filter-0111","sand-filter","When the filter pressure increases 8–10 psi above the clean baseline, the filter needs backwashing — reversing the flow to flush trapped material to waste.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-sand-filter-0112","sand-filter","Sand should be replaced every 5–7 years.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cartridge-filter-0113","cartridge-filter","Cartridge filters use pleated polyester fabric cartridges to filter pool water.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cartridge-filter-0114","cartridge-filter","They provide finer filtration than sand (10–15 microns) without requiring backwashing — only periodic cartridge removal, rinsing with a hose, and occasional overnight soaking in cartridge cleaning solution.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-cartridge-filter-0115","cartridge-filter","Cartridges should be replaced every 12–18 months.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-de-filter-0116","de-filter","Diatomaceous earth (DE) filters use a fine powder made from fossilized diatoms (microscopic algae) as the filter media.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-de-filter-0117","de-filter","Maintenance involves backwashing (which removes the used DE) followed by adding fresh DE through the skimmer.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-de-filter-0118","de-filter","DE must be handled carefully as fine particles can be an inhalation hazard.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-de-filter-0119","de-filter","Internal grids require annual cleaning and periodic inspection.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-skimmer-0120","skimmer","They use a weir (floating flap) to create a surface current that draws floating leaves, insects, sunscreen, and debris into a basket before the debris sinks to the pool floor.","material_property_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-skimmer-0121","skimmer","The skimmer basket should be checked and emptied regularly — a clogged basket restricts pump flow.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-skimmer-0122","skimmer","Never add granular shock directly to the skimmer; it can damage equipment.","safety_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-skimmer-0123","skimmer","Skimmers also contain a suction port used during pool vacuuming.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-heater-0124","heater","Solar systems have no operating cost but depend on sun availability and add time to the system.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-heater-0125","heater","All heater types affect pool chemistry: higher water temperatures increase chlorine demand, pH rise, and LSI scaling tendency.","qualitative_chemistry_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
"ec-heater-0126","heater","Heater bypasses allow chemistry adjustment at lower temperatures to extend equipment life.","operational_claim","","","","","","NO_NUMERIC_CONTENT","REQUIRES_REVIEW","","yes"
