entity_id,page,total_claims,supported_count,contextual_count,requires_review_count,non_claim_count,unsupported_count,decision,reason,production_change_made
"iron","entities/iron.html","4","0","0","4","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-iron-0048, ec-iron-0049. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"manganese","entities/manganese.html","3","0","0","3","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-manganese-0050, ec-manganese-0051, ec-manganese-0052. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"hydrogen-peroxide","entities/hydrogen-peroxide.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"ozone","entities/ozone.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"biguanide","entities/biguanide.html","4","0","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-biguanide-0060. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"ph","entities/ph.html","11","3","0","7","1","0","RESEARCH REQUIRED","5 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-ph-0065, ec-ph-0066, ec-ph-0068, ec-ph-0070, ec-ph-0071. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"orp","entities/orp.html","4","0","0","4","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"temperature","entities/temperature.html","4","0","0","3","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-temperature-0078, ec-temperature-0079, ec-temperature-0080. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"alkalinity","entities/alkalinity.html","5","0","0","5","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"lsi","entities/lsi.html","4","0","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-lsi-0089. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"gallons","entities/gallons.html","5","0","0","5","0","0","RESEARCH REQUIRED","4 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-gallons-0091, ec-gallons-0093, ec-gallons-0094, ec-gallons-0095. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"liters","entities/liters.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"ppm","entities/ppm.html","4","0","0","4","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"flow-rate","entities/flow-rate.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"turnover-time","entities/turnover-time.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"pump","entities/pump.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"sand-filter","entities/sand-filter.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"cartridge-filter","entities/cartridge-filter.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"de-filter","entities/de-filter.html","4","0","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-de-filter-0118. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"skimmer","entities/skimmer.html","4","0","0","4","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-skimmer-0120, ec-skimmer-0122. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"heater","entities/heater.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"salt-chlorinator","entities/salt-chlorinator.html","5","1","0","4","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-salt-chlorinator-0128, ec-salt-chlorinator-0130. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"automatic-chlorinator","entities/automatic-chlorinator.html","3","2","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"chemical-feeder","entities/chemical-feeder.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"cover","entities/cover.html","2","0","0","2","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-cover-0138, ec-cover-0139. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"shock-treatment","entities/shock-treatment.html","6","1","0","5","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-shock-treatment-0140, ec-shock-treatment-0141, ec-shock-treatment-0142. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"breakpoint-chlorination","entities/breakpoint-chlorination.html","5","0","1","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-breakpoint-chlorination-0147. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"backwashing","entities/backwashing.html","4","0","0","4","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"winterization","entities/winterization.html","2","0","0","2","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-winterization-0155. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"pool-opening","entities/pool-opening.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"water-replacement","entities/water-replacement.html","6","1","0","5","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-water-replacement-0164, ec-water-replacement-0165. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"filtration","entities/filtration.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"testing","entities/testing.html","5","0","0","5","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"sanitizing","entities/sanitizing.html","3","1","0","2","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-sanitizing-0176. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"oxidation","entities/oxidation.html","4","0","0","4","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"balancing","entities/balancing.html","4","0","0","4","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-balancing-0181, ec-balancing-0184. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"maintenance-checklist","entities/maintenance-checklist.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"maintenance-log","entities/maintenance-log.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"chemical-log","entities/chemical-log.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"vacation-rental-checklist","entities/vacation-rental-checklist.html","3","0","0","3","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-vacation-rental-checklist-0190, ec-vacation-rental-checklist-0191. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"water-test-sheet","entities/water-test-sheet.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"opening-checklist","entities/opening-checklist.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"closing-checklist","entities/closing-checklist.html","2","0","0","2","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-closing-checklist-0197. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"emergency-reference","entities/emergency-reference.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"cloudy-water","entities/cloudy-water.html","2","0","0","2","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-cloudy-water-0199. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"green-water","entities/green-water.html","5","1","0","4","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-green-water-0204, ec-green-water-0205. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"foaming","entities/foaming.html","2","0","0","2","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-foaming-0206. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"scaling","entities/scaling.html","4","0","0","4","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-scaling-0208, ec-scaling-0211. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"corrosion","entities/corrosion.html","5","0","0","5","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-corrosion-0212, ec-corrosion-0213, ec-corrosion-0216. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"algae","entities/algae.html","5","0","0","5","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-algae-0219. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"strong-chlorine-smell","entities/strong-chlorine-smell.html","4","0","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-strong-chlorine-smell-0223. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"eye-irritation","entities/eye-irritation.html","5","3","0","2","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-eye-irritation-0228, ec-eye-irritation-0229. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"skin-irritation","entities/skin-irritation.html","5","2","1","1","1","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-skin-irritation-0235. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"low-chlorine","entities/low-chlorine.html","5","1","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-low-chlorine-0236. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"high-chlorine","entities/high-chlorine.html","7","3","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-high-chlorine-0245. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"low-ph","entities/low-ph.html","4","1","0","3","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-low-ph-0249. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"high-ph","entities/high-ph.html","8","2","0","4","2","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-high-ph-0255, ec-high-ph-0257. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"swimming-pool","entities/swimming-pool.html","2","0","0","1","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-swimming-pool-0260, ec-swimming-pool-0261. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"saltwater-pool","entities/saltwater-pool.html","5","2","0","2","1","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"indoor-pool","entities/indoor-pool.html","4","0","0","4","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-indoor-pool-0268. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"outdoor-pool","entities/outdoor-pool.html","3","0","0","3","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"hot-tub","entities/hot-tub.html","3","0","0","2","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-hot-tub-0274. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"swim-spa","entities/swim-spa.html","1","0","0","0","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-swim-spa-0277. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"commercial-pool","entities/commercial-pool.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"vinyl-pool","entities/vinyl-pool.html","5","1","0","3","1","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-vinyl-pool-0279, ec-vinyl-pool-0281, ec-vinyl-pool-0282. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"fiberglass-pool","entities/fiberglass-pool.html","5","1","0","4","0","0","RESEARCH REQUIRED","4 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-fiberglass-pool-0284, ec-fiberglass-pool-0286, ec-fiberglass-pool-0287, ec-fiberglass-pool-0288. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"concrete-pool","entities/concrete-pool.html","4","2","0","2","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-concrete-pool-0289, ec-concrete-pool-0292. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"liquid-chlorine","entities/liquid-chlorine.html","5","0","0","5","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-liquid-chlorine-0295, ec-liquid-chlorine-0296. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"calcium-hypochlorite","entities/calcium-hypochlorite.html","5","0","0","5","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-calcium-hypochlorite-0302. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"sodium-dichlor","entities/sodium-dichlor.html","6","1","0","4","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-sodium-dichlor-0304, ec-sodium-dichlor-0305. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"trichlor-tablets","entities/trichlor-tablets.html","5","2","0","3","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-trichlor-tablets-0313. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"muriatic-acid","entities/muriatic-acid.html","5","0","0","5","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-muriatic-acid-0314, ec-muriatic-acid-0315, ec-muriatic-acid-0317. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"soda-ash","entities/soda-ash.html","7","1","0","6","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-soda-ash-0322, ec-soda-ash-0324. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"baking-soda","entities/baking-soda.html","5","2","0","2","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-baking-soda-0328, ec-baking-soda-0329. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"calcium-chloride","entities/calcium-chloride.html","6","0","0","6","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-calcium-chloride-0333, ec-calcium-chloride-0334, ec-calcium-chloride-0335. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"stabilizer","entities/stabilizer.html","4","1","0","3","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-stabilizer-0338. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"pool-salt","entities/pool-salt.html","4","1","0","3","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-pool-salt-0342. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"cdc","entities/cdc.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"epa","entities/epa.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"phta","entities/phta.html","3","0","0","3","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-phta-0350. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"nsf","entities/nsf.html","1","0","0","1","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-nsf-0352. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"taylor-technologies","entities/taylor-technologies.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"lamotte","entities/lamotte.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"unit-ppm","entities/unit-ppm.html","2","0","0","2","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-unit-ppm-0358. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"unit-mg-l","entities/unit-mg-l.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"unit-gallons","entities/unit-gallons.html","2","0","0","1","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-unit-gallons-0362. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"unit-liters","entities/unit-liters.html","5","0","0","5","0","0","RESEARCH REQUIRED","3 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-unit-liters-0363, ec-unit-liters-0364, ec-unit-liters-0365. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"unit-fahrenheit","entities/unit-fahrenheit.html","4","0","0","3","0","0","RESEARCH REQUIRED","2 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-unit-fahrenheit-0369, ec-unit-fahrenheit-0370. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"unit-celsius","entities/unit-celsius.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"unit-minutes","entities/unit-minutes.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"unit-hours","entities/unit-hours.html","2","0","0","2","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"unit-days","entities/unit-days.html","1","0","0","1","0","0","RESEARCH REQUIRED","1 HIGH-priority claim(s) (safety/numeric-chemistry/material-property) not yet independently verified: ec-unit-days-0376. No claim is contradicted by evidence; page content is left unchanged pending research.","no"
"unit-weeks","entities/unit-weeks.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
"unit-months","entities/unit-months.html","1","0","0","1","0","0","KEEP AS WRITTEN","Only low-priority claims (basic definitions, routine operational statements) remain at REQUIRES_REVIEW; this dataset entry is the provenance record for them, per Step 10 -- no page rewrite needed.","no"
