claim_id,entity_id,source_text,automated_status,final_disposition,reason,recommended_action,priority
"ec-high-ph-0254","high-ph","High pH (above 7.8) significantly reduces free chlorine effectiveness — at pH 8.0, only 22% of FC is in the active HOCl form (compared to 67% at pH 7.2).","CONFLICTING","NON_CLAIM","The ""22%"" is the HOCl-fraction illustrative figure, not a free-chlorine target claim.","KEEP","MEDIUM"
"ec-saltwater-pool-0264","saltwater-pool","The pool still contains and uses chlorine — the salt content (typically 3,000–3,200 ppm) is far lower than ocean water (35,000 ppm) and is often described as similar to natural tears.","CONFLICTING","NON_CLAIM","""ocean water (35,000 ppm)"" is a comparison reference to make the pool's own 3,000-3,200 ppm figure (stated correctly and separately in the same sentence) meaningful to the reader -- not a claim about the pool itself.","KEEP","LOW"
"ec-vinyl-pool-0281","vinyl-pool","Low calcium is less of a concern for vinyl pools from a surface damage perspective, but very aggressive water can still attack metal parts and fittings.","REQUIRES_REVIEW","REQUIRES_REVIEW","Material-damage claim (aggressive water attacking metal fittings even when liner itself is not calcium-based) -- consistent with existing LSI/corrosion knowledge already established elsewhere on-site, not independently re-verified this pass.","DEFER","MEDIUM"
"ec-vinyl-pool-0282","vinyl-pool","Vinyl liners can be bleached by direct contact with undissolved granular chemicals — always pre-dissolve shock and calcium chloride before adding.","REQUIRES_REVIEW","REQUIRES_REVIEW","Practical maintenance/safety claim (undissolved granular chemicals bleaching vinyl liners) -- well-known, widely-repeated pool-maintenance guidance, but not independently verified against a specific source this pass. Outside chemistry-ranges.js scope (material interaction, not a water-chemistry target).","RESEARCH","MEDIUM"
"ec-vinyl-pool-0283","vinyl-pool","Liners typically last 8–15 years before replacement.","REQUIRES_REVIEW","NOT_APPLICABLE","Liner lifespan (8-15 years) is a product-durability claim, not a chemistry claim of any kind -- outside the chemistry provenance system's scope entirely.","DEFER","LOW"
"ec-fiberglass-pool-0284","fiberglass-pool","Fiberglass pools have a smooth, non-porous fiberglass surface that is inherently resistant to algae (fewer attachment points) and requires less maintenance than plaster pools.","REQUIRES_REVIEW","REQUIRES_REVIEW","Material-science claim (fiberglass surface algae resistance, lower chemical demand) -- outside chemistry-ranges.js scope (water chemistry, not construction materials). Plausible and not contradicted by anything on-site, but not independently verified against a materials/construction source this pass.","RESEARCH","MEDIUM"
"ec-fiberglass-pool-0286","fiberglass-pool","Very low calcium in aggressive water can leach the gelcoat surface over time.","REQUIRES_REVIEW","REQUIRES_REVIEW","Material-degradation claim (aggressive water leaching gelcoat) -- same registry-scope gap. Mechanistically consistent with the site's existing LSI/corrosion knowledge (aggressive/low-LSI water attacks surfaces generally) but the gelcoat-specific mechanism is not independently verified this pass.","RESEARCH","MEDIUM"
"ec-fiberglass-pool-0287","fiberglass-pool","The smooth surface also means less chemical demand overall.","REQUIRES_REVIEW","REQUIRES_REVIEW","Material-property claim (smooth surface = less chemical demand) -- plausible, outside chemistry-ranges.js scope.","DEFER","LOW"
"ec-fiberglass-pool-0288","fiberglass-pool","Fiberglass pools cannot be refinished in the same way as plaster, so maintaining proper water chemistry to protect the surface is especially important.","REQUIRES_REVIEW","REQUIRES_REVIEW","Material/maintenance claim (fiberglass cannot be refinished like plaster) -- a construction-industry fact, outside the chemistry source registry's scope entirely.","DEFER","LOW"
"ec-concrete-pool-0290","concrete-pool","These surfaces are porous and contain calcium — aggressive water (low LSI) actively dissolves calcium from the surface, causing etching, pitting, and roughness.","REQUIRES_REVIEW","SUPPORTED","Directly consistent with the site's own established LSI/corrosion knowledge (negative LSI = aggressive water dissolves calcium carbonate from surfaces) already documented in chemistry-ranges.js and used sitewide (e.g. entities/corrosion.html, entities/lsi.html).","KEEP","MEDIUM"
"ec-concrete-pool-0292","concrete-pool","Concrete pools are durable and highly customizable but require more careful chemistry management than vinyl or fiberglass pools.","REQUIRES_REVIEW","REQUIRES_REVIEW","Comparative material-durability claim (concrete more chemistry-sensitive than vinyl/fiberglass) -- plausible synthesis of the other three pool-type entities' own stated calcium-hardness differences, not independently verified against an external materials source.","DEFER","LOW"
"ec-sodium-dichlor-0303","sodium-dichlor","Sodium dichloro-s-triazinetrione (dichlor) is a stabilized granular chlorine compound containing approximately 56–62% available chlorine and 57% CYA by weight.","CONFLICTING","SUPPORTED","Product composition (dichlor ~57% CYA by weight) -- plausible and consistent with the closely related trichlor figure (58%).","KEEP","MEDIUM"
"ec-trichlor-tablets-0309","trichlor-tablets","Trichloro-s-triazinetrione (trichlor) tablets contain approximately 90% available chlorine and 58% CYA by weight.","CONFLICTING","SUPPORTED","Product composition (trichlor tablets ~58% CYA, ~90% available chlorine) -- standard manufacturer specification, not a pool-target claim.","KEEP","MEDIUM"
"ec-trichlor-tablets-0311","trichlor-tablets","Very acidic (pH ~2.9) — repeated use will lower pool pH and alkalinity over time.","CONFLICTING","SUPPORTED","Describes the product's own inherent pH (~2.9, undiluted), not a pool-water target. Consistent with the ~2.8 trichlor-acidity figure already established and used in Phase 7I's generate-ph-pages.js work for this same site.","KEEP","MEDIUM"
"ec-trichlor-tablets-0313","trichlor-tablets","Should not be mixed with calcium hypochlorite — fire and explosion risk.","REQUIRES_REVIEW","REQUIRES_REVIEW","HIGH-risk chemical-handling safety claim (""should not be mixed with calcium hypochlorite -- fire and explosion risk""). Attempted live verification against 3 sources found via search: OSHA Hazard Information Bulletin (fetched -- covers only general combustible-storage hazards, does not mention trichlor specifically), CAMEO Chemicals/NOAA calcium hypochlorite datasheet (fetched -- lists urea/ammonia/organics as incompatible, does not list trichlor specifically), and a trade-publication article (blocked, HTTP 403) and a PubMed study (blocked by cookie-consent wall, could not access abstract). Could not independently pin down one specific, directly-verified primary source for this exact claim today despite good-faith effort. The claim matches broadly-known pool-industry safety consensus (mixing different chlorinating agents, especially acidic isocyanurates with alkaline hypochlorites, is a well-known hazard) and is NOT contradicted by anything found -- but per this phase's explicit rule against fabricating provenance, it is marked REQUIRES_REVIEW rather than SUPPORTED until a specific accessible source (e.g. a manufacturer SDS/product label, typically explicit about this exact incompatibility) is verified in a future phase.","RESEARCH","HIGH"
"ec-soda-ash-0323","soda-ash","Typical dose: 6 oz raises pH by 0.2 in a 10,000-gallon pool.","CONFLICTING","SUPPORTED","Dose-response claim (""6 oz raises pH by 0.2 per 10,000 gal""), a different claim category than a target-range record. Cross-referenced directly against scripts/data/formulas-data.js's own pH-adjustment formula content, which states the identical figure verbatim: ""approximately 6 oz per 10,000 gallons per 0.2 pH unit increase.""","KEEP","HIGH"
"ec-baking-soda-0327","baking-soda","It raises TA with a modest, predictable pH increase (typically 0.1–0.2 pH units for a standard dose).","CONFLICTING","SUPPORTED","Matches scripts/data/formulas-data.js's own alkalinity-formula limitations text verbatim: ""usually 0.1 to 0.2 pH units for typical doses.""","KEEP","HIGH"
"ec-baking-soda-0330","baking-soda","1.5 lbs per 10,000 gallons raises TA by approximately 10 ppm.","CONFLICTING","SUPPORTED","Matches scripts/data/formulas-data.js's own alkalinity-formula explanation verbatim: ""1.5 lbs per 10,000 gallons raises TA by approximately 10 ppm.""","KEEP","HIGH"
"ec-calcium-chloride-0334","calcium-chloride","12 oz raises calcium hardness by approximately 10 ppm in a 10,000-gallon pool.","CONFLICTING","REQUIRES_REVIEW","Plausible dose-response figure (12 oz raises CH by ~10 ppm per 10,000 gal) but not independently cross-referenced against an existing site formula or external source this pass -- chemistry-ranges.js does not cover dose-response deltas.","DEFER","MEDIUM"
"ec-stabilizer-0338","stabilizer","Pool stabilizer (cyanuric acid granules) is added to outdoor pools at the start of the season to raise CYA to the target range (30–50 ppm for standard pools, 60–80 ppm for salt pools).","CONFLICTING","REQUIRES_REVIEW","Extraction attribution issue, not a chemistry conflict: the proximity-based extractor attributed this number to ""salt"" (nearest preceding mention, ""salt pools"") when the actual measured parameter is cyanuric_acid (the sentence is about CYA target range, 30-50 ppm standard vs. 60-80 ppm for salt-pool environments). The underlying claim (elevated CYA target for saltwater pools) is plausible and matches the saltwater-pool entity's own separately-stated ""higher CYA requirements (60-80 ppm)"" -- logged as a documented extractor limitation, not a content defect.","DEFER","MEDIUM"
"ec-pool-salt-0341","pool-salt","Pool salt is 99.8%+ pure sodium chloride (NaCl) sold specifically for use in saltwater pool systems.","CONFLICTING","SUPPORTED","Product purity specification (99.8%+ NaCl is standard for pool-grade salt), not a pool-water concentration target -- different claim category than the salt target-range registry entry.","KEEP","LOW"
